i,j
0,0
0,1
0,2
0,3
0,7
0,8
1,1
1,2
1,3
1,7
1,8
2,8
2,7
2,6
2,9
2,4
2,3
2,2
2,5
3,3
3,4
3,5
3,6
3,7
3,8
3,9
4,9
4,8
4,7
4,4
4,5
4,6
5,9
5,5
5,6
5,7
5,8
6,9
6,8
6,7
6,6
7,7
7,8
7,9
8,8
8,9
9,9
10,15
10,14
10,13
10,12
10,11
10,10
11,11
11,12
11,13
11,14
11,15
12,15
12,14
12,13
12,12
13,13
13,14
13,15
14,14
14,15
15,15
15,18
15,19
15,20
15,21
16,16
16,17
17,17
18,20
18,21
18,18
18,19
19,22
19,21
19,19
19,20
20,20
20,21
20,22
21,21
21,22
21,24
22,22
23,32
23,23
24,24
25,27
25,26
25,25
26,26
26,27
27,27
28,57
28,56
28,58
28,55
28,51
28,53
28,52
28,59
28,54
28,60
28,70
28,62
28,63
28,64
28,65
28,66
28,67
28,68
28,69
28,71
28,61
28,50
28,45
28,48
28,28
28,29
28,30
28,31
28,32
28,33
28,49
28,35
28,36
28,37
28,34
28,39
28,38
28,46
28,44
28,47
28,42
28,41
28,40
28,43
29,60
29,53
29,54
29,55
29,56
29,57
29,58
29,59
29,61
29,52
29,63
29,64
29,65
29,66
29,67
29,68
29,69
29,70
29,71
29,62
29,51
29,30
29,49
29,50
29,31
29,32
29,33
29,34
29,35
29,36
29,37
29,38
29,29
29,40
29,41
29,42
29,43
29,44
29,45
29,46
29,47
29,48
29,39
30,59
30,58
30,57
30,54
30,55
30,60
30,53
30,56
30,61
30,66
30,63
30,64
30,65
30,67
30,68
30,69
30,52
30,71
30,62
30,51
30,70
30,49
30,30
30,31
30,32
30,33
30,34
30,35
30,36
30,37
30,38
30,50
30,40
30,41
30,42
30,43
30,44
30,45
30,46
30,47
30,48
30,39
31,59
31,58
31,57
31,53
31,55
31,54
31,60
31,56
31,61
31,66
31,63
31,64
31,65
31,67
31,68
31,69
31,70
31,52
31,62
31,71
31,50
31,49
31,51
31,31
31,32
31,33
31,34
31,36
31,37
31,38
31,39
31,35
31,41
31,40
31,47
31,46
31,45
31,48
31,43
31,42
31,44
32,61
32,54
32,55
32,56
32,57
32,58
32,59
32,60
32,62
32,53
32,64
32,65
32,66
32,67
32,68
32,69
32,70
32,71
32,63
32,52
32,34
32,50
32,33
32,51
32,35
32,36
32,37
32,38
32,39
32,40
32,32
32,42
32,43
32,44
32,45
32,46
32,47
32,48
32,49
32,41
33,59
33,58
33,54
33,56
33,55
33,60
33,57
33,61
33,66
33,63
33,64
33,65
33,67
33,68
33,69
33,71
33,53
33,62
33,52
33,70
33,50
33,34
33,35
33,36
33,37
33,38
33,39
33,40
33,41
33,33
33,43
33,42
33,49
33,48
33,51
33,46
33,45
33,44
33,47
34,54
34,55
34,56
34,57
34,58
34,59
34,60
34,61
34,63
34,64
34,65
34,67
34,68
34,69
34,70
34,53
34,71
34,62
34,66
34,52
34,50
34,51
34,34
34,35
34,36
34,37
34,39
34,40
34,41
34,38
34,43
34,44
34,45
34,46
34,47
34,48
34,49
34,42
35,61
35,55
35,56
35,57
35,58
35,59
35,60
35,62
35,54
35,64
35,71
35,66
35,67
35,68
35,69
35,70
35,63
35,53
35,65
35,51
35,35
35,36
35,37
35,38
35,39
35,40
35,41
35,42
35,52
35,44
35,45
35,46
35,47
35,48
35,49
35,50
35,43
36,55
36,56
36,57
36,58
36,59
36,60
36,61
36,62
36,66
36,64
36,65
36,67
36,68
36,69
36,70
36,54
36,63
36,71
36,53
36,51
36,52
36,36
36,37
36,38
36,39
36,41
36,42
36,40
36,44
36,45
36,46
36,47
36,48
36,49
36,50
36,43
37,61
37,56
37,57
37,58
37,59
37,60
37,62
37,71
37,64
37,65
37,66
37,67
37,68
37,69
37,70
37,63
37,55
37,52
37,53
37,37
37,38
37,39
37,40
37,41
37,42
37,43
37,54
37,45
37,46
37,47
37,48
37,49
37,50
37,51
37,44
38,56
38,57
38,58
38,59
38,60
38,61
38,62
38,66
38,64
38,65
38,67
38,68
38,69
38,70
38,55
38,63
38,71
38,54
38,52
38,53
38,38
38,39
38,40
38,42
38,43
38,44
38,41
38,46
38,47
38,48
38,49
38,50
38,51
38,45
39,63
39,58
39,59
39,60
39,61
39,62
39,64
39,57
39,66
39,67
39,68
39,69
39,70
39,71
39,65
39,56
39,55
39,54
39,40
39,41
39,42
