i,j
0,1
0,2
0,3
0,11
0,4
0,5
0,6
0,7
0,8
0,9
2,11
2,3
3,11
10,11
11,69
11,25
11,26
11,27
11,29
11,31
11,32
11,33
11,34
11,68
11,35
11,36
11,43
11,37
11,64
11,71
11,38
11,58
11,24
11,44
11,48
11,49
11,72
11,51
11,55
11,70
11,23
11,28
11,12
11,15
11,13
11,14
12,23
16,26
16,20
16,18
16,21
16,23
16,17
16,55
16,22
16,19
17,18
17,20
17,22
17,21
17,19
17,23
18,21
18,19
18,23
18,22
18,20
19,20
19,21
19,23
19,22
20,23
20,21
20,22
21,22
21,23
22,23
23,24
23,25
23,31
23,27
23,30
23,29
24,70
24,41
24,50
24,42
24,69
24,25
24,26
24,68
24,27
25,42
25,27
25,68
25,48
25,26
25,41
25,55
25,39
25,71
25,75
25,69
25,40
25,70
26,27
26,72
26,54
26,43
26,51
26,49
26,55
27,72
27,69
27,58
27,43
27,29
27,31
27,33
27,68
27,71
27,70
27,48
27,28
28,45
28,44
29,37
29,38
29,36
29,35
29,34
30,31
34,36
34,37
34,35
34,38
35,38
35,37
35,36
36,37
36,38
37,38
39,52
39,55
41,71
41,62
41,70
41,69
41,68
41,57
41,55
41,75
41,42
46,47
47,48
48,63
48,62
48,68
48,66
48,65
48,64
48,61
48,76
48,60
48,71
48,59
48,58
48,74
48,57
48,69
48,73
48,55
48,75
49,54
49,51
49,50
49,56
49,55
51,55
51,52
51,53
51,54
54,55
55,61
55,63
55,56
55,57
55,64
55,58
55,62
55,59
55,65
57,62
57,59
57,67
57,63
57,61
57,64
57,65
57,58
58,64
58,70
58,60
58,59
58,61
58,63
58,62
58,76
58,65
58,66
59,64
59,63
59,65
59,60
59,62
59,66
59,61
60,64
60,65
60,61
60,63
60,66
60,62
61,64
61,66
61,63
61,62
61,65
62,66
62,76
62,63
62,64
62,65
63,76
63,65
63,66
63,64
64,76
64,66
64,65
65,76
65,66
66,76
68,75
68,70
68,69
68,71
69,75
69,71
69,70
70,75
70,71
71,75
73,74
