i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
0,1,30,0.1,4,100.5,9500,255.0,62000,0.2111111111111111,-413.7614857571773
0,39,15,0.0,4,61.0,3496,146.0,18400,0.25892857142857145,-182.40594341839596
0,54,15,0.14285714285714285,4,56.0,2736,144.0,17600,0.11904761904761904,-67.26687867990582
0,89,10,0.0,4,47.5,1444,118.5,7400,0.2261904761904762,-101.78661694478056
0,127,15,0.0,4,59.0,3192,144.0,17600,0.16666666666666669,-121.65687707714781
1,6,30,0.1,4,116.5,13500,261.0,65720,0.17222222222222222,-336.1705080341712
1,18,18,0.0,4,85.5,5750,212.0,35340,0.25,-305.89816635053484
1,38,24,0.0,4,89.5,6750,227.0,44640,0.18703703703703703,-324.49493785550436
1,54,18,0.125,4,80.5,4500,199.0,27280,0.16964285714285715,-155.89164747562404
1,125,18,0.125,4,95.5,8250,217.0,38440,0.17857142857142858,-175.21504618115398
2,3,30,0.1,4,102.0,10400,217.5,47000,0.19444444444444445,-354.15397220636197
2,58,18,0.0,4,63.0,2600,151.5,15980,0.24305555555555555,-291.2858220285584
2,147,12,0.0,4,60.5,2100,140.5,10810,0.20535714285714285,-174.20010651690203
2,56,12,0.0,4,57.0,1400,136.0,8695,0.19642857142857142,-166.35623664417682
2,77,24,0.1111111111111111,4,90.5,8100,200.0,38775,0.1736111111111111,-236.69568439080834
2,113,12,0.0,2,57.5,1500,134.0,7755,0.21428571428571427,-173.7200049054559
3,13,5,0.0,2,52.0,0,100.0,0,0.16666666666666666,-43.88527162832805
3,77,20,0.2857142857142857,4,92.5,8424,182.5,33000,0.14285714285714285,-91.28883585241206
3,75,15,0.14285714285714285,4,76.0,4992,156.0,22400,0.15476190476190477,-84.41113755465096
3,146,10,0.0,4,60.5,1768,118.5,7400,0.2261904761904762,-89.18565237589154
4,5,8,0.0,4,40.0,924,75.0,3321,0.26666666666666666,-66.54212933375474
4,16,4,0.0,4,12.5,154,24.0,567,0.3333333333333333,-16.635532333438686
5,133,4,0.0,2,33.0,0,61.5,0,0.2,-30.49847594463759
5,73,16,0.0,4,66.0,4356,124.5,15498,0.2857142857142857,-211.23936379932402
5,47,16,0.0,4,76.5,5742,141.0,19557,0.2857142857142857,-208.05381762912077
6,130,10,0.0,4,62.0,1728,122.0,6784,0.23809523809523808,-107.06385597055191
6,100,10,0.0,4,63.0,1944,125.5,8268,0.14285714285714285,-66.20933798416337
6,125,15,0.14285714285714285,4,87.0,7128,168.0,26288,0.19047619047619047,-105.85691393090758
6,134,10,0.0,4,65.5,2484,127.5,9116,0.23809523809523808,-107.06385597055191
7,8,12,0.0,4,30.0,900,71.0,5040,0.2857142857142857,-119.27551918982402
7,28,6,0.0,4,21.5,390,46.5,1610,0.3,-38.13664596417535
7,47,12,0.0,4,58.5,2610,114.5,11130,0.2857142857142857,-135.95264601898054
8,64,12,0.16666666666666666,4,22.0,420,52.0,2304,0.2,-53.04608586290334
8,72,8,0.0,4,19.0,240,46.0,1440,0.26666666666666666,-62.88148045977732
8,63,12,0.16666666666666666,4,27.0,720,58.0,3168,0.2,-57.204968946263016
9,10,8,0.0,2,44.0,975,84.5,3600,0.26666666666666666,-61.42290800542568
9,126,2,0.0,1,6.5,0,12.5,0,0.3333333333333333,-4.1588830833596715
10,14,12,0.16666666666666666,4,65.5,4200,129.0,16416,0.2,-72.35934081211256
10,11,12,0.0,4,56.5,2850,106.0,9792,0.2857142857142857,-113.63547563887519
10,15,24,0.1111111111111111,4,105.0,10125,229.5,45360,0.20833333333333334,-299.16982321864634
11,12,3,0.0,2,19.0,0,34.0,0,0.25,-12.829998357048165
11,106,6,0.0,4,28.0,684,50.5,2244,0.3,-33.977762880815675
14,15,18,0.125,4,95.5,7560,214.5,35910,0.17857142857142858,-182.70678447671418
14,65,12,0.0,4,71.5,4872,141.0,19152,0.2857142857142857,-134.7985387460115
15,21,36,0.0,4,120.0,14175,272.5,72450,0.26136363636363635,-878.2342584821884
15,75,18,0.0,4,91.5,6480,213.5,35280,0.24305555555555555,-296.0236410259736
15,94,12,0.0,4,77.5,2700,177.5,12600,0.19642857142857142,-164.97045881271063
15,145,12,0.0,4,84.5,4590,189.0,19845,0.21428571428571427,-187.24140289307357
16,20,8,0.0,4,13.0,165,33.0,945,0.26666666666666666,-58.69549530966094
17,18,9,0.0,4,43.0,1840,91.0,7752,0.2,-54.11653180774026
17,79,9,0.0,2,28.0,640,48.0,1904,0.3,-52.02669164213097
17,97,9,0.0,4,33.0,1040,61.0,3672,0.2,-43.36597499237193
18,47,12,0.0,4,66.5,4002,136.5,18126,0.20238095238095238,-102.67738848251031
19,20,4,0.0,2,7.5,0,22.5,0,0.2,-26.57515893259069
20,83,12,0.0,4,10.5,90,34.5,1080,0.2857142857142857,-103.0763985864358
20,29,8,0.0,4,11.0,105,30.5,720,0.26666666666666666,-61.93921617452625
21,43,12,0.0,2,59.5,1470,130.5,7130,0.21428571428571427,-181.7132928121073
21,71,12,0.0,4,58.5,1260,129.5,6670,0.19642857142857142,-164.36314076101473
21,115,12,0.0,4,63.0,2205,135.5,9430,0.20535714285714285,-173.09573016223703
21,116,12,0.0,2,59.0,1365,130.0,6900,0.21428571428571427,-181.71329281210734
21,61,18,0.0,4,74.5,4620,156.0,18860,0.25,-292.34496041418697
22,23,14,0.0,2,33.5,420,89.0,3432,0.19444444444444445,-219.01355915170785
22,40,14,0.0,4,39.0,1080,98.0,6240,0.19444444444444445,-228.71761967954708
22,81,21,0.1111111111111111,4,39.0,1080,102.0,7488,0.125,-142.18178700168608
22,135,7,0.0,2,30.0,0,78.0,0,0.125,-104.65474931193431
22,139,14,0.0,2,33.5,420,88.5,3276,0.19444444444444445,-219.01355915170785
22,148,14,0.0,4,36.0,720,92.0,4368,0.19444444444444445,-219.01355915170785
22,80,21,0.1111111111111111,4,39.0,1080,102.0,7488,0.125,-142.18178700168608
23,26,4,0.0,1,7.0,49,18.5,330,0.3333333333333333,-16.101406762940595
24,25,2,0.0,1,4.5,0,7.5,0,0.3333333333333333,-3.58351893845611
25,42,6,0.0,2,21.5,306,38.5,930,0.3,-24.515857875309507
26,27,4,0.0,1,6.5,42,11.5,120,0.3333333333333333,-8.317766166719343
27,104,2,0.0,1,3.0,0,4.0,0,0.3333333333333333,-2.772588722239781
28,32,4,0.0,4,10.0,91,17.5,276,0.3333333333333333,-12.712215321391781
29,30,6,0.0,4,12.5,126,25.0,544,0.3,-29.818879797456006
30,72,6,0.0,4,13.0,144,27.0,680,0.3,-29.818879797456
30,152,3,0.0,2,9.0,0,17.0,0,0.25,-10.75055681536833
31,32,4,0.0,4,5.0,21,9.5,84,0.3333333333333333,-11.090354888959125
31,35,4,0.0,4,2.5,6,6.5,42,0.3333333333333333,-11.090354888959125
33,34,12,0.0,4,59.5,2784,110.5,9858,0.27380952380952384,-125.38415356591602
33,65,16,0.0,4,87.0,7569,163.5,26712,0.26785714285714285,-199.78325480397143
33,147,8,0.0,4,54.0,1827,102.5,7314,0.25,-71.53990815671949
33,154,8,0.0,4,52.5,1566,97.0,5565,0.23333333333333334,-63.778472842482955
34,55,12,0.0,4,41.5,1632,82.0,6324,0.27380952380952384,-115.09956757662917
34,48,6,0.0,2,20.0,256,39.0,992,0.3,-33.46704750779013
35,37,4,0.0,4,3.0,8,7.0,48,0.3333333333333333,-11.090354888959125
36,37,4,0.0,4,4.0,16,9.0,80,0.3333333333333333,-11.090354888959125
36,103,4,0.0,4,5.0,24,12.0,140,0.3333333333333333,-13.862943611198904
38,42,12,0.0,4,44.0,1836,103.0,8928,0.20238095238095238,-83.93934169983734
38,100,8,0.0,4,36.0,972,91.5,5616,0.16666666666666666,-45.76540976567951
38,41,16,0.0,4,58.5,3402,142.5,20304,0.19642857142857142,-138.74431818303088
39,73,12,0.0,4,56.0,3036,109.0,11592,0.27380952380952384,-127.2720897299098
39,138,3,0.0,2,23.0,0,46.0,0,0.25,-15.3494870543872
40,41,8,0.0,4,40.5,1134,90.5,5640,0.26666666666666666,-71.98212617608966
41,93,8,0.0,4,40.0,1071,85.0,4089,0.16666666666666666,-40.40737520068526
41,127,12,0.0,4,52.5,2646,114.5,12408,0.25,-100.00556740382605
42,93,6,0.0,4,25.5,578,45.5,1798,0.175,-19.39442240805449
43,85,4,0.0,1,12.5,154,25.0,589,0.3333333333333333,-15.484804043631563
44,45,9,0.0,4,31.0,952,67.0,4464,0.14444444444444446,-29.830310710062555
44,77,12,0.0,4,54.5,2268,118.5,11880,0.2857142857142857,-106.31520196268717
44,112,9,0.0,4,31.0,952,67.0,4464,0.14444444444444443,-29.83031071006255
45,46,9,0.0,4,35.0,1224,66.0,4340,0.14444444444444443,-29.83031071006255
45,92,9,0.0,4,23.0,408,45.0,1736,0.14444444444444443,-23.823035145209694
46,65,12,0.0,4,61.5,3132,119.0,11760,0.2857142857142857,-120.85849365038854
46,112,9,0.0,4,35.0,1224,66.0,4340,0.14444444444444443,-29.83031071006255
47,97,12,0.0,4,56.5,2262,106.5,8586,0.20238095238095238,-87.44743299407185
48,49,2,0.0,1,4.0,0,8.0,0,0.3333333333333333,-3.58351893845611
50,51,4,0.0,4,3.0,9,9.0,80,0.2916666666666667,-10.351288712568277
50,111,6,0.0,4,4.5,18,13.0,144,0.275,-22.308678421710468
51,52,4,0.0,4,4.0,15,11.5,130,0.2916666666666667,-11.436830961631715
52,53,8,0.0,4,11.5,90,30.5,624,0.25,-55.69911804297978
53,76,8,0.0,4,14.0,180,35.0,1056,0.26666666666666666,-63.20805641593935
53,103,8,0.0,4,12.0,108,31.0,672,0.26666666666666666,-59.96433555107404
53,143,8,0.0,4,11.0,72,30.5,624,0.25,-59.089006471052706
54,120,6,0.0,4,26.0,576,60.0,2816,0.15,-15.194107546099595
55,56,8,0.0,4,32.5,714,69.5,3774,0.23333333333333334,-60.68218593259669
55,88,12,0.0,4,35.5,1020,74.0,4692,0.27380952380952384,-111.62333755009045
55,151,4,0.0,2,25.5,0,51.0,0,0.2,-27.322416879174888
57,58,9,0.0,4,26.0,676,62.0,3808,0.2833333333333333,-72.97918085449571
57,88,9,0.0,4,23.0,520,51.0,2576,0.2833333333333333,-69.41042316723347
57,122,6,0.0,2,18.0,260,36.0,896,0.3,-29.83967704531492
58,87,6,0.0,2,19.5,338,45.0,1496,0.3,-34.17248534991411
59,60,3,0.0,2,7.0,0,20.0,0,0.25,-13.17097631246573
60,66,12,0.0,4,20.5,378,59.0,3120,0.2619047619047619,-102.67661809495662
60,69,9,0.0,4,9.0,56,34.0,1120,0.24444444444444444,-42.884474003286364
61,62,3,0.0,2,22.0,0,41.0,0,0.25,-14.04639368137266
61,134,6,0.0,4,33.5,1012,62.5,3526,0.3,-37.749414837349924
63,64,9,0.2,4,19.0,336,38.0,1408,0.2,-25.8955627854091
63,149,6,0.0,4,17.0,240,34.0,1056,0.3,-27.386089148807017
64,155,3,0.0,2,7.0,0,16.0,0,0.25,-9.534161491043836
65,137,8,0.0,4,53.5,1740,103.0,6384,0.23333333333333334,-67.36641554813467
66,137,8,0.0,4,23.5,540,58.0,2964,0.23333333333333334,-60.48763579650732
66,118,12,0.0,4,19.5,324,59.0,3120,0.25,-94.08026716229779
66,154,8,0.0,4,22.5,486,56.5,2730,0.23333333333333334,-60.48763579650732
67,68,9,0.2,4,5.0,24,26.0,672,0.1,-9.832649229250029
67,69,9,0.2,4,4.0,16,28.0,784,0.15,-16.214032147616837
67,118,9,0.0,4,8.0,48,34.0,1120,0.14444444444444443,-23.170799299775695
68,69,9,0.2,4,5.0,24,26.0,672,0.175,-17.0898067290523
68,119,6,0.0,4,5.0,24,19.5,360,0.15,-9.449648860143748
70,71,4,0.0,4,12.5,156,27.0,725,0.25,-10.489522684399443
70,94,4,0.0,4,16.5,260,32.5,1000,0.25,-10.489522684399443
73,74,12,0.0,4,44.0,1452,88.0,6300,0.27380952380952384,-124.09517589868597
73,106,8,0.0,4,42.0,1188,79.5,4158,0.26666666666666666,-75.59233809764996
74,90,6,0.0,4,19.5,374,39.0,1400,0.275,-30.17778210200945
74,124,6,0.0,4,16.5,242,35.0,1000,0.3,-35.63312758101411
75,77,12,0.16666666666666666,4,64.5,3888,138.5,18480,0.16666666666666666,-57.68198910577685
76,132,6,0.0,4,12.0,140,32.0,924,0.3,-25.65999671409633
78,79,3,0.0,1,8.0,0,14.0,0,0.25,-9.887510598012987
79,91,3,0.0,1,8.0,0,14.0,0,0.25,-9.887510598012987
80,81,9,0.5,4,18.0,324,48.0,2304,0.08333333333333333,-6.591673732008659
80,132,9,0.2,4,16.0,252,45.0,2016,0.15,-15.262789005697154
81,132,9,0.2,4,16.0,252,45.0,2016,0.15,-15.262789005697154
82,83,9,0.0,4,5.0,24,21.0,432,0.2,-36.534269252681085
82,98,6,0.0,4,3.5,12,13.0,144,0.175,-12.542316284596385
82,136,3,0.0,2,2.0,0,9.0,0,0.25,-9.13356731317027
83,99,6,0.0,4,4.0,12,17.0,240,0.175,-17.394346548516
84,85,4,0.0,1,8.0,55,14.0,171,0.3333333333333333,-11.090354888959125
84,101,4,0.0,1,3.0,5,6.5,36,0.3333333333333333,-11.090354888959125
