i,j,order_CI_e_av_skin,order_CI_e_mul_skin,order_CI_e_av_body,order_CI_e_mul_body
0,1,4,4,4,4
0,39,29,28,103,102
0,54,190,42,190,30
0,89,189,190,48,190
0,127,188,189,14,48
1,6,2,2,2,2
1,18,17,16,189,22
1,38,7,7,6,6
1,54,187,56,23,189
1,125,186,188,57,188
2,3,3,3,3,3
2,58,22,22,22,21
2,147,184,186,41,41
2,56,185,187,188,187
2,77,5,5,5,5
2,113,43,41,102,101
3,13,183,185,187,186
3,77,18,17,21,20
3,75,24,23,101,100
3,146,182,184,69,70
4,5,181,183,46,47
4,16,180,182,186,185
5,133,179,181,184,183
5,73,15,15,185,184
5,47,8,8,9,8
6,130,178,180,183,182
6,100,36,37,40,40
6,125,9,9,13,13
6,134,177,179,182,181
7,8,176,178,17,16
7,28,175,177,100,99
7,47,26,29,181,180
8,64,42,26,64,37
8,72,174,176,179,178
8,63,21,20,180,179
9,10,173,175,178,177
9,126,172,174,177,176
10,14,170,172,87,87
10,11,171,173,38,36
10,15,10,10,8,9
11,12,169,171,176,175
11,106,168,170,175,174
14,15,12,12,11,11
14,65,167,169,174,173
15,21,1,1,1,1
15,75,35,36,29,28
15,94,166,168,173,172
15,145,165,167,99,171
16,20,40,166,98,98
17,18,164,165,172,170
17,79,163,164,68,46
17,97,162,163,36,97
18,47,161,162,32,63
19,20,160,161,171,169
20,83,158,34,26,27
20,29,159,55,63,66
21,43,39,40,170,168
21,71,32,33,43,44
21,115,157,160,31,33
21,116,54,54,97,96
21,61,16,19,15,17
22,23,156,159,54,54
22,40,38,32,34,38
22,81,13,13,10,10
22,135,155,158,169,167
22,139,154,157,168,166
22,148,25,39,25,29
22,80,14,14,12,14
23,26,153,156,167,165
24,25,152,155,166,164
25,42,151,154,165,163
26,27,53,53,96,95
27,104,150,153,164,162
28,32,149,152,163,161
29,30,31,151,162,160
30,72,60,43,37,45
30,152,148,150,161,159
31,32,51,52,60,60
31,35,147,149,160,158
33,34,19,18,33,32
33,65,6,6,7,7
33,147,146,148,159,157
33,154,145,147,158,156
34,55,143,145,86,86
34,48,144,146,157,155
35,37,142,144,156,154
36,37,141,143,85,85
36,103,140,142,155,153
38,42,139,141,84,84
38,100,138,140,154,152
38,41,28,25,20,25
39,73,137,139,16,15
39,138,136,138,153,151
40,41,135,137,152,150
41,93,59,136,151,149
41,127,11,11,45,12
42,93,134,135,56,56
43,85,133,134,59,59
44,45,132,133,150,148
44,77,131,132,55,55
44,112,130,131,35,34
45,46,129,130,95,94
45,92,128,129,44,43
46,65,34,35,24,23
46,112,127,82,149,147
47,97,126,128,77,35
48,49,125,127,148,146
50,51,124,126,147,145
50,111,123,125,94,93
51,52,122,124,66,68
52,53,37,38,146,144
53,76,121,123,39,39
53,103,30,30,30,31
53,143,46,44,145,143
54,120,120,122,76,83
55,56,50,51,51,51
55,88,27,27,19,18
55,151,119,121,144,142
57,58,118,120,143,141
57,88,117,119,50,50
57,122,116,118,93,92
58,87,115,117,75,74
59,60,114,116,142,140
60,66,113,115,28,26
60,69,112,114,141,139
61,62,111,113,140,138
61,134,110,112,83,82
63,64,109,111,47,81
63,149,108,110,82,65
64,155,107,109,139,137
65,137,20,21,58,58
66,137,105,107,138,136
66,118,106,108,18,19
66,154,33,31,81,80
67,68,104,106,137,135
67,69,103,105,65,67
67,118,102,104,53,53
68,69,58,103,42,42
68,119,45,46,92,91
70,71,101,102,136,134
70,94,100,101,74,79
73,74,23,24,27,24
73,106,49,50,73,73
74,90,99,100,91,133
74,124,98,99,135,132
75,77,52,98,134,131
76,132,97,97,133,130
78,79,65,96,132,129
79,91,57,95,131,128
80,81,96,94,130,127
80,132,95,93,90,90
81,132,94,92,67,69
82,83,93,91,129,126
82,98,92,90,62,64
82,136,91,89,128,125
83,99,90,88,80,78
84,85,89,87,127,124
84,101,88,86,126,123
86,87,56,85,125,122
88,109,87,84,124,121
89,90,41,49,123,61
92,105,86,83,122,120
92,112,85,81,72,72
95,96,84,80,121,119
95,128,83,79,89,89
96,114,82,78,61,62
97,102,81,77,120,118
98,99,55,76,119,117
101,141,80,75,79,77
107,108,79,74,118,116
108,109,48,48,88,88
110,111,78,73,117,115
111,143,77,72,52,52
113,114,76,71,116,114
115,146,75,70,115,113
116,117,74,69,114,112
117,144,73,68,71,71
118,119,72,67,113,111
120,127,64,66,112,110
121,122,71,65,111,109
123,124,70,64,70,76
123,130,47,45,49,49
123,131,69,63,110,108
125,145,44,47,109,57
128,129,63,62,108,107
139,140,68,61,78,75
140,153,62,60,107,106
141,142,61,59,106,105
144,150,67,58,105,104
148,149,66,57,104,103
