i,j,order_Jaccard
0,1,190
0,39,165
0,54,189
0,89,164
0,127,163
1,6,168
1,18,162
1,38,161
1,54,188
1,125,166
2,3,187
2,58,159
2,147,157
2,56,160
2,77,186
2,113,158
3,13,156
3,77,185
3,75,172
3,146,155
4,5,154
4,16,153
5,133,150
5,73,151
5,47,152
6,130,148
6,100,149
6,125,167
6,134,147
7,8,146
7,28,145
7,47,144
8,64,180
8,72,143
8,63,181
9,10,142
9,126,141
10,14,184
10,11,140
10,15,183
11,12,139
11,106,138
14,15,182
14,65,137
15,21,136
15,75,135
15,94,134
15,145,133
16,20,132
17,18,131
17,79,130
17,97,129
18,47,128
19,20,127
20,83,125
20,29,126
21,43,124
21,71,122
21,115,121
21,116,120
21,61,123
22,23,119
22,40,118
22,81,174
22,135,117
22,139,116
22,148,115
22,80,175
23,26,114
24,25,113
25,42,112
26,27,111
27,104,110
28,32,109
29,30,108
30,72,107
30,152,106
31,32,105
31,35,104
33,34,103
33,65,102
33,147,101
33,154,100
34,55,98
34,48,99
35,37,97
36,37,96
36,103,95
38,42,93
38,100,92
38,41,94
39,73,91
39,138,90
40,41,89
41,93,88
41,127,87
42,93,86
43,85,85
44,45,84
44,77,83
44,112,82
45,46,81
45,92,80
46,65,79
46,112,78
47,97,77
48,49,76
50,51,75
50,111,74
51,52,73
52,53,72
53,76,71
53,103,70
53,143,69
54,120,68
55,56,67
55,88,66
55,151,65
57,58,64
57,88,63
57,122,62
58,87,61
59,60,60
60,66,59
60,69,58
61,62,57
61,134,56
63,64,179
63,149,55
64,155,54
65,137,53
66,137,51
66,118,52
66,154,50
67,68,178
67,69,177
67,118,49
68,69,176
68,119,48
70,71,47
70,94,46
73,74,45
73,106,44
74,90,43
74,124,42
75,77,171
76,132,41
78,79,40
79,91,39
80,81,173
80,132,170
81,132,169
82,83,38
82,98,37
82,136,36
83,99,35
84,85,34
84,101,33
86,87,32
88,109,31
89,90,30
92,105,29
92,112,28
95,96,27
95,128,26
96,114,25
97,102,24
98,99,23
101,141,22
107,108,21
108,109,20
110,111,19
111,143,18
113,114,17
115,146,16
116,117,15
117,144,14
118,119,13
120,127,12
121,122,11
123,124,10
123,130,9
123,131,8
125,145,7
128,129,6
139,140,5
140,153,4
141,142,3
144,150,2
148,149,1
