i,j,order_LDC
0,1,4
0,39,38
0,54,190
0,89,123
0,127,23
1,6,3
1,18,101
1,38,189
1,54,22
1,125,60
2,3,2
2,58,21
2,147,59
2,56,188
2,77,7
2,113,122
3,13,187
3,77,20
3,75,121
3,146,58
4,5,57
4,16,186
5,133,120
5,73,11
5,47,185
6,130,119
6,100,184
6,125,19
6,134,56
7,8,100
7,28,183
7,47,55
8,64,18
8,72,182
8,63,37
9,10,99
9,126,181
10,14,180
10,11,36
10,15,6
11,12,179
11,106,118
14,15,35
14,65,98
15,21,1
15,75,17
15,94,178
15,145,97
16,20,96
17,18,177
17,79,34
17,97,95
18,47,33
19,20,176
20,83,16
20,29,54
21,43,175
21,71,94
21,115,53
21,116,41
21,61,12
22,23,93
22,40,52
22,81,5
22,135,174
22,139,40
22,148,24
22,80,8
23,26,173
24,25,172
25,42,117
26,27,92
27,104,171
28,32,91
29,30,170
30,72,51
30,152,116
31,32,169
31,35,90
33,34,168
33,65,10
33,147,115
33,154,50
34,55,32
34,48,89
35,37,167
36,37,88
36,103,166
38,42,31
38,100,87
38,41,9
39,73,165
39,138,114
40,41,164
41,93,113
41,127,49
42,93,86
43,85,112
44,45,30
44,77,163
44,112,111
45,46,162
45,92,85
46,65,29
46,112,84
47,97,15
48,49,161
50,51,160
50,111,48
51,52,83
52,53,159
53,76,82
53,103,47
53,143,39
54,120,81
55,56,80
55,88,14
55,151,158
57,58,157
57,88,79
57,122,46
58,87,78
59,60,156
60,66,28
60,69,110
61,62,155
61,134,109
63,64,154
63,149,77
64,155,108
65,137,153
66,137,76
66,118,13
66,154,152
67,68,151
67,69,75
67,118,45
68,69,27
68,119,74
70,71,150
70,94,73
73,74,26
73,106,72
74,90,149
74,124,107
75,77,71
76,132,148
78,79,147
79,91,106
80,81,146
80,132,70
81,132,44
82,83,145
82,98,43
82,136,105
83,99,69
84,85,68
84,101,144
86,87,143
88,109,142
89,90,67
92,105,141
92,112,25
95,96,140
95,128,66
96,114,104
97,102,139
98,99,138
101,141,65
107,108,137
108,109,64
110,111,136
111,143,103
113,114,63
115,146,135
116,117,134
117,144,62
118,119,133
120,127,132
121,122,131
123,124,61
123,130,42
123,131,130
125,145,129
128,129,128
139,140,127
140,153,102
141,142,126
144,150,125
148,149,124
