i,j,order_LKS
0,1,190
0,39,189
0,54,188
0,89,187
0,127,186
1,6,185
1,18,184
1,38,183
1,54,37
1,125,182
2,3,181
2,58,179
2,147,176
2,56,180
2,77,178
2,113,177
3,13,175
3,77,36
3,75,174
3,146,173
4,5,172
4,16,171
5,133,168
5,73,169
5,47,170
6,130,166
6,100,167
6,125,35
6,134,165
7,8,164
7,28,163
7,47,162
8,64,160
8,72,159
8,63,161
9,10,158
9,126,157
10,14,155
10,11,156
10,15,154
11,12,153
11,106,152
14,15,34
14,65,151
15,21,150
15,75,33
15,94,149
15,145,148
16,20,147
17,18,146
17,79,145
17,97,144
18,47,143
19,20,142
20,83,140
20,29,141
21,43,139
21,71,137
21,115,136
21,116,135
21,61,138
22,23,134
22,40,133
22,81,131
22,135,130
22,139,129
22,148,128
22,80,132
23,26,127
24,25,126
25,42,125
26,27,124
27,104,123
28,32,122
29,30,121
30,72,32
30,152,120
31,32,119
31,35,118
33,34,117
33,65,116
33,147,31
33,154,115
34,55,113
34,48,114
35,37,112
36,37,111
36,103,110
38,42,108
38,100,30
38,41,109
39,73,29
39,138,107
40,41,106
41,93,105
41,127,28
42,93,27
43,85,104
44,45,103
44,77,102
44,112,101
45,46,100
45,92,99
46,65,26
46,112,25
47,97,24
48,49,98
50,51,97
50,111,96
51,52,95
52,53,94
53,76,93
53,103,92
53,143,91
54,120,90
55,56,23
55,88,89
55,151,88
57,58,87
57,88,22
57,122,86
58,87,85
59,60,84
60,66,83
60,69,82
61,62,81
61,134,21
63,64,20
63,149,80
64,155,79
65,137,78
66,137,76
66,118,77
66,154,19
67,68,75
67,69,74
67,118,18
68,69,17
68,119,73
70,71,72
70,94,16
73,74,71
73,106,15
74,90,70
74,124,69
75,77,14
76,132,68
78,79,67
79,91,66
80,81,13
80,132,12
81,132,11
82,83,65
82,98,64
82,136,63
83,99,62
84,85,61
84,101,60
86,87,59
88,109,58
89,90,10
92,105,57
92,112,9
95,96,56
95,128,55
96,114,54
97,102,53
98,99,8
101,141,52
107,108,51
108,109,50
110,111,49
111,143,7
113,114,48
115,146,6
116,117,47
117,144,46
118,119,5
120,127,4
121,122,45
123,124,44
123,130,3
123,131,43
125,145,2
128,129,42
139,140,41
140,153,40
141,142,39
144,150,38
148,149,1
