i,j,order_LLBCe,order_LLBMEe1
0,1,109,2
0,39,125,18
0,54,139,39
0,89,124,190
0,127,138,128
1,6,174,10
1,18,108,23
1,38,134,5
1,54,110,92
1,125,173,189
2,3,126,3
2,58,132,16
2,147,130,127
2,56,133,41
2,77,127,4
2,113,131,188
3,13,129,93
3,77,148,146
3,75,149,187
3,146,128,38
4,5,107,186
4,16,33,69
5,133,105,126
5,73,106,7
5,47,68,33
6,130,170,40
6,100,171,185
6,125,172,15
6,134,169,125
7,8,123,184
7,28,67,124
7,47,66,13
8,64,154,81
8,72,122,29
8,63,155,47
9,10,117,91
9,126,32,183
10,14,115,182
10,11,116,32
10,15,111,9
11,12,48,181
11,106,47,123
14,15,112,14
14,65,63,68
15,21,79,1
15,75,82,28
15,94,114,180
15,145,113,122
16,20,104,179
17,18,159,178
17,79,44,35
17,97,158,80
18,47,157,121
19,20,103,120
20,83,65,20
20,29,102,45
21,43,168,67
21,71,166,43
21,115,165,177
21,116,164,27
21,61,167,11
22,23,184,36
22,40,183,6
22,81,181,176
22,135,180,119
22,139,179,22
22,148,178,12
22,80,182,73
23,26,31,175
24,25,30,174
25,42,101,90
26,27,29,89
27,104,28,173
28,32,27,66
29,30,43,172
30,72,41,118
30,152,42,85
31,32,26,171
31,35,25,117
33,34,100,26
33,65,99,8
33,147,78,79
33,154,98,170
34,55,72,51
34,48,73,169
35,37,24,65
36,37,23,168
36,103,22,116
38,42,162,37
38,100,135,64
38,41,163,167
39,73,59,166
39,138,61,115
40,41,77,114
41,93,161,46
41,127,97,21
42,93,160,165
43,85,21,164
44,45,185,95
44,77,64,34
44,112,186,163
45,46,190,162
45,92,189,53
46,65,62,31
46,112,188,94
47,97,156,71
48,49,20,113
50,51,52,161
50,111,55,88
51,52,51,63
52,53,121,160
53,76,120,25
53,103,119,44
53,143,118,112
54,120,137,159
55,56,74,158
55,88,76,17
55,151,75,111
57,58,96,62
57,88,69,42
57,122,71,157
58,87,95,156
59,60,84,155
60,66,83,19
60,69,94,52
61,62,40,154
61,134,39,78
63,64,153,48
63,149,93,153
64,155,92,152
65,137,91,151
66,137,90,110
66,118,85,30
66,154,89,61
67,68,152,82
67,69,151,150
67,118,142,109
68,69,150,84
68,119,141,149
70,71,81,148
70,94,80,77
73,74,56,24
73,106,60,60
74,90,58,147
74,124,57,108
75,77,147,145
76,132,38,144
78,79,46,143
79,91,45,107
80,81,177,74
80,132,176,106
81,132,175,72
82,83,146,142
82,98,145,70
82,136,88,105
83,99,144,76
84,85,19,104
84,101,18,59
86,87,17,103
88,109,70,141
89,90,50,58
92,105,87,140
92,112,187,54
95,96,16,139
95,128,15,75
96,114,14,102
97,102,86,138
98,99,143,137
101,141,13,136
107,108,12,135
108,109,11,87
110,111,54,134
111,143,53,49
113,114,10,57
115,146,49,101
116,117,9,133
117,144,8,86
118,119,140,83
120,127,136,56
121,122,7,100
123,124,37,50
123,130,35,132
123,131,36,99
125,145,34,55
128,129,6,131
139,140,5,130
140,153,4,98
141,142,3,97
144,150,2,129
148,149,1,96
