i,j,EBC,CFEdge,BridgeImpact,MinCutCrit,line_name,line_voltage,length_m
389,433,0.03626688723462917,0.05835539620556105,0.0,8.271298593879239e-05,"中沢線1,2号線",275000,1530.67365593395
389,6388,0.03113178935759582,0.07062163665176105,0.0,0.0037220843672456576,中東京信濃川線,500000;154000,35767.063144589
389,6036,0.002879790460435622,0.029580155648658568,0.0,0.0015715467328370554,旭ヶ丘線; 日高線,275000,4007.32973551566
389,5914,0.019295561069754625,0.04791894790477657,0.0,0.006038047973531845,中東京幹線,275000,393.979392521079
389,467,0.03523986765922251,0.07645563380703914,0.0,0.0023986765922249793,武蔵赤坂線,154000,8972.34248162508
399,433,0.06049647485131353,0.11403042534258984,0.0,0.00016542597187758478,新坂戸線 (Shin Sakado Sen),500000,6574.26211656818
433,5785,0.16945511477769556,0.17202891458282105,0.0,0.00380479735318445,新所沢線 (Shin Tokorozawa Sen),500000,15423.8262159238
158,433,0.20199468989791575,0.08677378764051427,0.0,0.00024813895781637717,南川越線;南川越線 (Minamikawagoe Sen),275000;275000,10806.3529091414
433,6036,0.018489109456851387,0.049711841420786204,0.0,0.0016542597187758478,南狭山線 (Minamisayama-sen),275000,4669.10319008206
433,6063,0.2781300599042533,0.15339066333228288,0.0,0.002315963606286187,新古河線 (Shin Koga Sen),500000,7638.41576885053
511,596,0.09542237332559911,0.12951485185654263,0.0,8.271298593879239e-05,,275000,22791.2997094834
596,6053,0.08257763741634701,0.08774231289757896,0.0,0.006038047973531845,,275000,11939.3830218432
596,9119,0.024941903974162065,0.07351461718947307,0.0,0.007692307692307693,,500000,39570.7871988597
596,7150,0.03871041145234688,0.06738457766641419,0.0,0.004714640198511167,新京葉線;房総線;房総線;房総線;新京葉線;房総線;房総線;房総線,500000;500000;500000;500000;500000;500000;500000;500000,4141.94804589746
5886,596,0.08813870717096521,0.1021561413583938,0.0,0.00033085194375516956,房総線;新京葉線;新京葉線;新京葉線;房総線;新京葉線;新京葉線;房総線,500000;500000;500000;500000;500000;500000;500000;500000,23813.1864101691
596,6057,0.07444168734491315,0.07444168734491335,0.038461538461538436,0.01827956989247312,江東線,275000;66000,313.648766571559
473,511,0.01282051282051282,0.012820512820513096,0.0064102564102563875,0.008188585607940446,,275000,8199.11933475189
511,5886,0.0022332506203473945,0.04776607899616263,0.0,0.00041356492969396195,新京葉線,275000,295.322473177641
511,5887,0.09630543291833611,0.07753153846026359,0.0,0.002150537634408602,新京葉線,500000,302.64616072197
511,9349,0.01834534640986253,0.11508236142676395,0.0,0.012241521918941274,東京北線 (Tōkyō Kita Sen),275000,3380.55376996751
627,981,0.09892551892551893,0.1229761971143004,0.0,0.00967741935483871,新榛名線,500000,67545.81910491
627,628,0.08800740478159834,0.11609401867805187,0.0,0.0014061207609594706,,500000,1897.54661926685
6877,981,0.01282051282051282,0.012820512820513302,0.0064102564102563875,0.01174524400330852,,500000;500000,323.073321014981
1605,981,0.12330402572338056,0.19188969635777509,0.0,0.0022332506203473945,,500000,34604.2217447193
479,981,0.07025664299857846,0.12410461051279105,0.0,0.0016542597187758478,,500000;500000;500000,48233.3872261934
