network,metric,mode,x,rgc
anybeat,KFC_v2,static,0.0,1.0
anybeat,KFC_v2,static,2.0353333876088902e-05,0.9993673388691182
anybeat,KFC_v2,static,4.0706667752177804e-05,0.9993673388691182
anybeat,KFC_v2,static,6.106000162826671e-05,0.9993673388691182
anybeat,KFC_v2,static,8.141333550435561e-05,0.9993673388691182
anybeat,KFC_v2,static,0.00010176666938044451,0.9993673388691182
anybeat,KFC_v2,static,0.00012212000325653342,0.9993673388691182
anybeat,KFC_v2,static,0.0001424733371326223,0.9993673388691182
anybeat,KFC_v2,static,0.00016282667100871122,0.9989719256623171
anybeat,KFC_v2,static,0.00018318000488480013,0.998576512455516
anybeat,KFC_v2,static,0.00020353333876088901,0.9981810992487149
anybeat,KFC_v2,static,0.00022388667263697793,0.9981810992487149
anybeat,KFC_v2,static,0.00024424000651306684,0.9981810992487149
anybeat,KFC_v2,static,0.00026459334038915575,0.9981810992487149
anybeat,KFC_v2,static,0.0002849466742652446,0.9981810992487149
anybeat,KFC_v2,static,0.0003053000081413335,0.9981810992487149
anybeat,KFC_v2,static,0.00032565334201742243,0.9981810992487149
anybeat,KFC_v2,static,0.00034600667589351135,0.9981810992487149
anybeat,KFC_v2,static,0.00036636000976960026,0.9981810992487149
anybeat,KFC_v2,static,0.0003867133436456891,0.9981810992487149
anybeat,KFC_v2,static,0.00040706667752177803,0.9981810992487149
anybeat,KFC_v2,static,0.00042742001139786694,0.9981810992487149
anybeat,KFC_v2,static,0.00044777334527395585,0.9981810992487149
anybeat,KFC_v2,static,0.00046812667915004477,0.9981810992487149
anybeat,KFC_v2,static,0.0004884800130261337,0.9981810992487149
anybeat,KFC_v2,static,0.0005088333469022225,0.9981810992487149
anybeat,KFC_v2,static,0.0005291866807783115,0.9981810992487149
anybeat,KFC_v2,static,0.0005495400146544004,0.9981810992487149
anybeat,KFC_v2,static,0.0005698933485304892,0.9981810992487149
anybeat,KFC_v2,static,0.0005902466824065782,0.9981810992487149
anybeat,KFC_v2,static,0.000610600016282667,0.9981810992487149
anybeat,KFC_v2,static,0.000630953350158756,0.9981810992487149
anybeat,KFC_v2,static,0.0006513066840348449,0.9981810992487149
anybeat,KFC_v2,static,0.0006716600179109337,0.9981810992487149
anybeat,KFC_v2,static,0.0006920133517870227,0.9981810992487149
anybeat,KFC_v2,static,0.0007123666856631116,0.9981810992487149
anybeat,KFC_v2,static,0.0007327200195392005,0.9981810992487149
anybeat,KFC_v2,static,0.0007530733534152894,0.9981810992487149
anybeat,KFC_v2,static,0.0007734266872913782,0.9981810992487149
anybeat,KFC_v2,static,0.0007937800211674672,0.9981810992487149
anybeat,KFC_v2,static,0.0008141333550435561,0.9981810992487149
anybeat,KFC_v2,static,0.000834486688919645,0.9979438513246343
anybeat,KFC_v2,static,0.0008548400227957339,0.9977066034005536
anybeat,KFC_v2,static,0.0008751933566718227,0.9974693554764729
anybeat,KFC_v2,static,0.0008955466905479117,0.9972321075523922
anybeat,KFC_v2,static,0.0009159000244240006,0.9969948596283116
anybeat,KFC_v2,static,0.0009362533583000895,0.9967576117042309
anybeat,KFC_v2,static,0.0009566066921761784,0.9965203637801503
anybeat,KFC_v2,static,0.0009769600260522674,0.9962831158560695
anybeat,KFC_v2,static,0.000997313359928356,0.9960458679319889
anybeat,KFC_v2,static,0.001017666693804445,0.9958086200079083
anybeat,KFC_v2,static,0.001038020027680534,0.9955713720838276
anybeat,KFC_v2,static,0.001058373361556623,0.9955713720838276
anybeat,KFC_v2,static,0.0010787266954327118,0.9955713720838276
anybeat,KFC_v2,static,0.0010990800293088007,0.9955713720838276
anybeat,KFC_v2,static,0.0011194333631848897,0.9955713720838276
anybeat,KFC_v2,static,0.0011397866970609784,0.9955713720838276
anybeat,KFC_v2,static,0.0011601400309370674,0.9955713720838276
anybeat,KFC_v2,static,0.0011804933648131564,0.9955713720838276
anybeat,KFC_v2,static,0.0012008466986892451,0.9955713720838276
anybeat,KFC_v2,static,0.001221200032565334,0.9955713720838276
anybeat,KFC_v2,static,0.001241553366441423,0.9955713720838276
anybeat,KFC_v2,static,0.001261906700317512,0.9955713720838276
anybeat,KFC_v2,static,0.0012822600341936008,0.9955713720838276
anybeat,KFC_v2,static,0.0013026133680696897,0.9955713720838276
anybeat,KFC_v2,static,0.0013229667019457787,0.9951759588770265
anybeat,KFC_v2,static,0.0013433200358218675,0.9951759588770265
anybeat,KFC_v2,static,0.0013636733696979564,0.9951759588770265
anybeat,KFC_v2,static,0.0013840267035740454,0.9951759588770265
anybeat,KFC_v2,static,0.0014043800374501344,0.9951759588770265
anybeat,KFC_v2,static,0.001424733371326223,0.9951759588770265
anybeat,KFC_v2,static,0.001445086705202312,0.9951759588770265
anybeat,KFC_v2,static,0.001465440039078401,0.9951759588770265
anybeat,KFC_v2,static,0.0014857933729544898,0.9916963226571768
anybeat,KFC_v2,static,0.0015061467068305787,0.9916963226571768
anybeat,KFC_v2,static,0.0015265000407066677,0.9916963226571768
anybeat,KFC_v2,static,0.0015468533745827565,0.9916963226571768
anybeat,KFC_v2,static,0.0015672067084588454,0.9916963226571768
anybeat,KFC_v2,static,0.0015875600423349344,0.9916963226571768
anybeat,KFC_v2,static,0.0016079133762110234,0.9916963226571768
anybeat,KFC_v2,static,0.0016282667100871121,0.9916963226571768
anybeat,KFC_v2,static,0.001648620043963201,0.9916963226571768
anybeat,KFC_v2,static,0.00166897337783929,0.9916963226571768
anybeat,KFC_v2,static,0.0016893267117153788,0.9916963226571768
anybeat,KFC_v2,static,0.0017096800455914678,0.9916963226571768
anybeat,KFC_v2,static,0.0017300333794675567,0.9916963226571768
anybeat,KFC_v2,static,0.0017503867133436455,0.9916963226571768
anybeat,KFC_v2,static,0.0017707400472197344,0.9916963226571768
anybeat,KFC_v2,static,0.0017910933810958234,0.9916963226571768
anybeat,KFC_v2,static,0.0018114467149719124,0.9916963226571768
anybeat,KFC_v2,static,0.0018318000488480011,0.9916963226571768
anybeat,KFC_v2,static,0.00185215338272409,0.9916963226571768
anybeat,KFC_v2,static,0.001872506716600179,0.9916963226571768
anybeat,KFC_v2,static,0.0018928600504762678,0.9916963226571768
anybeat,KFC_v2,static,0.0019132133843523568,0.9916963226571768
anybeat,KFC_v2,static,0.0019335667182284457,0.9916963226571768
anybeat,KFC_v2,static,0.0019539200521045347,0.9916963226571768
anybeat,KFC_v2,static,0.0019742733859806237,0.9916963226571768
anybeat,KFC_v2,static,0.001994626719856712,0.9916963226571768
anybeat,KFC_v2,static,0.002014980053732801,0.9916963226571768
anybeat,KFC_v2,static,0.00203533338760889,0.9916963226571768
anybeat,KFC_v2,static,0.002055686721484979,0.9916963226571768
anybeat,KFC_v2,static,0.002076040055361068,0.9916963226571768
anybeat,KFC_v2,static,0.002096393389237157,0.9916963226571768
anybeat,KFC_v2,static,0.002116746723113246,0.9916963226571768
anybeat,KFC_v2,static,0.0021371000569893345,0.9916963226571768
anybeat,KFC_v2,static,0.0021574533908654235,0.9916963226571768
anybeat,KFC_v2,static,0.0021778067247415125,0.9916963226571768
anybeat,KFC_v2,static,0.0021981600586176014,0.9916963226571768
anybeat,KFC_v2,static,0.0022185133924936904,0.9916963226571768
anybeat,KFC_v2,static,0.0022388667263697794,0.9916963226571768
anybeat,KFC_v2,static,0.0022592200602458683,0.9916963226571768
anybeat,KFC_v2,static,0.002279573394121957,0.9916963226571768
anybeat,KFC_v2,static,0.002299926727998046,0.9916963226571768
anybeat,KFC_v2,static,0.002320280061874135,0.9916963226571768
anybeat,KFC_v2,static,0.0023406333957502238,0.9916963226571768
anybeat,KFC_v2,static,0.0023609867296263127,0.9916963226571768
anybeat,KFC_v2,static,0.0023813400635024017,0.9916963226571768
anybeat,KFC_v2,static,0.0024016933973784902,0.9916963226571768
anybeat,KFC_v2,static,0.002422046731254579,0.9916963226571768
anybeat,KFC_v2,static,0.002442400065130668,0.9916963226571768
anybeat,KFC_v2,static,0.002462753399006757,0.9916963226571768
anybeat,KFC_v2,static,0.002483106732882846,0.9916963226571768
anybeat,KFC_v2,static,0.002503460066758935,0.9916963226571768
anybeat,KFC_v2,static,0.002523813400635024,0.9916963226571768
anybeat,KFC_v2,static,0.0025441667345111126,0.9916963226571768
anybeat,KFC_v2,static,0.0025645200683872015,0.9916963226571768
anybeat,KFC_v2,static,0.0025848734022632905,0.9916963226571768
anybeat,KFC_v2,static,0.0026052267361393795,0.9907473309608541
anybeat,KFC_v2,static,0.0026255800700154684,0.9907473309608541
anybeat,KFC_v2,static,0.0026459334038915574,0.9907473309608541
anybeat,KFC_v2,static,0.0026662867377676464,0.9907473309608541
anybeat,KFC_v2,static,0.002686640071643735,0.9907473309608541
anybeat,KFC_v2,static,0.002706993405519824,0.9907473309608541
anybeat,KFC_v2,static,0.002727346739395913,0.9907473309608541
anybeat,KFC_v2,static,0.002747700073272002,0.9907473309608541
anybeat,KFC_v2,static,0.0027680534071480908,0.9907473309608541
anybeat,KFC_v2,static,0.0027884067410241797,0.9907473309608541
anybeat,KFC_v2,static,0.0028087600749002687,0.9907473309608541
anybeat,KFC_v2,static,0.0028291134087763572,0.9907473309608541
anybeat,KFC_v2,static,0.002849466742652446,0.9907473309608541
anybeat,KFC_v2,static,0.002869820076528535,0.9907473309608541
anybeat,KFC_v2,static,0.002890173410404624,0.9907473309608541
anybeat,KFC_v2,static,0.002910526744280713,0.9907473309608541
anybeat,KFC_v2,static,0.002930880078156802,0.9907473309608541
anybeat,KFC_v2,static,0.0029512334120328906,0.9907473309608541
anybeat,KFC_v2,static,0.0029715867459089796,0.9907473309608541
anybeat,KFC_v2,static,0.0029919400797850685,0.9907473309608541
anybeat,KFC_v2,static,0.0030122934136611575,0.9907473309608541
anybeat,KFC_v2,static,0.0030326467475372465,0.9907473309608541
anybeat,KFC_v2,static,0.0030530000814133354,0.9907473309608541
anybeat,KFC_v2,static,0.0030733534152894244,0.9907473309608541
anybeat,KFC_v2,static,0.003093706749165513,0.9907473309608541
anybeat,KFC_v2,static,0.003114060083041602,0.9907473309608541
anybeat,KFC_v2,static,0.003134413416917691,0.9907473309608541
anybeat,KFC_v2,static,0.00315476675079378,0.9907473309608541
anybeat,KFC_v2,static,0.003175120084669869,0.9907473309608541
anybeat,KFC_v2,static,0.0031954734185459578,0.9907473309608541
anybeat,KFC_v2,static,0.0032158267524220467,0.9907473309608541
anybeat,KFC_v2,static,0.0032361800862981353,0.9907473309608541
anybeat,KFC_v2,static,0.0032565334201742242,0.9907473309608541
anybeat,KFC_v2,static,0.003276886754050313,0.9907473309608541
anybeat,KFC_v2,static,0.003297240087926402,0.9907473309608541
anybeat,KFC_v2,static,0.003317593421802491,0.9907473309608541
anybeat,KFC_v2,static,0.00333794675567858,0.9907473309608541
anybeat,KFC_v2,static,0.003358300089554669,0.9907473309608541
anybeat,KFC_v2,static,0.0033786534234307576,0.9907473309608541
anybeat,KFC_v2,static,0.0033990067573068466,0.9907473309608541
anybeat,KFC_v2,static,0.0034193600911829355,0.9907473309608541
anybeat,KFC_v2,static,0.0034397134250590245,0.9907473309608541
anybeat,KFC_v2,static,0.0034600667589351135,0.9907473309608541
anybeat,KFC_v2,static,0.0034804200928112024,0.9907473309608541
anybeat,KFC_v2,static,0.003500773426687291,0.9907473309608541
anybeat,KFC_v2,static,0.00352112676056338,0.9907473309608541
anybeat,KFC_v2,static,0.003541480094439469,0.9907473309608541
anybeat,KFC_v2,static,0.003561833428315558,0.9907473309608541
anybeat,KFC_v2,static,0.003582186762191647,0.9907473309608541
anybeat,KFC_v2,static,0.003602540096067736,0.9907473309608541
anybeat,KFC_v2,static,0.0036228934299438248,0.9907473309608541
anybeat,KFC_v2,static,0.0036432467638199133,0.9907473309608541
anybeat,KFC_v2,static,0.0036636000976960023,0.9907473309608541
anybeat,KFC_v2,static,0.0036839534315720912,0.9907473309608541
anybeat,KFC_v2,static,0.00370430676544818,0.9907473309608541
anybeat,KFC_v2,static,0.003724660099324269,0.9907473309608541
anybeat,KFC_v2,static,0.003745013433200358,0.9907473309608541
anybeat,KFC_v2,static,0.003765366767076447,0.9907473309608541
anybeat,KFC_v2,static,0.0037857201009525356,0.9907473309608541
anybeat,KFC_v2,static,0.0038060734348286246,0.9907473309608541
anybeat,KFC_v2,static,0.0038264267687047136,0.9907473309608541
anybeat,KFC_v2,static,0.0038467801025808025,0.9907473309608541
anybeat,KFC_v2,static,0.0038671334364568915,0.9907473309608541
anybeat,KFC_v2,static,0.0038874867703329805,0.9907473309608541
anybeat,KFC_v2,static,0.003907840104209069,0.9907473309608541
anybeat,KFC_v2,static,0.003928193438085158,0.9907473309608541
anybeat,KFC_v2,static,0.003948546771961247,0.9902728351126928
anybeat,KFC_v2,static,0.003968900105837336,0.9902728351126928
anybeat,KFC_v2,static,0.003989253439713424,0.9902728351126928
anybeat,KFC_v2,static,0.004009606773589513,0.9902728351126928
anybeat,KFC_v2,static,0.004029960107465602,0.9902728351126928
anybeat,KFC_v2,static,0.004050313441341691,0.9902728351126928
anybeat,KFC_v2,static,0.00407066677521778,0.9902728351126928
anybeat,KFC_v2,static,0.004091020109093869,0.9902728351126928
anybeat,KFC_v2,static,0.004111373442969958,0.9902728351126928
anybeat,KFC_v2,static,0.004131726776846047,0.9902728351126928
anybeat,KFC_v2,static,0.004152080110722136,0.9902728351126928
anybeat,KFC_v2,static,0.004172433444598225,0.9902728351126928
anybeat,KFC_v2,static,0.004192786778474314,0.9902728351126928
anybeat,KFC_v2,static,0.004213140112350403,0.9902728351126928
anybeat,KFC_v2,static,0.004233493446226492,0.9902728351126928
anybeat,KFC_v2,static,0.00425384678010258,0.9902728351126928
anybeat,KFC_v2,static,0.004274200113978669,0.9902728351126928
