network,metric,mode,x,rgc
dolphins,KFC_v2,static,0.0,1.0
dolphins,KFC_v2,static,0.006289308176100629,1.0
dolphins,KFC_v2,static,0.012578616352201259,1.0
dolphins,KFC_v2,static,0.01886792452830189,1.0
dolphins,KFC_v2,static,0.025157232704402517,1.0
dolphins,KFC_v2,static,0.031446540880503145,1.0
dolphins,KFC_v2,static,0.03773584905660378,1.0
dolphins,KFC_v2,static,0.04402515723270441,1.0
dolphins,KFC_v2,static,0.050314465408805034,1.0
dolphins,KFC_v2,static,0.05660377358490566,1.0
dolphins,KFC_v2,static,0.06289308176100629,1.0
dolphins,KFC_v2,static,0.06918238993710692,1.0
dolphins,KFC_v2,static,0.07547169811320756,1.0
dolphins,KFC_v2,static,0.08176100628930819,1.0
dolphins,KFC_v2,static,0.08805031446540881,1.0
dolphins,KFC_v2,static,0.09433962264150944,1.0
dolphins,KFC_v2,static,0.10062893081761007,1.0
dolphins,KFC_v2,static,0.1069182389937107,1.0
dolphins,KFC_v2,static,0.11320754716981132,1.0
dolphins,KFC_v2,static,0.11949685534591195,1.0
dolphins,KFC_v2,static,0.12578616352201258,1.0
dolphins,KFC_v2,static,0.1320754716981132,1.0
dolphins,KFC_v2,static,0.13836477987421383,1.0
dolphins,KFC_v2,static,0.14465408805031446,1.0
dolphins,KFC_v2,static,0.15094339622641512,1.0
dolphins,KFC_v2,static,0.15723270440251574,1.0
dolphins,KFC_v2,static,0.16352201257861637,1.0
dolphins,KFC_v2,static,0.169811320754717,1.0
dolphins,KFC_v2,static,0.17610062893081763,1.0
dolphins,KFC_v2,static,0.18238993710691825,1.0
dolphins,KFC_v2,static,0.18867924528301888,0.7096774193548387
dolphins,KFC_v2,static,0.1949685534591195,0.7096774193548387
dolphins,KFC_v2,static,0.20125786163522014,0.7096774193548387
dolphins,KFC_v2,static,0.20754716981132076,0.7096774193548387
dolphins,KFC_v2,static,0.2138364779874214,0.7096774193548387
dolphins,KFC_v2,static,0.22012578616352202,0.7096774193548387
dolphins,KFC_v2,static,0.22641509433962265,0.7096774193548387
dolphins,KFC_v2,static,0.23270440251572327,0.5806451612903226
dolphins,KFC_v2,static,0.2389937106918239,0.4838709677419355
dolphins,KFC_v2,static,0.24528301886792453,0.2903225806451613
dolphins,KFC_v2,static,0.25157232704402516,0.2903225806451613
dolphins,KFC_v2,static,0.2578616352201258,0.2903225806451613
dolphins,KFC_v2,static,0.2641509433962264,0.2903225806451613
dolphins,KFC_v2,static,0.27044025157232704,0.2903225806451613
dolphins,KFC_v2,static,0.27672955974842767,0.2903225806451613
dolphins,KFC_v2,static,0.2830188679245283,0.2903225806451613
dolphins,KFC_v2,static,0.2893081761006289,0.27419354838709675
dolphins,KFC_v2,static,0.29559748427672955,0.27419354838709675
dolphins,KFC_v2,static,0.30188679245283023,0.27419354838709675
dolphins,KFC_v2,static,0.30817610062893086,0.27419354838709675
dolphins,KFC_v2,static,0.3144654088050315,0.27419354838709675
dolphins,KFC_v2,static,0.3207547169811321,0.27419354838709675
dolphins,KFC_v2,static,0.32704402515723274,0.27419354838709675
dolphins,KFC_v2,static,0.33333333333333337,0.27419354838709675
dolphins,KFC_v2,static,0.339622641509434,0.27419354838709675
dolphins,KFC_v2,static,0.3459119496855346,0.27419354838709675
dolphins,KFC_v2,static,0.35220125786163525,0.27419354838709675
dolphins,KFC_v2,static,0.3584905660377359,0.27419354838709675
dolphins,KFC_v2,static,0.3647798742138365,0.27419354838709675
dolphins,KFC_v2,static,0.37106918238993714,0.27419354838709675
dolphins,KFC_v2,static,0.37735849056603776,0.27419354838709675
dolphins,KFC_v2,static,0.3836477987421384,0.27419354838709675
dolphins,KFC_v2,static,0.389937106918239,0.27419354838709675
dolphins,KFC_v2,static,0.39622641509433965,0.27419354838709675
dolphins,KFC_v2,static,0.4025157232704403,0.27419354838709675
dolphins,KFC_v2,static,0.4088050314465409,0.27419354838709675
dolphins,KFC_v2,static,0.41509433962264153,0.27419354838709675
dolphins,KFC_v2,static,0.42138364779874216,0.27419354838709675
dolphins,KFC_v2,static,0.4276729559748428,0.27419354838709675
dolphins,KFC_v2,static,0.4339622641509434,0.27419354838709675
dolphins,KFC_v2,static,0.44025157232704404,0.27419354838709675
dolphins,KFC_v2,static,0.44654088050314467,0.27419354838709675
dolphins,KFC_v2,static,0.4528301886792453,0.27419354838709675
dolphins,KFC_v2,static,0.4591194968553459,0.27419354838709675
dolphins,KFC_v2,static,0.46540880503144655,0.27419354838709675
dolphins,KFC_v2,static,0.4716981132075472,0.27419354838709675
dolphins,KFC_v2,static,0.4779874213836478,0.27419354838709675
dolphins,KFC_v2,static,0.48427672955974843,0.27419354838709675
dolphins,KFC_v2,static,0.49056603773584906,0.27419354838709675
dolphins,KFC_v2,static,0.4968553459119497,0.27419354838709675
dolphins,KFC_v2,static,0.5031446540880503,0.27419354838709675
dolphins,KFC_v2,static,0.5094339622641509,0.27419354838709675
dolphins,KFC_v2,static,0.5157232704402516,0.27419354838709675
dolphins,KFC_v2,static,0.5220125786163522,0.27419354838709675
dolphins,KFC_v2,static,0.5283018867924528,0.27419354838709675
dolphins,KFC_v2,static,0.5345911949685535,0.24193548387096775
dolphins,KFC_v2,static,0.5408805031446541,0.24193548387096775
dolphins,KFC_v2,static,0.5471698113207547,0.24193548387096775
dolphins,KFC_v2,static,0.5534591194968553,0.24193548387096775
dolphins,KFC_v2,static,0.559748427672956,0.24193548387096775
dolphins,KFC_v2,static,0.5660377358490566,0.24193548387096775
dolphins,KFC_v2,static,0.5723270440251572,0.24193548387096775
dolphins,KFC_v2,static,0.5786163522012578,0.24193548387096775
dolphins,KFC_v2,static,0.5849056603773585,0.24193548387096775
dolphins,KFC_v2,static,0.5911949685534591,0.24193548387096775
dolphins,KFC_v2,static,0.5974842767295597,0.24193548387096775
dolphins,KFC_v2,static,0.6037735849056605,0.24193548387096775
dolphins,KFC_v2,static,0.6100628930817611,0.22580645161290322
dolphins,KFC_v2,static,0.6163522012578617,0.20967741935483872
dolphins,KFC_v2,static,0.6226415094339623,0.1935483870967742
dolphins,KFC_v2,static,0.628930817610063,0.1774193548387097
dolphins,KFC_v2,static,0.6352201257861636,0.1774193548387097
dolphins,KFC_v2,static,0.6415094339622642,0.1774193548387097
dolphins,KFC_v2,static,0.6477987421383649,0.1774193548387097
dolphins,KFC_v2,static,0.6540880503144655,0.1774193548387097
dolphins,KFC_v2,static,0.6603773584905661,0.1774193548387097
dolphins,KFC_v2,static,0.6666666666666667,0.1774193548387097
dolphins,KFC_v2,static,0.6729559748427674,0.1774193548387097
dolphins,KFC_v2,static,0.679245283018868,0.1774193548387097
dolphins,KFC_v2,static,0.6855345911949686,0.1774193548387097
dolphins,KFC_v2,static,0.6918238993710693,0.1774193548387097
dolphins,KFC_v2,static,0.6981132075471699,0.1774193548387097
dolphins,KFC_v2,static,0.7044025157232705,0.1774193548387097
dolphins,KFC_v2,static,0.7106918238993711,0.1774193548387097
dolphins,KFC_v2,static,0.7169811320754718,0.1774193548387097
dolphins,KFC_v2,static,0.7232704402515724,0.1774193548387097
dolphins,KFC_v2,static,0.729559748427673,0.1774193548387097
dolphins,KFC_v2,static,0.7358490566037736,0.16129032258064516
dolphins,KFC_v2,static,0.7421383647798743,0.16129032258064516
dolphins,KFC_v2,static,0.7484276729559749,0.14516129032258066
dolphins,KFC_v2,static,0.7547169811320755,0.14516129032258066
dolphins,KFC_v2,static,0.7610062893081762,0.14516129032258066
dolphins,KFC_v2,static,0.7672955974842768,0.14516129032258066
dolphins,KFC_v2,static,0.7735849056603774,0.14516129032258066
dolphins,KFC_v2,static,0.779874213836478,0.14516129032258066
dolphins,KFC_v2,static,0.7861635220125787,0.14516129032258066
dolphins,KFC_v2,static,0.7924528301886793,0.14516129032258066
dolphins,KFC_v2,static,0.7987421383647799,0.14516129032258066
dolphins,KFC_v2,static,0.8050314465408805,0.14516129032258066
dolphins,KFC_v2,static,0.8113207547169812,0.14516129032258066
dolphins,KFC_v2,static,0.8176100628930818,0.14516129032258066
dolphins,KFC_v2,static,0.8238993710691824,0.14516129032258066
dolphins,KFC_v2,static,0.8301886792452831,0.12903225806451613
dolphins,KFC_v2,static,0.8364779874213837,0.12903225806451613
dolphins,KFC_v2,static,0.8427672955974843,0.12903225806451613
dolphins,KFC_v2,static,0.8490566037735849,0.12903225806451613
dolphins,KFC_v2,static,0.8553459119496856,0.11290322580645161
dolphins,KFC_v2,static,0.8616352201257862,0.11290322580645161
dolphins,KFC_v2,static,0.8679245283018868,0.11290322580645161
dolphins,KFC_v2,static,0.8742138364779874,0.11290322580645161
dolphins,KFC_v2,static,0.8805031446540881,0.11290322580645161
dolphins,KFC_v2,static,0.8867924528301887,0.11290322580645161
dolphins,KFC_v2,static,0.8930817610062893,0.11290322580645161
dolphins,KFC_v2,static,0.89937106918239,0.11290322580645161
dolphins,KFC_v2,static,0.9056603773584906,0.11290322580645161
dolphins,KFC_v2,static,0.9119496855345912,0.0967741935483871
dolphins,KFC_v2,static,0.9182389937106918,0.08064516129032258
dolphins,KFC_v2,static,0.9245283018867925,0.08064516129032258
dolphins,KFC_v2,static,0.9308176100628931,0.08064516129032258
dolphins,KFC_v2,static,0.9371069182389937,0.06451612903225806
dolphins,KFC_v2,static,0.9433962264150944,0.04838709677419355
dolphins,KFC_v2,static,0.949685534591195,0.04838709677419355
dolphins,KFC_v2,static,0.9559748427672956,0.04838709677419355
dolphins,KFC_v2,static,0.9622641509433962,0.04838709677419355
dolphins,KFC_v2,static,0.9685534591194969,0.03225806451612903
dolphins,KFC_v2,static,0.9748427672955975,0.03225806451612903
dolphins,KFC_v2,static,0.9811320754716981,0.03225806451612903
dolphins,KFC_v2,static,0.9874213836477987,0.03225806451612903
dolphins,KFC_v2,static,0.9937106918238994,0.03225806451612903
dolphins,KFC_v2,static,1.0,0.016129032258064516
dolphins,KFC_v2,iterative,0.0,1.0
dolphins,KFC_v2,iterative,0.006289308176100629,1.0
dolphins,KFC_v2,iterative,0.012578616352201259,1.0
dolphins,KFC_v2,iterative,0.01886792452830189,1.0
dolphins,KFC_v2,iterative,0.025157232704402517,1.0
dolphins,KFC_v2,iterative,0.031446540880503145,1.0
dolphins,KFC_v2,iterative,0.03773584905660378,1.0
dolphins,KFC_v2,iterative,0.04402515723270441,1.0
dolphins,KFC_v2,iterative,0.050314465408805034,0.6935483870967742
dolphins,KFC_v2,iterative,0.05660377358490566,0.6935483870967742
dolphins,KFC_v2,iterative,0.06289308176100629,0.6935483870967742
dolphins,KFC_v2,iterative,0.06918238993710692,0.6935483870967742
dolphins,KFC_v2,iterative,0.07547169811320756,0.6935483870967742
dolphins,KFC_v2,iterative,0.08176100628930819,0.6935483870967742
dolphins,KFC_v2,iterative,0.08805031446540881,0.6935483870967742
dolphins,KFC_v2,iterative,0.09433962264150944,0.6935483870967742
dolphins,KFC_v2,iterative,0.10062893081761007,0.6935483870967742
dolphins,KFC_v2,iterative,0.1069182389937107,0.6935483870967742
dolphins,KFC_v2,iterative,0.11320754716981132,0.6935483870967742
dolphins,KFC_v2,iterative,0.11949685534591195,0.5161290322580645
dolphins,KFC_v2,iterative,0.12578616352201258,0.5161290322580645
dolphins,KFC_v2,iterative,0.1320754716981132,0.5161290322580645
dolphins,KFC_v2,iterative,0.13836477987421383,0.5161290322580645
dolphins,KFC_v2,iterative,0.14465408805031446,0.5161290322580645
dolphins,KFC_v2,iterative,0.15094339622641512,0.5161290322580645
dolphins,KFC_v2,iterative,0.15723270440251574,0.5161290322580645
dolphins,KFC_v2,iterative,0.16352201257861637,0.5161290322580645
dolphins,KFC_v2,iterative,0.169811320754717,0.5161290322580645
dolphins,KFC_v2,iterative,0.17610062893081763,0.5161290322580645
dolphins,KFC_v2,iterative,0.18238993710691825,0.5161290322580645
