network,metric,mode,x,rgc
jazz,KFC_v2,static,0.0,1.0
jazz,KFC_v2,static,0.00036469730123997083,1.0
jazz,KFC_v2,static,0.0007293946024799417,1.0
jazz,KFC_v2,static,0.0010940919037199124,1.0
jazz,KFC_v2,static,0.0014587892049598833,1.0
jazz,KFC_v2,static,0.0018234865061998542,1.0
jazz,KFC_v2,static,0.002188183807439825,1.0
jazz,KFC_v2,static,0.002552881108679796,1.0
jazz,KFC_v2,static,0.0029175784099197666,1.0
jazz,KFC_v2,static,0.0032822757111597373,1.0
jazz,KFC_v2,static,0.0036469730123997084,1.0
jazz,KFC_v2,static,0.0040116703136396795,1.0
jazz,KFC_v2,static,0.00437636761487965,1.0
jazz,KFC_v2,static,0.004741064916119621,1.0
jazz,KFC_v2,static,0.005105762217359592,1.0
jazz,KFC_v2,static,0.005470459518599562,1.0
jazz,KFC_v2,static,0.005835156819839533,1.0
jazz,KFC_v2,static,0.006199854121079504,1.0
jazz,KFC_v2,static,0.006564551422319475,1.0
jazz,KFC_v2,static,0.006929248723559446,1.0
jazz,KFC_v2,static,0.007293946024799417,1.0
jazz,KFC_v2,static,0.007658643326039387,1.0
jazz,KFC_v2,static,0.008023340627279359,1.0
jazz,KFC_v2,static,0.008388037928519328,1.0
jazz,KFC_v2,static,0.0087527352297593,1.0
jazz,KFC_v2,static,0.00911743253099927,1.0
jazz,KFC_v2,static,0.009482129832239242,1.0
jazz,KFC_v2,static,0.009846827133479213,1.0
jazz,KFC_v2,static,0.010211524434719184,1.0
jazz,KFC_v2,static,0.010576221735959153,1.0
jazz,KFC_v2,static,0.010940919037199124,1.0
jazz,KFC_v2,static,0.011305616338439095,1.0
jazz,KFC_v2,static,0.011670313639679067,1.0
jazz,KFC_v2,static,0.012035010940919038,1.0
jazz,KFC_v2,static,0.012399708242159009,1.0
jazz,KFC_v2,static,0.01276440554339898,1.0
jazz,KFC_v2,static,0.01312910284463895,1.0
jazz,KFC_v2,static,0.01349380014587892,1.0
jazz,KFC_v2,static,0.013858497447118891,1.0
jazz,KFC_v2,static,0.014223194748358862,1.0
jazz,KFC_v2,static,0.014587892049598834,1.0
jazz,KFC_v2,static,0.014952589350838805,1.0
jazz,KFC_v2,static,0.015317286652078774,1.0
jazz,KFC_v2,static,0.015681983953318747,1.0
jazz,KFC_v2,static,0.016046681254558718,1.0
jazz,KFC_v2,static,0.016411378555798686,1.0
jazz,KFC_v2,static,0.016776075857038657,1.0
