network,metric,mode,x,rgc
office,KFC_v2,static,0.0,1.0
office,KFC_v2,static,0.0013245033112582781,1.0
office,KFC_v2,static,0.0026490066225165563,1.0
office,KFC_v2,static,0.003973509933774834,1.0
office,KFC_v2,static,0.005298013245033113,1.0
office,KFC_v2,static,0.006622516556291391,1.0
office,KFC_v2,static,0.007947019867549669,1.0
office,KFC_v2,static,0.009271523178807948,1.0
office,KFC_v2,static,0.010596026490066225,1.0
office,KFC_v2,static,0.011920529801324502,1.0
office,KFC_v2,static,0.013245033112582781,1.0
office,KFC_v2,static,0.01456953642384106,1.0
office,KFC_v2,static,0.015894039735099338,1.0
office,KFC_v2,static,0.017218543046357615,1.0
office,KFC_v2,static,0.018543046357615896,1.0
office,KFC_v2,static,0.019867549668874173,1.0
office,KFC_v2,static,0.02119205298013245,1.0
office,KFC_v2,static,0.022516556291390728,1.0
office,KFC_v2,static,0.023841059602649005,1.0
office,KFC_v2,static,0.025165562913907286,1.0
office,KFC_v2,static,0.026490066225165563,1.0
office,KFC_v2,static,0.02781456953642384,1.0
office,KFC_v2,static,0.02913907284768212,1.0
office,KFC_v2,static,0.030463576158940398,1.0
office,KFC_v2,static,0.031788079470198675,1.0
office,KFC_v2,static,0.033112582781456956,1.0
office,KFC_v2,static,0.03443708609271523,1.0
office,KFC_v2,static,0.03576158940397351,1.0
office,KFC_v2,static,0.03708609271523179,1.0
office,KFC_v2,static,0.038410596026490065,1.0
office,KFC_v2,static,0.039735099337748346,1.0
office,KFC_v2,static,0.04105960264900662,1.0
office,KFC_v2,static,0.0423841059602649,1.0
office,KFC_v2,static,0.04370860927152318,1.0
office,KFC_v2,static,0.045033112582781455,1.0
office,KFC_v2,static,0.046357615894039736,1.0
office,KFC_v2,static,0.04768211920529801,1.0
office,KFC_v2,static,0.04900662251655629,1.0
office,KFC_v2,static,0.05033112582781457,1.0
office,KFC_v2,static,0.051655629139072845,1.0
office,KFC_v2,static,0.052980132450331126,1.0
office,KFC_v2,static,0.054304635761589407,1.0
office,KFC_v2,static,0.05562913907284768,1.0
office,KFC_v2,static,0.05695364238410596,1.0
office,KFC_v2,static,0.05827814569536424,1.0
office,KFC_v2,static,0.059602649006622516,1.0
office,KFC_v2,static,0.060927152317880796,1.0
office,KFC_v2,static,0.06225165562913907,1.0
office,KFC_v2,static,0.06357615894039735,1.0
office,KFC_v2,static,0.06490066225165562,1.0
office,KFC_v2,static,0.06622516556291391,1.0
office,KFC_v2,static,0.06754966887417219,1.0
office,KFC_v2,static,0.06887417218543046,1.0
office,KFC_v2,static,0.07019867549668875,1.0
office,KFC_v2,static,0.07152317880794702,1.0
office,KFC_v2,static,0.0728476821192053,1.0
office,KFC_v2,static,0.07417218543046358,1.0
office,KFC_v2,static,0.07549668874172186,1.0
office,KFC_v2,static,0.07682119205298013,1.0
office,KFC_v2,static,0.0781456953642384,1.0
office,KFC_v2,static,0.07947019867549669,1.0
office,KFC_v2,static,0.08079470198675497,1.0
office,KFC_v2,static,0.08211920529801324,1.0
office,KFC_v2,static,0.08344370860927153,1.0
office,KFC_v2,static,0.0847682119205298,1.0
office,KFC_v2,static,0.08609271523178808,1.0
office,KFC_v2,static,0.08741721854304636,1.0
office,KFC_v2,static,0.08874172185430464,1.0
office,KFC_v2,static,0.09006622516556291,1.0
office,KFC_v2,static,0.0913907284768212,1.0
office,KFC_v2,static,0.09271523178807947,1.0
office,KFC_v2,static,0.09403973509933775,1.0
office,KFC_v2,static,0.09536423841059602,1.0
office,KFC_v2,static,0.09668874172185431,1.0
office,KFC_v2,static,0.09801324503311258,1.0
office,KFC_v2,static,0.09933774834437085,1.0
office,KFC_v2,static,0.10066225165562914,1.0
office,KFC_v2,static,0.10198675496688742,1.0
office,KFC_v2,static,0.10331125827814569,1.0
office,KFC_v2,static,0.10463576158940398,1.0
office,KFC_v2,static,0.10596026490066225,1.0
office,KFC_v2,static,0.10728476821192053,1.0
office,KFC_v2,static,0.10860927152317881,1.0
office,KFC_v2,static,0.10993377483443709,1.0
office,KFC_v2,static,0.11125827814569536,1.0
office,KFC_v2,static,0.11258278145695365,1.0
office,KFC_v2,static,0.11390728476821192,1.0
office,KFC_v2,static,0.1152317880794702,1.0
office,KFC_v2,static,0.11655629139072848,1.0
office,KFC_v2,static,0.11788079470198676,1.0
office,KFC_v2,static,0.11920529801324503,1.0
office,KFC_v2,static,0.1205298013245033,1.0
office,KFC_v2,static,0.12185430463576159,1.0
office,KFC_v2,static,0.12317880794701987,1.0
office,KFC_v2,static,0.12450331125827814,1.0
office,KFC_v2,static,0.12582781456953643,1.0
office,KFC_v2,static,0.1271523178807947,1.0
office,KFC_v2,static,0.12847682119205298,1.0
office,KFC_v2,static,0.12980132450331125,1.0
office,KFC_v2,static,0.13112582781456952,1.0
office,KFC_v2,static,0.13245033112582782,1.0
office,KFC_v2,static,0.1337748344370861,1.0
office,KFC_v2,static,0.13509933774834437,1.0
office,KFC_v2,static,0.13642384105960265,1.0
office,KFC_v2,static,0.13774834437086092,1.0
office,KFC_v2,static,0.1390728476821192,1.0
office,KFC_v2,static,0.1403973509933775,1.0
office,KFC_v2,static,0.14172185430463577,1.0
office,KFC_v2,static,0.14304635761589404,1.0
office,KFC_v2,static,0.14437086092715232,1.0
office,KFC_v2,static,0.1456953642384106,1.0
office,KFC_v2,static,0.14701986754966886,1.0
office,KFC_v2,static,0.14834437086092717,1.0
office,KFC_v2,static,0.14966887417218544,1.0
office,KFC_v2,static,0.1509933774834437,1.0
office,KFC_v2,static,0.152317880794702,1.0
office,KFC_v2,static,0.15364238410596026,1.0
office,KFC_v2,static,0.15496688741721854,1.0
office,KFC_v2,static,0.1562913907284768,1.0
office,KFC_v2,static,0.1576158940397351,1.0
office,KFC_v2,static,0.15894039735099338,1.0
office,KFC_v2,static,0.16026490066225166,1.0
office,KFC_v2,static,0.16158940397350993,1.0
office,KFC_v2,static,0.1629139072847682,1.0
office,KFC_v2,static,0.16423841059602648,1.0
office,KFC_v2,static,0.16556291390728478,1.0
office,KFC_v2,static,0.16688741721854305,1.0
office,KFC_v2,static,0.16821192052980133,1.0
office,KFC_v2,static,0.1695364238410596,1.0
office,KFC_v2,static,0.17086092715231788,1.0
office,KFC_v2,static,0.17218543046357615,1.0
office,KFC_v2,static,0.17350993377483442,1.0
office,KFC_v2,static,0.17483443708609273,1.0
office,KFC_v2,static,0.176158940397351,1.0
office,KFC_v2,static,0.17748344370860927,1.0
office,KFC_v2,static,0.17880794701986755,1.0
office,KFC_v2,static,0.18013245033112582,1.0
office,KFC_v2,static,0.1814569536423841,1.0
office,KFC_v2,static,0.1827814569536424,1.0
office,KFC_v2,static,0.18410596026490067,1.0
office,KFC_v2,static,0.18543046357615894,1.0
office,KFC_v2,static,0.18675496688741722,1.0
