network,metric,mode,x,rgc
power,KFC_v2,static,0.0,1.0
power,KFC_v2,static,0.00015165301789505612,1.0
power,KFC_v2,static,0.00030330603579011223,1.0
power,KFC_v2,static,0.00045495905368516835,1.0
power,KFC_v2,static,0.0006066120715802245,1.0
power,KFC_v2,static,0.0007582650894752806,1.0
power,KFC_v2,static,0.0009099181073703367,1.0
power,KFC_v2,static,0.0010615711252653928,1.0
power,KFC_v2,static,0.001213224143160449,1.0
power,KFC_v2,static,0.001364877161055505,1.0
power,KFC_v2,static,0.0015165301789505613,1.0
power,KFC_v2,static,0.0016681831968456172,1.0
power,KFC_v2,static,0.0018198362147406734,1.0
power,KFC_v2,static,0.0019714892326357296,1.0
power,KFC_v2,static,0.0021231422505307855,1.0
power,KFC_v2,static,0.002274795268425842,1.0
power,KFC_v2,static,0.002426448286320898,1.0
power,KFC_v2,static,0.002578101304215954,1.0
power,KFC_v2,static,0.00272975432211101,1.0
power,KFC_v2,static,0.002881407340006066,1.0
power,KFC_v2,static,0.0030330603579011226,1.0
power,KFC_v2,static,0.0031847133757961785,1.0
power,KFC_v2,static,0.0033363663936912345,1.0
power,KFC_v2,static,0.003488019411586291,1.0
power,KFC_v2,static,0.003639672429481347,0.9793564055859137
power,KFC_v2,static,0.0037913254473764028,0.9461647439789517
power,KFC_v2,static,0.003942978465271459,0.9461647439789517
power,KFC_v2,static,0.004094631483166515,0.9461647439789517
power,KFC_v2,static,0.004246284501061571,0.9461647439789517
power,KFC_v2,static,0.004397937518956627,0.9461647439789517
power,KFC_v2,static,0.004549590536851684,0.9461647439789517
power,KFC_v2,static,0.00470124355474674,0.9461647439789517
power,KFC_v2,static,0.004852896572641796,0.9461647439789517
power,KFC_v2,static,0.005004549590536852,0.9461647439789517
power,KFC_v2,static,0.005156202608431908,0.9461647439789517
power,KFC_v2,static,0.0053078556263269645,0.9461647439789517
power,KFC_v2,static,0.00545950864422202,0.9461647439789517
power,KFC_v2,static,0.005611161662117076,0.9461647439789517
power,KFC_v2,static,0.005762814680012132,0.9461647439789517
power,KFC_v2,static,0.005914467697907188,0.9461647439789517
power,KFC_v2,static,0.006066120715802245,0.9461647439789517
power,KFC_v2,static,0.006217773733697301,0.9461647439789517
power,KFC_v2,static,0.006369426751592357,0.9461647439789517
power,KFC_v2,static,0.006521079769487413,0.9461647439789517
power,KFC_v2,static,0.006672732787382469,0.9461647439789517
power,KFC_v2,static,0.006824385805277525,0.9461647439789517
power,KFC_v2,static,0.006976038823172582,0.9461647439789517
power,KFC_v2,static,0.007127691841067638,0.9461647439789517
power,KFC_v2,static,0.007279344858962694,0.9461647439789517
power,KFC_v2,static,0.0074309978768577496,0.9461647439789517
power,KFC_v2,static,0.0075826508947528055,0.9461647439789517
power,KFC_v2,static,0.007734303912647862,0.9461647439789517
power,KFC_v2,static,0.007885956930542918,0.9461647439789517
power,KFC_v2,static,0.008037609948437973,0.9461647439789517
power,KFC_v2,static,0.00818926296633303,0.9461647439789517
power,KFC_v2,static,0.008340915984228087,0.9461647439789517
power,KFC_v2,static,0.008492569002123142,0.9461647439789517
power,KFC_v2,static,0.008644222020018199,0.9461647439789517
power,KFC_v2,static,0.008795875037913254,0.919651892329488
power,KFC_v2,static,0.00894752805580831,0.919651892329488
power,KFC_v2,static,0.009099181073703368,0.919651892329488
power,KFC_v2,static,0.009250834091598423,0.919651892329488
power,KFC_v2,static,0.00940248710949348,0.919651892329488
power,KFC_v2,static,0.009554140127388535,0.919651892329488
power,KFC_v2,static,0.009705793145283591,0.919651892329488
power,KFC_v2,static,0.009857446163178648,0.919651892329488
power,KFC_v2,static,0.010009099181073703,0.919651892329488
