network,metric,mode,x,rgc
restaurant,KFC_v2,static,0.0,1.0
restaurant,KFC_v2,static,7.431076763022962e-05,1.0
restaurant,KFC_v2,static,0.00014862153526045923,1.0
restaurant,KFC_v2,static,0.00022293230289068883,1.0
restaurant,KFC_v2,static,0.00029724307052091846,1.0
restaurant,KFC_v2,static,0.0003715538381511481,1.0
restaurant,KFC_v2,static,0.00044586460578137767,1.0
restaurant,KFC_v2,static,0.0005201753734116073,1.0
restaurant,KFC_v2,static,0.0005944861410418369,1.0
restaurant,KFC_v2,static,0.0006687969086720666,1.0
restaurant,KFC_v2,static,0.0007431076763022962,1.0
restaurant,KFC_v2,static,0.0008174184439325258,1.0
restaurant,KFC_v2,static,0.0008917292115627553,1.0
restaurant,KFC_v2,static,0.000966039979192985,1.0
restaurant,KFC_v2,static,0.0010403507468232146,1.0
restaurant,KFC_v2,static,0.0011146615144534443,1.0
restaurant,KFC_v2,static,0.0011889722820836739,1.0
restaurant,KFC_v2,static,0.0012632830497139034,1.0
restaurant,KFC_v2,static,0.0013375938173441331,1.0
restaurant,KFC_v2,static,0.0014119045849743626,1.0
restaurant,KFC_v2,static,0.0014862153526045924,1.0
restaurant,KFC_v2,static,0.001560526120234822,1.0
restaurant,KFC_v2,static,0.0016348368878650516,1.0
restaurant,KFC_v2,static,0.0017091476554952812,1.0
restaurant,KFC_v2,static,0.0017834584231255107,1.0
restaurant,KFC_v2,static,0.0018577691907557404,1.0
restaurant,KFC_v2,static,0.00193207995838597,1.0
restaurant,KFC_v2,static,0.0020063907260161997,1.0
restaurant,KFC_v2,static,0.002080701493646429,1.0
restaurant,KFC_v2,static,0.0021550122612766587,1.0
restaurant,KFC_v2,static,0.0022293230289068887,1.0
restaurant,KFC_v2,static,0.002303633796537118,1.0
restaurant,KFC_v2,static,0.0023779445641673477,1.0
restaurant,KFC_v2,static,0.0024522553317975772,1.0
restaurant,KFC_v2,static,0.0025265660994278068,1.0
restaurant,KFC_v2,static,0.0026008768670580367,1.0
restaurant,KFC_v2,static,0.0026751876346882662,1.0
restaurant,KFC_v2,static,0.0027494984023184958,1.0
restaurant,KFC_v2,static,0.0028238091699487253,1.0
restaurant,KFC_v2,static,0.0028981199375789552,1.0
restaurant,KFC_v2,static,0.0029724307052091847,1.0
restaurant,KFC_v2,static,0.0030467414728394143,1.0
restaurant,KFC_v2,static,0.003121052240469644,1.0
restaurant,KFC_v2,static,0.0031953630080998733,1.0
restaurant,KFC_v2,static,0.0032696737757301033,1.0
restaurant,KFC_v2,static,0.003343984543360333,1.0
restaurant,KFC_v2,static,0.0034182953109905623,1.0
restaurant,KFC_v2,static,0.003492606078620792,1.0
restaurant,KFC_v2,static,0.0035669168462510214,1.0
restaurant,KFC_v2,static,0.0036412276138812513,1.0
restaurant,KFC_v2,static,0.003715538381511481,1.0
restaurant,KFC_v2,static,0.0037898491491417103,1.0
restaurant,KFC_v2,static,0.00386415991677194,1.0
restaurant,KFC_v2,static,0.00393847068440217,1.0
restaurant,KFC_v2,static,0.004012781452032399,1.0
restaurant,KFC_v2,static,0.004087092219662629,1.0
restaurant,KFC_v2,static,0.004161402987292858,1.0
restaurant,KFC_v2,static,0.004235713754923088,1.0
restaurant,KFC_v2,static,0.004310024522553317,1.0
restaurant,KFC_v2,static,0.004384335290183547,1.0
restaurant,KFC_v2,static,0.004458646057813777,1.0
restaurant,KFC_v2,static,0.004532956825444007,1.0
restaurant,KFC_v2,static,0.004607267593074236,1.0
restaurant,KFC_v2,static,0.004681578360704466,1.0
restaurant,KFC_v2,static,0.004755889128334695,1.0
restaurant,KFC_v2,static,0.004830199895964925,1.0
restaurant,KFC_v2,static,0.0049045106635951545,1.0
restaurant,KFC_v2,static,0.004978821431225384,1.0
restaurant,KFC_v2,static,0.0050531321988556135,1.0
restaurant,KFC_v2,static,0.005127442966485844,1.0
restaurant,KFC_v2,static,0.005201753734116073,1.0
restaurant,KFC_v2,static,0.005276064501746303,1.0
restaurant,KFC_v2,static,0.0053503752693765325,1.0
restaurant,KFC_v2,static,0.005424686037006762,1.0
restaurant,KFC_v2,static,0.0054989968046369915,1.0
restaurant,KFC_v2,static,0.005573307572267221,1.0
restaurant,KFC_v2,static,0.0056476183398974505,1.0
restaurant,KFC_v2,static,0.00572192910752768,1.0
restaurant,KFC_v2,static,0.0057962398751579105,1.0
