network,metric,mode,auc,runtime_s,n_points,n_nodes,n_edges
karate,KFC_v2,static,0.4096907993966817,0.0096248000627383,79,34,78
karate,KFC_v2,iterative,0.3252262443438913,0.3735346000175923,79,34,78
dolphins,KFC_v2,static,0.3730472712517753,0.0233218000503256,160,62,159
dolphins,KFC_v2,iterative,0.2438121322783526,0.719766499940306,160,62,159
lesmis,KFC_v2,static,0.3047346354432968,0.0251103000482544,255,77,254
lesmis,KFC_v2,iterative,0.2228755496472031,1.1544392999494448,255,77,254
transport,KFC_v2,static,0.1193483330182139,0.5500997001072392,431,369,430
transport,KFC_v2,iterative,0.0628537215604714,15.391580099938436,431,369,430
football,KFC_v2,static,0.3506489821973189,0.1232239999808371,614,115,613
football,KFC_v2,iterative,0.2126959358819775,14.054747099988164,614,115,613
office,KFC_v2,static,0.5030737114886266,0.098197300103493,756,92,755
office,KFC_v2,iterative,0.3874244169306076,13.877523200004362,756,92,755
baseball,KFC_v2,static,0.7830576088231843,0.0485916999168694,948,45,947
baseball,KFC_v2,iterative,0.6665493370878798,17.318055900046602,948,45,947
crime,KFC_v2,static,0.0375993803873269,7.171912700054236,1378,1263,1377
crime,KFC_v2,iterative,0.0153258687716017,58.44803650001995,1378,1263,1377
haggle,KFC_v2,static,0.6953113186798081,1.6892126000020653,2125,274,2124
haggle,KFC_v2,iterative,0.5052536530716044,694.0864835999673,2125,274,2124
celegans,KFC_v2,static,0.5142580366044053,1.5038836000021547,2149,297,2148
celegans,KFC_v2,iterative,0.3637586291217576,1021.6718742001104,2149,297,2148
jazz,KFC_v2,static,0.4127111744726625,3.4858201999450102,2743,198,2742
jazz,KFC_v2,iterative,0.3027217838486985,419.13741019996814,2743,198,2742
manufacturing,KFC_v2,static,0.7116701980654077,2.78711740009021,3251,167,3250
manufacturing,KFC_v2,iterative,0.5797162597881161,901.7800969999516,3251,167,3250
email,KFC_v2,static,0.3770661285822839,3.860908000031486,5452,1133,5451
email,KFC_v2,iterative,0.2454180978153599,1228.2325165999357,5452,1133,5451
wikipedia,KFC_v2,static,0.2691152715236981,5.255795500008389,6518,677,6517
wikipedia,KFC_v2,iterative,0.1683194662567551,3437.297392699984,6518,677,6517
power,KFC_v2,static,0.0412602712615474,112.81006960000376,6595,4941,6594
power,KFC_v2,iterative,0.009571143926602,1654.285255900002,6595,4941,6594
restaurant,KFC_v2,static,0.5390036180225393,44.76340649998747,13458,4906,13457
restaurant,KFC_v2,iterative,0.3588557471684128,27079.28932959994,13458,4906,13457
arxiv,KFC_v2,static,0.1326131014303924,164.29767430003267,27417,8798,27416
anybeat,KFC_v2,static,0.4315341758792664,496.57429000001866,49133,12645,49132
yeastnet,KFC_v2,static,0.5328472204121952,8307.449587499956,362422,5808,362421
astro,KFC_v2,static,0.2371959647387438,1903.8711847999368,119653,14845,119652
internet,KFC_v2,static,0.2981627706327486,1145.878404499963,48437,22963,48436
