i,j,order_LDC,order_Jaccard,order_LKS,order_CI_e_av_skin,order_CI_e_mul_skin,order_CI_e_av_body,order_CI_e_mul_body,order_LLBCe,order_LLBMEe1
0,1,159,139,159,159,159,159,159,66,152
0,2,124,43,158,70,67,21,21,20,7
0,3,36,51,157,36,39,95,95,16,21
0,4,105,50,156,73,158,79,79,19,42
0,5,56,138,155,39,37,64,64,65,154
0,6,75,136,154,158,89,51,50,63,159
1,16,98,83,153,157,29,158,158,42,103
1,36,74,38,152,38,157,42,41,14,20
1,5,123,137,98,26,22,103,103,64,158
1,6,55,135,97,18,15,66,66,62,153
2,19,97,37,151,155,156,125,124,67,23
2,40,158,123,148,154,154,157,157,121,157
2,41,80,36,147,63,153,35,35,81,13
2,39,3,130,149,59,65,3,3,127,129
2,42,43,88,146,78,82,45,44,124,51
2,33,1,132,150,62,155,1,1,129,127
2,43,8,107,145,153,68,18,18,110,64
2,4,10,133,96,156,66,4,4,130,78
2,44,29,97,144,81,81,57,57,118,33
2,45,23,85,143,71,69,14,14,106,123
2,46,59,55,142,61,72,83,83,90,66
3,47,79,103,139,46,152,29,29,102,119
3,41,104,105,94,152,58,156,156,101,156
3,4,54,49,95,58,85,62,62,78,19
3,34,17,104,140,35,38,15,15,103,120
3,48,132,35,138,151,151,155,155,58,72
3,21,157,53,141,32,27,40,40,73,41
4,30,156,34,136,5,5,109,154,4,2
4,39,21,129,92,51,50,13,13,126,68
4,13,96,73,137,20,18,23,23,70,24
4,33,35,131,93,85,54,8,8,128,79
4,46,78,56,91,150,150,154,153,88,155
5,16,73,82,90,13,10,111,112,41,102
5,31,155,69,135,6,6,41,45,40,55
5,6,34,134,51,95,149,153,152,61,151
5,45,103,33,89,149,148,31,31,15,38
6,32,95,48,133,24,24,19,19,17,63
6,12,154,78,134,11,7,124,123,24,57
6,31,122,76,88,3,3,78,78,39,56
7,8,12,47,132,148,147,25,25,100,54
7,9,153,66,131,84,84,85,122,34,71
7,10,94,120,130,94,146,152,151,46,106
7,11,131,119,129,87,87,74,74,47,150
7,12,77,32,128,2,2,32,32,7,11
7,13,53,31,87,4,4,10,10,5,1
7,14,42,75,127,93,145,123,81,99,35
7,15,28,74,126,1,1,53,53,98,77
8,29,27,153,122,143,140,67,67,115,27
8,25,52,159,125,146,143,77,77,145,26
8,26,41,158,124,145,142,44,43,144,25
8,49,152,30,121,142,139,151,150,38,149
8,50,102,68,120,141,138,116,117,51,76
8,11,72,67,86,147,144,48,48,52,58
8,51,130,29,119,140,137,150,149,37,115
8,28,7,156,123,144,141,38,38,142,8
9,30,121,111,84,79,79,55,55,31,107
9,31,93,110,83,54,59,122,148,9,148
9,15,71,65,85,139,136,149,85,33,109
10,50,151,94,81,57,62,98,97,48,147
10,11,120,118,82,75,75,105,105,49,104
11,30,58,28,80,86,86,90,90,30,70
11,50,92,93,50,82,83,148,147,50,105
12,20,119,81,118,22,21,147,146,13,90
12,32,51,80,79,137,134,80,80,18,146
12,31,70,77,49,138,135,56,56,23,69
13,32,33,26,48,17,16,6,7,68,4
13,53,150,25,117,136,133,82,82,45,145
13,33,20,72,47,12,13,49,49,74,9
13,57,129,24,116,74,76,146,145,6,114
13,21,69,27,78,8,8,108,110,71,73
14,25,68,117,76,135,131,58,58,139,95
14,26,128,116,75,134,130,145,143,138,144
14,15,149,102,77,132,132,87,144,111,49
14,28,91,115,74,133,129,70,70,137,85
15,29,118,99,73,129,126,102,116,112,40
15,30,90,64,44,128,125,37,37,32,143
15,26,19,101,46,131,128,72,72,114,36
15,28,50,100,45,130,127,27,27,113,30
16,17,148,23,115,127,124,71,71,10,84
16,18,117,22,114,45,123,88,88,3,67
17,32,116,61,72,25,25,121,121,44,31
17,42,89,21,71,96,122,144,142,29,142
17,43,67,60,70,15,14,92,91,43,52
18,33,88,20,69,126,80,143,141,60,44
18,60,147,19,113,125,121,142,140,12,141
19,20,146,114,68,124,120,99,99,28,140
19,21,115,113,67,123,119,141,139,27,139
20,32,66,79,42,43,26,61,61,69,89
20,33,49,41,41,83,48,17,17,76,22
20,34,32,46,66,37,57,24,24,77,18
20,21,87,112,43,92,90,93,92,72,138
21,34,48,52,40,41,42,69,69,75,29
22,23,145,18,112,122,118,140,138,57,137
23,37,127,17,110,121,117,139,137,56,113
23,47,37,143,63,16,20,54,54,153,60
23,52,22,127,109,14,28,59,59,149,62
23,53,99,71,61,10,12,101,102,92,43
23,41,57,146,64,29,61,76,76,156,61
23,36,9,148,65,9,11,12,12,158,3
23,34,4,149,111,7,9,7,6,159,48
23,45,40,40,39,27,34,20,20,85,10
23,48,101,16,62,120,36,107,109,59,96
24,25,144,92,108,64,70,120,136,136,136
24,26,114,91,60,119,116,81,108,135,91
24,27,100,15,107,76,77,138,101,53,112
24,28,65,90,38,115,115,96,87,134,81
25,29,86,152,35,114,112,137,96,133,92
25,26,31,157,37,118,114,63,63,143,93
25,35,113,63,106,72,73,91,120,97,75
25,28,18,155,36,117,113,46,46,141,83
26,29,64,151,17,113,110,52,52,132,111
26,35,85,62,59,112,109,113,93,96,74
26,28,11,154,34,116,111,34,34,140,82
27,29,143,14,58,111,108,112,135,54,94
28,29,39,150,16,110,107,60,60,131,80
28,57,112,13,57,109,106,119,119,36,46
28,61,142,12,105,108,105,136,134,35,135
30,31,47,109,33,65,71,135,107,8,108
32,40,26,58,56,28,33,43,42,95,37
32,47,13,11,30,40,32,16,16,79,17
32,43,16,59,32,21,19,11,11,93,12
32,45,141,57,31,107,104,134,133,94,45
33,40,111,122,27,68,103,75,75,120,128
33,52,140,45,54,55,53,36,36,87,16
33,39,6,128,28,48,47,5,5,125,134
33,42,63,89,26,77,60,110,111,123,53
33,44,15,95,55,80,56,84,84,117,39
33,34,2,42,29,52,55,2,2,83,5
34,47,139,142,14,31,43,94,94,152,131
34,52,110,126,23,106,63,30,30,148,100
34,53,76,70,22,105,88,133,132,91,59
34,41,25,145,24,53,102,115,115,155,118
34,36,5,147,25,33,40,9,9,157,133
34,45,84,39,15,42,41,50,51,84,14
35,55,138,10,104,104,101,132,131,2,132
36,47,24,141,12,30,31,73,73,151,130
36,52,38,125,11,47,45,100,100,147,101
36,41,46,144,13,56,64,26,26,154,117
36,54,126,7,103,103,100,131,130,26,86
36,44,83,9,21,34,30,33,33,82,6
36,46,137,8,20,89,46,118,114,80,28
38,39,136,6,102,102,99,130,129,55,87
39,40,45,121,10,88,78,28,28,119,126
39,52,82,44,7,49,98,117,118,86,15
39,42,109,87,19,67,51,65,65,122,50
39,43,30,106,18,50,35,39,39,109,47
39,44,62,96,9,60,49,22,22,116,32
39,45,14,84,8,44,44,89,89,105,122
40,43,81,108,6,23,23,68,68,108,65
40,45,61,86,5,69,52,106,106,104,121
41,47,125,140,4,90,74,86,86,150,116
42,56,135,5,101,101,97,97,98,11,110
43,44,44,98,3,19,17,129,128,107,34
43,46,108,54,2,66,93,47,47,89,98
43,58,134,4,100,100,96,128,127,25,125
44,59,133,3,99,99,95,114,113,22,124
44,60,107,2,53,98,92,104,104,21,97
47,52,60,124,1,97,94,127,126,146,99
56,59,106,1,52,91,91,126,125,1,88
