i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
0,1,30,0.2222222222222222,16,267.0,71000,891.5,779520,0.09027777777777779,-129.33439834716475
0,2,72,0.058823529411764705,16,317.5,96250,1591.0,2199505,0.06619543650793651,-659.8164710139242
0,3,42,0.08333333333333333,16,302.0,88500,1104.5,1211910,0.09855699855699857,-300.98619913698457
0,4,48,0.16666666666666666,16,328.0,101500,1337.0,1683885,0.07582972582972583,-300.1084925579014
0,5,36,0.2,16,335.0,105000,1007.5,1015000,0.07314814814814814,-141.70131976880515
0,6,36,0.2,16,367.5,121250,1042.5,1086050,0.08555555555555555,-161.83653481968517
1,16,20,0.125,12,299.5,89460,649.5,407808,0.11428571428571428,-93.5946055664415
1,36,45,0.0,16,282.0,79520,1100.0,1099776,0.13000392464678182,-620.1612990751602
1,5,30,0.375,16,352.0,119280,884.0,768000,0.07142857142857142,-76.18826969034029
1,6,30,0.2222222222222222,16,384.5,137740,919.0,821760,0.08449074074074074,-109.59361948940283
2,19,36,0.0,12,261.5,53130,1273.5,823460,0.06973356009070295,-428.05037964701563
2,40,72,0.2857142857142857,16,310.0,90475,1558.5,2058650,0.03159340659340659,-203.0595744836462
2,41,72,0.0,16,280.0,67375,1528.5,1928630,0.04415764881451155,-461.264557753855
2,39,120,0.4666666666666667,16,408.5,166320,1979.0,3881097,0.04052154195011338,-400.70540378922647
2,42,60,0.13333333333333333,12,324.5,101640,1455.5,1612248,0.07028344671201814,-519.1533335916499
2,33,132,0.2777777777777778,16,462.5,207900,2183.5,4767400,0.030451810353771133,-487.14998833875933
2,43,96,0.25,16,399.0,159005,1738.0,2836603,0.05073412698412697,-512.8193270462762
2,4,96,0.25,16,395.5,156310,1913.0,3595053,0.041724537037037025,-453.5673396718776
2,44,84,0.1875,16,318.5,97020,1638.5,2405370,0.06639690170940171,-660.4668608245203
2,45,84,0.11764705882352941,16,252.5,46200,1659.5,2496384,0.036801178804855283,-409.45872310106313
2,46,48,0.14285714285714285,16,281.0,68145,1391.0,1332705,0.04066990701606086,-247.62182151668986
3,47,49,0.16666666666666666,16,279.0,72216,1161.0,1346832,0.05127164502164502,-160.0489120765776
3,41,42,0.18181818181818182,16,264.5,61950,1042.0,1062660,0.03931818181818182,-96.25319765801517
3,4,56,0.07142857142857142,16,380.0,143724,1426.5,1980846,0.07931929181929182,-438.8898302562159
3,34,77,0.2,16,362.0,130980,1522.0,2208900,0.04124149659863946,-293.6839465904189
3,48,14,0.0,8,218.5,29382,675.0,186264,0.08275462962962962,-90.26631076938803
3,21,35,0.09090909090909091,16,369.0,135936,1037.0,1050720,0.07836940836940837,-172.46933794736574
4,30,40,0.0,16,415.0,172144,1303.5,1572732,0.19626068376068376,-789.2233439449024
4,39,80,0.125,16,419.0,175392,1725.0,2971269,0.057829034391534404,-531.1863958381364
4,13,56,0.07142857142857142,16,371.0,136416,1570.5,2458638,0.11168890633176348,-717.4464284043601
4,33,88,0.1875,16,473.0,219240,1929.5,3649800,0.05474371693121693,-574.8622160488214
4,46,32,0.09090909090909091,16,291.5,71862,1137.0,1020285,0.07537878787878788,-210.5152701565155
5,16,24,0.1111111111111111,12,367.5,132300,765.5,531000,0.11782407407407407,-133.2958646885219
5,31,30,0.1,16,484.0,230160,926.0,852000,0.125,-191.7682656536502
5,6,36,0.3333333333333333,16,452.5,203700,1035.0,1070000,0.04513888888888889,-67.99427214158902
5,45,42,0.0,16,270.0,50400,1076.0,1152000,0.09808455433455433,-350.74356745133474
6,32,54,0.07142857142857142,16,422.5,174600,1423.0,1900320,0.07922553636839351,-427.1502415043728
6,12,30,0.2222222222222222,16,460.5,211460,1019.0,1035760,0.10429894179894178,-147.10767656198678
6,31,30,0.2222222222222222,16,516.5,265780,961.0,911640,0.08680555555555554,-112.67800206818575
7,8,72,0.0625,16,579.0,287280,1281.5,1538880,0.08906746031746034,-780.7228719941122
7,9,32,0.09090909090909091,16,535.5,217854,1067.0,851193,0.06772727272727273,-170.60955439950277
7,10,24,0.1,12,471.0,114912,921.5,384720,0.0876984126984127,-154.03221076341123
7,11,40,0.18181818181818182,12,559.0,255360,1127.5,1045156,0.06266233766233767,-171.72540330623744
7,12,40,0.0,16,617.0,347928,1285.5,1551704,0.14871794871794872,-603.5251968105177
7,13,56,0.0,16,567.0,268128,1542.5,2375646,0.17515873015873015,-1224.8750883448974
7,14,40,0.08333333333333333,16,495.0,153216,1049.5,795088,0.07184343434343435,-218.5068642895938
7,15,56,0.15384615384615385,16,624.0,359100,1284.5,1548498,0.05544871794871795,-262.99904074267283
8,29,54,0.25,16,237.5,41400,702.5,427200,0.09009740259740259,-326.61233814609824
8,25,63,0.23076923076923078,16,237.0,41040,711.0,443520,0.06992521367521368,-298.12661880629037
8,26,72,0.21428571428571427,16,260.5,57960,784.5,584640,0.06392595499738356,-344.2700578930615
8,49,9,0.0,4,180.0,0,480.0,0,0.1,-182.0440387269444
8,50,27,0.09090909090909091,12,221.0,29520,572.0,176640,0.08393939393939394,-199.0673736082053
8,11,45,0.16666666666666666,12,340.0,115200,806.0,625920,0.09166666666666665,-314.46935062452144
8,51,9,0.0,4,180.0,0,480.0,0,0.1,-182.0440387269444
8,28,81,0.2,16,344.0,118080,920.0,844800,0.08937074829931972,-651.114438062523
9,30,20,0.2857142857142857,16,348.5,115752,739.5,503388,0.06746031746031746,-45.89897218033093
9,31,20,0.125,16,410.5,149604,691.5,452412,0.10119047619047619,-75.7946184034523
9,15,28,0.2222222222222222,16,361.5,122850,748.5,512946,0.09375,-117.25513124073936
10,50,9,0.2,9,113.0,11808,212.0,44160,0.08333333333333333,-9.97229006107023
10,11,15,0.3333333333333333,9,232.0,46080,446.0,156480,0.07777777777777777,-23.988438598688102
11,30,25,0.0,12,372.0,135680,800.0,618096,0.1265873015873016,-174.01488487097183
11,50,15,0.3333333333333333,9,201.0,26240,418.0,119968,0.07777777777777777,-24.35444977611425
12,20,30,0.1,16,358.0,122080,1026.5,1050280,0.1349206349206349,-242.98773039158203
12,32,45,0.16666666666666666,16,398.0,156960,1372.0,1719168,0.08863636363636362,-357.7662327897446
12,31,25,0.1111111111111111,16,492.0,238928,910.0,824736,0.09884259259259259,-130.271482674762
13,32,63,0.0,16,348.0,120960,1629.0,2632032,0.1066765873015873,-952.910788720616
13,53,21,0.0,12,282.0,76608,959.0,646152,0.11111111111111109,-222.49294641873084
13,33,77,0.058823529411764705,16,438.0,181440,1841.0,3260400,0.09235381652661065,-1047.826862320706
13,57,14,0.0,8,233.5,44016,852.0,329004,0.1736111111111111,-253.99227655396302
13,21,35,0.0,16,360.0,129024,1181.0,1304160,0.08143939393939394,-270.2755392763292
14,25,35,0.2,16,153.0,21888,479.0,229152,0.03787037037037037,-49.58930038032764
14,26,40,0.3,16,176.5,30912,552.5,302064,0.03324074074074074,-51.45465785495236
14,15,35,0.3333333333333333,16,321.0,86400,731.0,479136,0.04675925925925926,-65.26467578582661
14,28,45,0.2727272727272727,16,260.0,62976,688.0,436480,0.042045454545454546,-103.5401081716854
15,29,42,0.18181818181818182,16,282.5,51750,705.5,429870,0.07508658008658009,-167.3718618296937
15,30,35,0.09090909090909091,16,437.0,190800,957.0,915768,0.10984848484848483,-254.97625815450294
15,26,56,0.25,16,305.5,72450,787.5,588294,0.06837121212121212,-200.08792744674432
15,28,63,0.23076923076923078,16,389.0,147600,923.0,850080,0.07152777777777777,-310.25795611836287
16,17,16,0.0,9,273.0,72765,546.0,297891,0.15195578231292517,-111.56543767145982
16,18,12,0.0,6,255.5,61740,457.5,203904,0.19784580498866214,-84.4978448777032
17,32,36,0.08333333333333333,12,295.5,83160,1168.5,996336,0.09621212121212121,-348.93540182532666
17,42,20,0.0,9,247.5,60984,652.5,417384,0.125,-147.90282259394579
17,43,32,0.09090909090909091,12,322.0,95403,935.0,734349,0.08712121212121211,-219.12937415272887
18,33,33,0.0,8,368.0,105840,1292.0,844800,0.09542124542124543,-491.7322590906791
18,60,6,0.0,4,147.5,19404,270.0,59904,0.1625,-22.86241550896461
19,20,18,0.125,12,209.0,38640,732.5,412300,0.08333333333333333,-72.67310890051115
19,21,15,0.14285714285714285,12,261.0,52992,630.0,334400,0.10714285714285714,-55.46489143145309
20,32,54,0.07142857142857142,16,320.0,100800,1430.5,1926960,0.056174777603349026,-324.03442769002766
20,33,66,0.0625,16,410.0,151200,1642.5,2387000,0.06229662698412698,-529.1042958106507
20,34,66,0.13333333333333333,16,325.0,103600,1467.5,2007250,0.05761904761904762,-380.62325509449954
20,21,30,0.2222222222222222,16,332.0,107520,982.5,954800,0.05439814814814815,-77.54918016887294
