i,j,order_LDC,order_Jaccard,order_LKS,order_CI_e_av_skin,order_CI_e_mul_skin,order_CI_e_av_body,order_CI_e_mul_body,order_LLBCe,order_LLBMEe1
0,1,6,133,613,160,160,6,6,38,23
0,2,548,541,612,107,107,435,613,361,608
0,3,208,540,611,613,489,613,537,360,610
0,4,613,538,610,612,613,106,106,358,613
0,5,492,535,609,424,423,156,156,355,606
0,6,379,132,608,19,19,241,241,37,24
0,7,96,96,607,49,47,328,328,9,4
0,8,433,531,606,611,612,449,501,346,595
0,9,44,95,605,296,296,36,36,64,39
0,10,330,170,604,610,611,537,424,198,191
0,11,273,526,603,60,60,209,209,351,602
0,12,156,520,602,263,263,1,1,340,587
1,13,43,612,601,609,610,52,52,612,580
1,14,151,94,600,471,424,358,358,88,96
1,6,321,613,499,63,63,548,612,613,578
1,15,547,610,599,445,609,31,31,610,612
1,16,491,607,598,92,92,612,433,607,575
1,17,95,93,597,131,131,216,216,89,74
1,18,378,603,596,262,262,501,485,598,565
1,19,207,92,595,316,316,426,547,107,177
1,20,432,598,594,417,608,120,120,603,571
1,21,612,592,593,39,39,279,279,592,558
1,22,272,585,592,3,3,325,325,585,551
2,36,263,91,591,605,604,370,369,117,67
2,3,150,539,498,391,391,128,128,359,611
2,4,94,537,497,608,607,74,74,357,609
2,5,320,534,496,409,406,310,310,354,605
2,45,611,172,590,189,189,516,442,147,190
2,8,377,530,495,607,606,236,236,345,594
2,46,42,171,589,212,212,23,23,146,188
2,11,431,525,494,267,267,611,611,350,601
2,12,490,519,493,606,605,469,483,339,586
2,47,206,119,588,390,392,196,196,201,151
3,57,610,131,586,403,390,407,406,206,162
3,4,41,536,388,604,603,610,610,356,607
3,59,563,148,585,271,271,504,466,205,166
3,5,262,533,387,4,4,33,33,353,604
3,8,319,529,386,218,218,170,170,344,593
3,31,489,90,587,34,34,281,281,44,49
3,11,376,524,385,603,497,85,85,349,600
3,12,430,518,384,602,594,220,221,338,585
3,47,93,149,492,260,260,352,352,204,164
4,70,488,88,583,79,79,11,11,65,38
4,5,149,532,288,238,238,261,261,352,603
4,74,448,87,582,321,321,453,495,4,2
4,8,205,528,287,275,275,191,191,343,592
4,82,387,191,581,601,602,322,322,139,130
4,42,546,89,584,154,154,383,383,116,102
4,11,261,523,286,190,190,492,524,348,599
4,12,318,517,285,41,41,233,233,337,584
5,59,545,130,490,370,370,473,546,203,163
5,8,92,527,191,208,208,94,94,342,591
5,63,609,109,580,600,601,413,415,197,150
5,10,429,169,491,414,411,356,356,199,189
5,11,204,522,190,450,451,609,476,347,598
5,12,40,516,189,31,31,536,609,336,583
5,65,386,108,579,373,373,226,226,202,161
6,89,100,86,578,277,277,395,394,103,179
6,13,203,611,489,423,600,101,101,611,597
6,15,148,609,488,599,599,608,526,609,579
