i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
0,1,144,0.043478260869565216,64,5786.0,33438592,11984.5,143614900,0.08300095819858666,-2403.9261181246507
0,2,132,0.35294117647058826,64,5499.0,30231080,11345.0,128139000,0.04419579425973288,-681.2054279202994
0,3,132,0.35294117647058826,64,5834.0,33975040,11425.0,130075000,0.04697357203751066,-699.9364736844859
0,4,132,0.35294117647058826,64,5269.0,27660600,11555.0,133221000,0.049465811965811964,-803.0531452206797
0,5,132,0.4375,64,5939.0,35148520,11265.0,126203000,0.05694444444444444,-733.712342859018
0,6,120,0.047619047619047616,64,5647.0,31885128,10779.5,114453900,0.08859427609427609,-1770.2873684950634
0,7,132,0.0,64,5514.0,30398720,11220.0,125114000,0.11158557625948932,-3018.723736824614
0,8,120,0.375,64,5201.5,26906220,10743.5,113582700,0.047932692307692294,-600.2432076821001
0,9,132,0.0,64,5724.0,32745680,11275.0,126445000,0.0762336093857833,-2037.197924759299
0,10,108,0.05,64,5118.0,25973024,10254.0,101736800,0.049458542188805334,-970.3230418948528
0,11,120,0.375,64,5404.0,29169360,11009.0,120007800,0.04404761904761904,-597.6351576614143
0,12,144,0.3333333333333333,64,5544.0,30734000,12067.0,145611400,0.04645183248124424,-886.7354103659694
1,13,132,0.4375,64,5627.0,31535680,11344.5,128422580,0.039438131313131314,-490.20519783049576
1,14,132,0.0,64,5782.0,33390720,10844.5,116553580,0.05358701465420832,-1279.396107766187
1,6,120,0.5714285714285714,64,5845.0,34144704,10664.0,112268871,0.024725274725274724,-203.21806809694584
1,15,132,0.4375,64,5702.0,32433280,11039.5,121182490,0.029469818376068376,-346.4080866655168
1,16,132,0.4375,64,5552.0,30638080,11034.5,121063800,0.03108440170940171,-367.4124469360838
1,17,120,0.0,64,5467.0,29620800,10623.5,111307482,0.06825635884077444,-1473.6517671284878
1,18,132,0.4375,64,5732.0,32792320,11244.5,126048780,0.035381944444444445,-435.7502652688853
1,19,120,0.0,64,5705.5,32475168,10853.0,116755353,0.06286085247124208,-1379.520758922784
1,20,120,0.4666666666666667,64,5674.0,32098176,10628.0,111414303,0.03333333333333333,-330.5125919316635
1,21,120,0.4666666666666667,64,5719.0,32636736,10578.5,110239272,0.025525030525030523,-233.07494332120748
1,22,132,0.4375,64,6227.0,38716480,11244.5,126048780,0.022739898989898987,-270.0117310982235
2,36,132,0.0,64,5757.5,33028050,10707.0,114626160,0.055887132592625746,-1317.9112349466347
2,3,121,0.4666666666666667,64,5745.0,32892800,10670.0,113842500,0.03719576719576719,-359.7084714231001
2,4,121,0.375,64,5180.0,26779500,10800.0,116595900,0.03025147306397306,-371.76215893419715
2,5,121,0.375,64,5850.0,34028900,10510.0,110453700,0.01925523349436393,-213.22372700346773
2,45,99,0.05263157894736842,64,5037.0,25232240,9707.0,93446160,0.03848749793162456,-593.623549676698
2,8,110,0.4,64,5112.5,26049150,9988.5,99408330,0.03297258297258297,-301.05109570929307
2,46,121,0.047619047619047616,64,5040.0,25264700,10700.0,114477900,0.05161083840819866,-1141.4878668062336
2,11,110,0.4,64,5315.0,28240200,10254.0,105031620,0.038452380952380946,-382.40569151336285
