i,j,order_LDC,order_Jaccard,order_LKS,order_CI_e_av_skin,order_CI_e_mul_skin,order_CI_e_av_body,order_CI_e_mul_body,order_LLBCe,order_LLBMEe1
0,1,845,463,1432,820,877,818,1124,272,603
0,2,1432,462,1431,1092,1432,1432,995,303,1159
0,3,844,461,1430,997,876,1144,775,265,838
0,4,1258,460,1429,1432,1028,1431,1115,277,1158
0,5,686,459,1428,710,676,620,601,268,608
0,6,562,458,1427,578,566,629,607,70,441
1,14,1431,457,1426,1431,1104,986,1432,446,1029
1,15,1026,456,1425,818,1431,978,823,451,777
1,16,1025,455,1424,1430,956,976,941,112,1304
2,10,1024,815,1423,958,755,1032,1123,294,1157
2,21,612,993,1422,1091,626,753,1431,293,530
2,22,476,992,1421,629,754,531,543,395,527
2,24,611,454,1080,663,624,529,542,408,430
2,27,1023,453,1420,957,1103,751,780,399,732
3,7,1430,1185,1079,1429,1430,779,779,653,1432
3,8,843,1184,1078,905,880,959,1430,657,1431
3,18,842,738,1419,1005,836,1430,1429,644,631
4,10,1257,452,1077,1428,1429,1031,1114,306,1156
5,15,685,798,1076,1129,680,1429,1250,270,488
5,41,684,1328,1418,708,679,763,757,292,1427
5,24,511,792,1075,573,588,535,545,276,434
5,42,1256,1327,1417,717,685,1148,1428,301,1426
5,44,1429,1029,1416,1427,1428,875,821,282,835
6,99,561,451,1415,479,466,468,492,177,259
6,252,931,449,1412,1425,1427,987,884,201,1430
6,13,933,1337,1074,1426,990,988,1154,197,1093
6,225,1428,450,1413,1108,561,980,1427,100,645
6,223,932,1336,1414,517,479,480,489,198,1063
7,8,610,1188,1073,792,821,725,1034,682,1429
7,9,1255,448,1072,940,820,1023,1033,681,563
7,10,609,1183,1071,1424,759,1028,693,670,715
7,11,1022,985,1411,784,1426,772,894,275,716
7,12,510,984,1070,549,549,558,538,407,834
7,13,608,447,1069,544,542,559,540,81,418
8,17,1427,446,749,1090,1011,1428,862,698,658
8,18,475,735,748,681,625,594,602,697,521
8,10,841,1182,750,685,757,878,700,680,795
8,19,1254,445,1410,1423,1425,1191,1153,341,958
9,17,930,1335,747,1089,1010,1027,1200,696,1052
