i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
0,1,24,0.0,9,655.0,303000,1070.0,831300,0.17037037037037037,-318.63124115694177
0,2,36,0.0,9,687.5,368650,1332.5,1687050,0.13075396825396826,-465.74999373264177
0,3,24,0.0,9,655.0,303000,1107.5,953550,0.15462962962962962,-285.1831397727962
0,4,12,0.0,6,563.0,117160,901.5,281990,0.1279761904761905,-119.08045945683271
0,5,36,0.0,9,762.5,520150,1312.5,1621850,0.16161616161616163,-569.6570386829216
0,6,36,0.0,9,2752.5,4539950,3557.5,8940550,0.2537878787878788,-967.7218475334988
1,14,16,0.0,9,238.5,53100,502.5,252450,0.13052721088435373,-108.98027734221584
1,15,28,0.0,9,354.0,122400,741.0,495720,0.11266233766233766,-262.97476764031705
1,16,12,0.0,6,218.0,40800,357.0,104040,0.2261904761904762,-103.30217983291712
2,10,36,0.09090909090909091,9,385.0,147825,992.5,983250,0.10735930735930735,-298.7994436205223
2,21,42,0.08333333333333333,9,398.5,157680,1048.5,1099170,0.13416305916305915,-478.7392435163245
2,22,66,0.13333333333333333,9,417.5,171550,1427.5,1883700,0.07163832199546484,-621.3133043450867
2,24,54,0.0,9,470.5,210240,1257.5,1531800,0.0896938775510204,-636.8027139697928
2,27,24,0.0,9,292.0,79935,759.0,499905,0.0899206349206349,-153.7432441694436
3,7,28,0.1,9,591.0,264600,1060.5,898560,0.09074074074074073,-192.9435937657028
3,8,24,0.25,9,367.5,130500,712.5,491400,0.10714285714285714,-113.32954105338374
3,18,36,0.08333333333333333,9,354.0,122400,976.5,800280,0.09053030303030303,-321.1123914388042
4,10,12,0.0,6,260.5,46980,561.5,164350,0.11160714285714286,-90.29466008931963
5,15,42,0.08333333333333333,9,461.5,210120,983.5,967140,0.1484307359307359,-526.7860006704236
5,41,30,0.2222222222222222,9,427.5,175100,787.5,577100,0.12962962962962962,-218.54280840506303
5,24,54,0.07142857142857142,9,545.5,296640,1237.5,1472600,0.12322082679225535,-753.5356078373161
5,42,30,0.1,9,435.5,183340,829.5,660680,0.10925925925925925,-230.26721726797822
5,44,24,0.1111111111111111,9,413.5,160680,748.0,498495,0.15393518518518517,-224.81969283307492
6,99,60,0.0,12,7049.0,43165485,8844.5,66938940,0.17916666666666667,-1926.612802800559
6,252,30,0.0,9,2921.5,6059260,3650.5,9960760,0.12727272727272726,-366.9723460184559
6,13,30,0.1,9,2973.5,6526740,3752.5,11079700,0.17037037037037037,-426.0896332401983
6,225,30,0.0,9,4573.5,20910740,6302.5,39053200,0.21060606060606063,-670.8809300604206
6,223,54,0.07142857142857142,9,6619.5,39304280,8470.5,62836160,0.16025641025641027,-1283.93371890469
7,8,42,0.18181818181818182,9,658.5,383670,1188.0,1290240,0.1037878787878788,-313.0018174119676
7,9,42,0.0,9,646.0,361620,1235.5,1436160,0.1007554945054945,-399.033994351734
7,10,42,0.08333333333333333,9,643.5,357210,1243.0,1459200,0.0991161616161616,-366.1742035562932
7,11,28,0.1,9,601.5,283122,1021.5,778752,0.16296296296296295,-324.87853065783315
7,12,42,0.08333333333333333,9,668.5,401310,1250.5,1482240,0.12424242424242424,-469.59988634524956
7,13,35,0.0,9,1167.0,1280664,1778.0,3102720,0.24494949494949497,-839.3400723956281
8,17,18,0.0,9,292.5,65250,572.0,255360,0.07870370370370369,-87.0745274227112
8,18,54,0.07142857142857142,9,421.5,177480,1104.0,1149120,0.08530873888016745,-478.334510475615
8,10,36,0.09090909090909091,9,420.0,176175,895.0,798000,0.08863636363636365,-226.41341680546157
8,19,12,0.0,6,246.5,25230,465.0,75600,0.21428571428571427,-148.41029703482064
9,17,18,0.125,9,280.0,61500,619.5,284240,0.06770833333333333,-56.0416491144445
9,18,54,0.15384615384615385,9,409.0,167280,1151.5,1279080,0.05742521367521368,-273.39627191567223
9,20,18,0.2857142857142857,9,283.0,63960,620.5,286110,0.07936507936507936,-49.644570505089476
9,21,42,0.18181818181818182,9,421.0,177120,998.5,992970,0.08893939393939392,-238.3933239434953
9,22,66,0.21428571428571427,9,440.0,192700,1377.5,1701700,0.05545525902668759,-386.00632343226704
10,31,36,0.09090909090909091,9,365.0,131625,905.0,817000,0.0922943722943723,-241.59182353776373
10,22,66,0.13333333333333333,9,437.5,190350,1385.0,1729000,0.0817063492063492,-676.343780184157
11,38,8,0.0,6,184.5,15408,289.5,36504,0.25,-65.26300878711379
11,12,24,0.25,9,388.0,146055,736.0,489255,0.14285714285714285,-159.61059526803538
11,44,16,0.14285714285714285,9,316.5,100152,504.0,254007,0.1626984126984127,-94.86716529703564
12,31,36,0.09090909090909091,9,390.0,147875,912.5,829900,0.13196969696969696,-351.0068481227364
12,32,36,0.09090909090909091,9,407.5,163800,910.0,825075,0.15909090909090906,-426.06907841972924
12,43,24,0.0,9,355.0,116025,716.5,451620,0.14574074074074075,-247.06360389938482
12,44,24,0.1111111111111111,9,383.5,141960,733.0,483465,0.15625,-220.41705621583037
13,223,45,0.07692307692307693,9,5098.0,12696288,6738.0,23141120,0.14423076923076922,-888.1419076966608
13,329,30,0.0,9,1663.5,2722500,2230.0,4928800,0.1215151515151515,-311.21163401476537
