i,j,order_LDC,order_Jaccard,order_LKS,order_CI_e_av_skin,order_CI_e_mul_skin,order_CI_e_av_body,order_CI_e_mul_body,order_LLBCe,order_LLBMEe1
0,1,2613,706,2477,2742,1070,1859,1092,1001,1432
0,2,2104,823,2476,2741,2742,1142,2640,1106,1532
0,3,1133,802,2742,2740,1322,2533,1091,2261,1521
0,4,1132,801,2340,2739,1318,1400,2425,2260,1520
0,5,1265,800,2475,2738,1310,1951,1090,2259,1519
0,6,1631,799,2474,2737,1309,2005,1089,2258,1518
0,7,1928,454,2741,699,705,1381,1812,508,581
0,8,1394,483,2618,381,410,1816,1825,499,910
0,9,1393,734,2473,2736,2741,2742,1516,2243,1527
0,10,1927,798,2472,2735,2740,1341,1088,2257,1517
0,11,2258,851,2339,1069,1106,1410,1521,1040,1496
0,12,1630,750,2471,2734,2739,1389,1746,2256,1524
0,13,2257,817,2338,377,442,2530,1506,2247,1516
0,14,2182,296,2740,657,637,2228,2639,111,819
0,15,1518,770,2337,2733,2738,1005,2148,2255,1523
0,16,1032,822,2336,2732,2737,1384,1097,1116,1469
0,17,2612,752,2617,2278,1181,2096,2046,1043,1039
0,18,1784,816,2335,376,441,2529,1505,2244,1515
0,19,2488,311,2616,703,715,2236,2160,250,961
0,20,1926,845,2615,707,704,1276,1087,1028,1535
0,21,1031,627,2334,2731,2736,2224,1917,2246,1531
0,22,2611,453,2739,704,687,1383,2638,516,587
0,23,1392,693,2738,2263,1463,1396,2154,977,754
1,17,1840,723,2613,2277,1524,1616,1031,1020,1037
1,19,1839,277,2612,1104,1201,2448,2742,281,979
1,20,2321,690,2611,2723,1102,1512,1102,1006,1427
1,21,128,914,2331,2722,2732,107,135,2188,1379
1,24,351,1167,2737,2449,2492,427,450,1821,249
1,25,441,1949,2736,2721,1397,472,1274,1914,278
1,26,2223,1948,2735,2175,2343,912,699,2038,443
1,27,1478,1947,2734,2141,1308,1303,1263,1881,475
1,28,711,1198,2640,2286,1230,1839,869,1277,282
1,3,714,1221,2333,2730,1586,907,434,2207,1421
1,29,1077,1254,2639,2720,1708,471,339,1976,435
1,4,443,1220,2332,2729,1569,345,448,2206,1420
1,5,713,1219,2470,2728,1577,1052,706,2205,1419
1,30,2320,207,2638,1089,981,2122,2175,127,891
1,31,2319,206,2637,858,985,2458,2174,145,812
1,32,2318,205,2636,1088,980,2121,2173,126,892
1,33,350,1232,2635,2719,1576,351,1950,2181,1426
1,6,712,1218,2469,2727,1585,828,705,2204,1418
1,34,1477,489,2634,2466,1250,1079,868,972,1388
1,35,1476,562,2633,2465,1395,655,1576,1784,413
1,36,2001,1246,2632,1840,1253,2678,2507,1805,856
1,37,2000,1245,2631,1709,1449,1612,1280,1865,687
1,38,1744,1244,2630,1823,1263,1833,1574,1859,1413
1,39,440,656,2629,2718,1089,600,1562,2153,1412
1,40,1076,655,2628,2717,1088,1064,433,2152,1411
1,8,1658,229,2614,1024,949,1507,1587,404,915
1,9,442,1217,2468,2726,2735,1074,447,2197,1424
1,10,662,1216,2467,2725,2734,350,429,2203,1417
1,12,271,1215,2466,2724,2733,203,239,2184,1415
1,41,1075,1946,2627,2226,1459,906,446,1000,228
1,42,710,1945,2626,2472,1217,470,2061,1211,294
1,43,82,1237,2625,2716,2641,76,83,2002,24
1,44,349,1944,2624,2715,2344,2296,846,1961,298
1,45,709,1943,2623,2471,1611,469,867,1730,285
1,46,1999,1926,2622,2714,1458,2677,1590,1867,481
1,47,424,1950,2610,2448,2493,728,445,1849,225
1,48,2742,1942,2621,2225,1365,1853,2517,970,447
1,49,1306,1941,2620,2224,1228,2215,2664,907,470
1,50,1305,1940,2619,2470,1077,1314,1228,1682,466
1,51,1074,1939,2609,1016,1061,750,1568,860,461
1,52,439,1938,2608,2713,2342,647,338,1944,326
2,11,2407,855,2328,2706,2725,1154,2058,1096,1494
2,18,1511,1666,2324,2701,2720,520,2342,2282,1564
2,20,1700,875,2010,2700,2719,1141,1650,1104,1566
2,21,137,1665,2323,2699,2718,118,143,2277,1534
2,23,1699,665,2607,2262,2717,1144,971,1004,449
2,53,2670,1664,2604,2696,2712,514,590,2276,1563
2,54,2103,1036,2733,2695,2711,898,790,2031,618
2,55,2102,769,2732,2174,2710,2190,808,1017,527
2,56,1304,781,2731,2694,2709,1143,1946,1107,551
2,57,966,1035,2730,2693,2708,1147,984,2030,632
2,24,420,623,2606,2447,2716,447,549,1951,386
2,58,2101,1034,2729,2692,2707,1146,983,1926,631
2,59,418,990,2728,2691,2706,2393,791,2070,505
2,60,1303,1033,2727,2690,2705,1151,978,2029,628
2,3,708,1676,2330,2712,2731,1157,980,2267,1557
2,61,2487,600,2726,2406,2704,2666,2062,918,621
2,62,965,1663,2603,2689,2703,895,416,2281,1560
2,63,1302,780,2725,2405,2702,900,2009,1781,591
2,29,419,1045,2009,2698,2715,529,418,2138,592
2,4,553,1675,2329,2711,2730,899,1630,2266,1556
2,64,2486,160,2724,1149,2701,2381,2344,415,227
2,65,964,1662,2602,1215,2700,511,592,2275,403
2,66,1698,1631,2601,2252,2699,513,970,2263,366
2,5,707,1673,2465,2710,2729,1156,977,2265,1555
2,67,1697,170,2723,1852,2698,2051,2348,596,341
2,6,706,1672,2464,2709,2728,2400,976,2264,1554
2,9,647,1671,2463,2708,2727,515,1758,2287,1562
2,10,1512,1670,2462,2707,2726,1148,973,2286,1561
2,12,344,1669,2461,2705,2724,373,392,2285,1559
2,13,705,1668,2327,2704,2723,521,1878,2284,1565
2,15,268,1667,2326,2703,2722,281,282,2283,1558
2,16,552,1653,2325,2702,2721,537,766,2149,1467
2,43,136,1053,2008,2697,2714,87,124,2144,521
2,47,551,890,2605,2446,2713,390,417,2083,347
2,68,963,1002,2722,2480,2697,528,415,2090,515
2,69,962,989,2721,2479,2696,2399,688,2111,503
2,70,2741,1041,2490,2688,2695,1145,982,2025,629
2,71,1696,1040,2720,2490,2694,1150,981,1920,633
2,72,961,1047,2719,2489,2693,1153,2741,2094,526
3,11,2256,839,2322,2682,1557,1237,1230,2229,1480
3,18,506,2587,2318,2677,1316,1873,431,2705,2431
3,20,1695,870,2001,2676,1327,1517,1098,2240,1539
3,21,67,2586,2317,2675,2687,56,65,2704,1662
3,53,276,2582,2588,2665,1821,283,261,2694,2441
3,25,279,1081,2600,2674,1556,617,607,2178,319
3,26,1131,1197,2599,2173,2523,290,330,2300,451
3,27,1694,1196,2598,2140,1507,1309,2429,2015,473
3,62,1130,2580,2587,2664,1634,2457,2236,2336,2440
3,29,278,1253,2000,2673,1722,289,922,2215,501
3,73,2694,2579,2718,2663,1377,1318,2037,2693,2438
3,4,280,2581,2007,2687,1625,276,308,2539,2443
3,65,297,2466,2586,1214,1370,274,255,2589,2304
3,66,275,2445,2585,2251,1355,279,608,2679,2439
3,5,510,2552,2006,2686,1632,801,615,2538,2350
3,33,998,2585,2597,2672,1631,566,1554,2703,2384
3,6,509,2534,2005,2685,1635,293,614,2537,2354
3,74,933,2578,2717,2662,1376,905,1970,2519,2437
3,75,1129,2577,2716,2661,1417,2665,2338,2518,2120
3,36,1693,1276,2596,1839,1508,1993,2740,1863,877
3,37,2406,1275,2595,1708,1566,2105,1484,2012,744
3,38,997,1274,2594,1822,1465,1795,1874,2173,1350
3,39,1692,2584,2593,2671,1379,1667,1361,2696,2383
3,40,2485,2583,2592,2670,1378,922,430,2695,2442
3,76,1691,2576,2715,2660,1416,920,2599,2517,2436
3,77,1690,2575,2714,2659,1415,919,2598,2507,2435
3,78,1128,2574,2713,2250,1307,739,1214,2442,2434
3,79,2693,2573,2712,2658,1414,2124,2277,2392,2433
3,80,1127,2572,2711,2657,1413,1523,979,2365,2176
3,81,1126,2571,2710,2439,1353,2107,1553,2503,2175
3,82,1125,2391,2709,2438,1581,2106,1552,2499,2232
3,83,1689,2390,2708,2437,1580,630,881,2494,2230
3,84,1688,2389,2707,2441,1499,626,1548,2421,2229
3,9,298,2511,2004,2684,2692,275,444,2647,2352
3,10,508,2494,2003,2683,2691,2539,428,2702,2348
3,12,139,2417,2002,2681,2690,182,158,2620,2306
3,13,507,2589,2321,2680,1317,1874,432,2619,2226
3,15,158,2588,2320,2679,2689,141,155,2706,2432
3,16,704,1652,2319,2678,2688,867,1378,2271,1390
3,43,61,1214,1999,2669,2686,59,61,2254,377
3,44,703,1112,2591,2668,2529,561,844,2195,361
3,46,2610,1162,2590,2667,1607,1671,625,2168,455
3,52,277,1195,2589,2666,2528,288,329,2202,404
4,11,2405,838,2316,2652,1532,1719,2500,2228,1479
4,17,1124,736,2460,2276,1610,989,957,1736,906
4,18,319,2568,2312,2647,1285,331,306,2699,2429
4,20,1602,869,1993,2646,1326,1279,1622,2239,1538
4,21,13,2567,2311,2645,2680,16,13,2698,1661
4,23,1601,671,2459,2261,1637,886,1161,1070,684
4,53,116,2563,2309,2635,1812,140,120,2690,2496
4,25,156,1080,2458,2644,1531,146,166,2177,274
4,26,223,1194,2457,2172,2679,227,228,2280,411
4,27,550,1193,2456,2139,1493,498,538,1985,427
4,62,732,2562,2308,2634,1623,360,321,2335,2495
4,85,516,620,2706,2416,1618,490,587,1995,463
4,86,691,559,2705,2415,2673,503,2001,1922,445
4,29,167,1252,1992,2643,1716,171,165,2214,476
4,73,549,2561,2305,2633,1260,359,941,2689,2476
4,65,155,2465,2307,1200,1366,189,157,2588,2303
4,66,274,2444,2306,2249,1237,278,229,2678,2488
4,5,214,2551,1998,2656,1622,211,213,2536,2349
4,33,222,2566,2455,2642,1621,226,211,2697,2382
4,6,213,2533,1997,2655,1624,228,212,2535,2353
4,74,731,2560,2449,2248,1259,452,641,2516,2475
4,75,1123,2559,2304,2632,1258,1034,739,2515,2119
4,87,729,175,2704,2285,1536,489,505,355,65
4,36,1600,1273,2454,1838,1425,1603,1415,1852,849
4,37,733,1272,2453,1707,1562,1448,1276,1984,679
4,38,996,1271,2452,1821,1447,1454,1198,2172,1262
4,39,438,2565,2160,2641,1283,1023,516,2692,2381
4,40,397,2564,2159,2640,1282,1940,443,2691,2497
4,76,1598,2558,2303,2631,1257,2058,936,2514,2484
4,77,1597,2557,2302,2630,1256,1278,935,2506,2483
4,78,730,2556,2301,2247,1246,730,2503,2441,2468
4,79,1073,2555,2448,2629,1255,2415,738,2391,2467
4,80,1122,2554,2447,2628,1254,684,1996,2364,2174
4,81,1121,2553,2446,2436,1351,2482,748,2502,2173
4,82,1120,2388,2445,2435,1549,2481,747,2498,2231
4,83,1596,2387,2444,2434,1548,1596,1437,2493,2228
4,84,2609,2386,2300,2440,1471,778,704,2420,2227
4,88,1595,475,2703,2412,1424,2664,1641,845,1281
4,89,1594,474,2702,2411,1423,2663,1640,844,1280
4,90,2404,680,2701,2410,1422,2606,2309,1807,1398
4,9,91,2510,1996,2654,2685,98,91,2646,2351
4,91,2740,182,2700,1315,1418,1723,2497,485,635
