i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
0,1,966,0.22641509433962265,378,20159.5,389360928,164330.5,24473970510,0.002613833446779839,-963.4108013910908
0,2,920,0.3125,378,17857.5,277538976,159134.5,23289012318,0.0026008103016089456,-653.1081539405595
0,3,1058,0.2777777777777778,522,18466.5,307121760,174800.5,26861674950,0.0015676433784400248,-465.9131914134074
0,4,1380,0.25757575757575757,522,17778.5,273701472,211032.5,35124455014,0.0022254166155726463,-1497.1983997646935
0,5,1127,0.3090909090909091,522,18888.0,327596544,182581.0,28636033536,0.0016386415728521,-548.2360837148377
0,6,1127,0.2631578947368421,522,18888.0,327596544,182581.0,28636033536,0.001523056187059947,-545.1010931541246
0,7,529,0.24324324324324326,324,23012.0,527923968,114851.0,13190071576,0.004757035183216238,-530.8384460028361
0,8,460,0.43333333333333335,270,25767.0,661750848,105909.5,11150944618,0.003671955463000239,-248.2446403799678
0,9,1380,0.27692307692307694,522,19755.0,369711936,211032.5,35124455014,0.0014288525101029302,-884.233118781425
0,10,1288,0.234375,522,19871.5,375371040,200700.5,32768221750,0.001851292191577207,-1035.0034628206279
0,11,483,0.41935483870967744,324,17024.0,237050880,109573.0,11986413120,0.003978145510403575,-280.99734343075426
0,12,1725,0.1951219512195122,522,21690.0,463706496,249635.0,43927832344,0.0014359531522901284,-1872.246274232284
0,13,989,0.40425531914893614,522,33858.0,1054779264,166759.0,25027794792,0.001630625387563407,-355.21651837822435
0,14,230,0.1,180,18030.0,285918336,80624.5,5384649798,0.010493079990616936,-553.048138743823
0,15,1702,0.24358974358974358,522,17181.0,244677312,247251.0,43384156376,0.00221133681489781,-2882.4687817062877
0,16,1035,0.3877551020408163,378,18810.0,323807616,172117.0,26249697408,0.0022249002044927822,-649.6645629286978
0,17,667,0.4444444444444444,324,16946.0,233261952,130485.0,16755436544,0.002896090529823127,-358.60070977945225
0,18,989,0.40425531914893614,522,33858.0,1054779264,166759.0,25027794792,0.001630625387563407,-355.2165183782244
0,19,276,0.16666666666666666,198,16126.0,193429632,85948.5,6598798646,0.005494704848153124,-304.8398336796577
0,20,529,0.6428571428571429,324,23947.0,573342528,114026.0,13001928676,0.0024928040801056673,-149.23967334621693
0,21,2208,0.16666666666666666,522,25966.5,671441760,303110.5,56123027070,0.0024418365889089435,-7963.988175829585
0,22,460,0.2647058823529412,324,22537.0,504850368,106707.5,11332930114,0.005571024483310518,-485.95845474285557
0,23,598,0.3611111111111111,324,16131.5,193696800,122650.5,14968763150,0.004124299373578189,-480.4691590839928
1,17,1218,0.3148148148148148,378,12817.5,153961724,180789.5,31539325440,0.002269753350026414,-1003.0198330447217
1,19,504,0.22727272727272727,231,11997.5,127670884,136253.0,12421142085,0.005735720997348903,-1295.8985544670522
1,20,966,0.3,378,19818.5,378427786,164330.5,24473970510,0.002832014735320963,-928.852990112294
1,21,4032,0.2777777777777778,609,21838.0,443176995,353415.0,105642273825,0.0013294453065923772,-5758.992514675173
1,24,2478,0.27848101265822783,441,12423.5,141329296,258755.5,65007790260,0.002434367045542377,-3338.770599576569
1,25,2226,0.4393939393939394,441,11967.5,126709024,243245.5,58349812560,0.0025065572123877927,-2145.1466163365612
1,26,2016,0.47540983606557374,441,14924.5,221516358,230293.0,52789692885,0.0017132560210874929,-1171.7614519928595
1,27,1638,0.5283018867924528,441,10067.5,65791224,206972.5,42778901850,0.004680769225294347,-2363.6055432941002
1,28,1932,0.2222222222222222,441,10580.5,82239030,225105.0,50562640125,0.0027332105805690605,-2546.7440371624007
