i,j,order_LDC,order_Jaccard,order_LKS,order_CI_e_av_skin,order_CI_e_mul_skin,order_CI_e_av_body,order_CI_e_mul_body,order_LLBCe,order_LLBMEe1
0,1,3,78,78,4,3,3,3,57,7
0,2,2,77,77,27,23,2,2,11,2
0,3,6,75,76,12,8,6,6,56,29
0,4,32,47,75,10,10,32,33,38,18
0,5,22,42,74,6,5,27,29,37,16
0,6,20,43,73,5,4,25,28,36,15
0,7,18,72,72,8,7,29,18,54,28
0,8,15,13,71,78,29,13,13,19,5
0,9,28,45,70,9,9,30,31,35,17
0,10,78,11,69,31,78,78,78,34,78
0,11,53,31,68,16,15,48,37,33,33
0,12,13,68,67,28,38,16,16,52,27
0,13,46,27,66,19,77,77,53,50,47
0,14,66,23,65,23,16,38,77,48,61
0,15,39,21,64,17,17,76,45,46,41
0,16,10,10,63,15,13,9,10,3,1
1,2,11,76,45,24,24,11,9,20,10
1,3,23,74,44,7,6,22,22,55,31
1,7,52,71,43,11,11,53,26,53,32
1,12,31,67,42,25,76,75,39,51,30
1,13,77,28,41,77,18,42,76,49,77
1,14,45,24,40,14,22,74,49,47,46
1,15,65,22,39,76,75,37,75,45,60
1,17,38,9,62,26,28,34,35,21,19
2,3,21,73,15,29,37,18,15,23,26
2,7,33,70,14,75,74,20,74,22,45
2,8,51,14,38,74,36,57,55,30,20
2,18,64,8,61,72,47,73,73,29,59
2,12,76,66,13,73,34,28,24,24,76
2,19,30,7,60,71,35,36,30,28,22
2,20,44,6,59,70,45,52,41,27,34
2,21,4,12,58,69,33,5,4,32,4
3,7,75,69,3,21,19,72,48,40,75
3,11,63,32,37,68,73,71,72,16,58
3,12,50,65,2,30,44,45,71,39,44
4,6,74,44,36,67,72,70,70,15,74
4,9,62,46,35,66,71,69,69,14,57
5,6,41,58,34,65,70,46,46,12,50
5,9,56,41,12,64,69,55,54,13,52
5,22,73,57,57,63,68,68,68,2,73
6,22,55,56,33,62,67,51,52,1,51
8,17,72,64,32,61,48,67,67,31,66
8,21,29,63,31,60,32,26,27,78,68
8,23,9,61,56,59,66,8,8,77,72
12,23,8,5,30,58,65,7,7,25,3
14,23,26,4,11,57,64,17,19,26,6
16,32,49,49,54,18,14,40,38,7,64
16,30,61,50,55,53,62,49,57,8,71
16,20,71,20,29,55,25,66,66,10,54
16,21,19,17,28,56,31,21,21,75,12
16,23,5,18,10,54,63,4,5,74,9
17,21,27,62,9,48,30,23,23,73,70
17,23,17,60,8,47,61,12,12,72,67
18,23,48,3,27,52,60,31,34,44,21
19,29,70,40,53,50,27,65,65,17,69
19,32,60,2,25,49,58,56,50,6,40
19,23,14,39,26,51,59,14,14,43,8
20,23,24,19,7,46,57,24,25,42,13
21,24,43,38,52,45,46,64,64,71,56
21,25,69,36,51,44,43,47,47,69,49
21,26,37,34,50,43,42,63,63,67,43
21,27,59,30,49,42,41,41,42,65,39
21,28,57,26,48,41,40,62,62,63,36
21,29,16,55,24,33,56,19,20,61,14
21,31,25,53,47,40,39,33,32,59,24
21,23,1,59,1,1,1,1,1,76,65
23,24,68,37,23,39,55,50,51,70,55
23,25,42,35,22,38,54,61,61,68,48
23,26,58,33,21,37,53,44,44,66,42
23,27,36,29,20,36,52,60,60,64,38
23,28,35,25,19,35,51,39,40,62,35
23,29,7,52,6,2,2,10,11,60,11
23,33,34,15,46,34,49,35,36,41,25
23,31,12,51,18,3,50,15,17,58,23
29,30,54,1,17,13,12,43,43,9,37
29,31,47,54,5,20,21,54,56,18,53
30,32,40,48,4,22,20,59,59,5,63
31,33,67,16,16,32,26,58,58,4,62
