i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
0,1,144,0.3888888888888889,16,169.5,28080,1258.5,1463760,0.03649237472766884,-608.5882923939337
0,2,160,0.23809523809523808,16,115.5,7020,1311.0,1632285,0.07138888888888888,-1764.7620829616365
0,3,96,0.29411764705882354,16,142.5,17550,1095.0,938925,0.03308823529411765,-428.19958879204506
0,4,48,0.11764705882352941,12,137.5,15600,909.5,343470,0.049019607843137254,-565.6012882414711
0,5,64,0.1111111111111111,12,157.5,23400,961.5,510390,0.06481481481481483,-851.6292614156791
0,6,64,0.1111111111111111,12,157.5,23400,961.5,510390,0.06481481481481481,-851.629261415679
0,7,64,0.17647058823529413,16,147.0,19305,979.5,568170,0.035845588235294115,-437.502127768833
0,8,80,0.05,16,107.5,3900,1038.5,757560,0.05142230576441102,-918.1299315062126
0,9,48,0.11764705882352941,12,137.5,15600,909.5,343470,0.049019607843137254,-565.6012882414711
0,10,16,0.0,4,97.5,0,802.5,0,0.058823529411764705,-651.9379229526187
0,11,32,0.058823529411764705,8,118.0,7995,856.5,173340,0.04779411764705882,-546.6808338938052
0,12,80,0.16666666666666666,16,107.5,3900,1038.5,757560,0.03586212262682851,-526.5239955410134
0,13,32,0.058823529411764705,8,116.5,7410,856.5,173340,0.04411764705882353,-511.7188820330946
0,14,48,0.05555555555555555,12,102.5,1950,922.5,385200,0.04212573918456271,-586.3260956194803
0,15,32,0.058823529411764705,8,116.5,7410,856.5,173340,0.04411764705882353,-511.7188820330946
0,16,96,0.0,12,100.0,975,1095.0,938925,0.10106163677592249,-2320.4562920907706
1,2,90,0.26666666666666666,16,90.0,5184,964.5,927504,0.04634920634920635,-325.06573733581433
1,3,54,0.36363636363636365,16,117.0,12960,748.5,533520,0.03939393939393939,-92.42306530963415
1,7,36,0.3,16,121.5,14256,633.0,322848,0.041666666666666664,-71.51973216111982
1,12,45,0.2727272727272727,16,82.0,2880,692.0,430464,0.0343073593073593,-84.54767984613025
1,13,18,0.1,8,91.0,5472,510.0,98496,0.05555555555555555,-83.41535112940201
1,14,27,0.09090909090909091,12,77.0,1440,576.0,218880,0.04567099567099566,-98.76161053055282
1,15,18,0.1,8,91.0,5472,510.0,98496,0.05555555555555555,-83.41535112940201
1,17,36,0.0,16,94.5,6480,633.0,322848,0.05613553113553113,-165.2707836293125
2,3,60,0.3333333333333333,16,63.0,3240,801.0,594945,0.057449494949494945,-201.2786743384273
2,7,40,0.2727272727272727,16,67.5,3564,685.5,360018,0.05227272727272727,-141.16316243208178
2,8,50,0.15384615384615385,16,28.0,720,744.5,480024,0.03037240537240537,-134.7596256429069
2,18,20,0.0,8,26.5,612,568.5,122040,0.05862193362193362,-176.34957366209423
2,12,50,0.25,16,28.0,720,744.5,480024,0.028950216450216452,-109.72008353298986
2,19,40,0.0,12,37.5,1404,685.5,360018,0.06849380777952205,-313.9400489370457
2,20,30,0.0,12,31.0,936,627.5,242046,0.047466422466422464,-179.32930886823166
2,21,120,0.047619047619047616,16,89.5,5148,1113.5,1230570,0.05969765684051397,-1005.4088160003369
3,7,24,0.42857142857142855,16,94.5,8910,469.5,207090,0.041666666666666664,-23.1736391735886
3,11,12,0.14285714285714285,8,65.5,3690,346.5,63180,0.07142857142857142,-29.75942821407729
3,12,30,0.375,16,55.0,1800,528.5,276120,0.05395408163265306,-46.81517114289108
4,6,12,0.16666666666666666,9,100.0,9600,266.0,68052,0.08888888888888888,-20.041528449961163
4,9,9,0.2,9,80.0,6400,214.0,45796,0.08333333333333333,-11.903654728191842
5,6,16,0.3333333333333333,9,120.0,14400,318.0,101124,0.05555555555555556,-16.28161336256452
5,9,12,0.16666666666666666,9,100.0,9600,266.0,68052,0.08888888888888888,-20.041528449961167
5,22,8,0.2,6,81.5,5160,193.0,21624,0.125,-13.488274081338368
6,22,8,0.2,6,81.5,5160,193.0,21624,0.125,-13.488274081338364
8,17,20,0.2857142857142857,16,32.5,900,413.0,167088,0.051587301587301584,-33.086659036066
8,21,60,0.21428571428571427,16,81.5,2860,841.0,571120,0.033708355136926556,-185.19163256235797
8,23,85,0.1,16,138.0,5120,1076.0,792960,0.02616959064327485,-476.0370915347802
12,23,85,0.0,16,138.0,5120,1076.0,792960,0.04721019721019721,-1006.3403793674104
14,23,51,0.0,12,133.0,2560,960.0,403200,0.04824979114452798,-812.4794682044899
16,32,18,0.125,9,54.5,520,411.5,139230,0.08928571428571429,-71.88952025818367
16,30,18,0.125,9,60.5,580,411.5,139230,0.07936507936507937,-64.80012549211942
16,20,18,0.125,9,15.5,130,411.5,139230,0.07738095238095237,-73.73634992275305
16,21,72,0.058823529411764705,12,74.0,715,897.5,707850,0.04743230625583566,-427.74597799134744
16,23,102,0.09523809523809523,12,130.5,1280,1132.5,982800,0.04321806500377928,-927.9258035243987
17,21,48,0.14285714285714285,16,94.0,6435,782.0,428340,0.039560439560439545,-200.5833945477721
17,23,68,0.10526315789473684,16,150.5,11520,1017.0,594720,0.035185185185185174,-547.2858130566065
18,23,34,0.0,8,136.5,4352,900.0,201600,0.043302701197438044,-627.9569909666551
19,29,20,0.125,9,81.5,4836,385.0,147264,0.06607142857142857,-52.345678585523515
19,32,12,0.0,9,71.5,4056,296.0,84252,0.09920634920634921,-37.35309257184447
19,23,68,0.05,12,147.5,9984,1017.0,594720,0.04463032581453634,-771.3016717066271
20,23,51,0.05263157894736842,12,141.0,6656,959.0,399840,0.03989139515455305,-599.011467639336
21,24,24,0.07692307692307693,8,89.0,5005,658.5,129470,0.041666666666666664,-162.32248840600158
21,25,24,0.07692307692307693,8,89.0,5005,658.5,129470,0.041666666666666664,-162.32248840600158
21,26,24,0.07692307692307693,8,89.0,5005,658.5,129470,0.041666666666666664,-162.32248840600158
21,27,24,0.07692307692307693,8,89.0,5005,658.5,129470,0.041666666666666664,-162.32248840600158
21,28,24,0.07692307692307693,8,89.0,5005,658.5,129470,0.041666666666666664,-162.32248840600158
21,29,60,0.13333333333333333,12,133.5,17732,813.0,503360,0.038253968253968255,-232.24221600795474
21,31,48,0.14285714285714285,12,121.0,14157,762.5,381150,0.03649921507064364,-177.0787443964494
21,23,204,0.5263157894736842,16,199.5,36608,1445.0,2032800,0.01308827624617098,-288.5171383255731
23,24,34,0.05555555555555555,8,145.5,8960,893.5,179760,0.03758169934640523,-488.5293218945889
23,25,34,0.05555555555555555,8,145.5,8960,893.5,179760,0.03758169934640523,-488.5293218945889
23,26,34,0.05555555555555555,8,145.5,8960,893.5,179760,0.03758169934640523,-488.5293218945889
23,27,34,0.05555555555555555,8,145.5,8960,893.5,179760,0.03758169934640523,-488.5293218945889
23,28,34,0.05555555555555555,8,145.5,8960,893.5,179760,0.03758169934640523,-488.5293218945889
23,29,85,0.15789473684210525,12,190.0,31744,1048.0,698880,0.038109161793372315,-607.2387437394992
23,33,34,0.05555555555555555,8,148.5,10496,892.0,174720,0.049019607843137254,-615.5467865618223
23,31,68,0.16666666666666666,12,177.5,25344,997.5,529200,0.03104575163398693,-423.6118951742374
29,30,15,0.0,9,120.0,14384,327.0,99008,0.08095238095238096,-42.37858559864354
29,31,20,0.2857142857142857,9,111.5,12276,365.5,131040,0.07936507936507936,-41.02960398860073
30,32,9,0.2,9,110.0,12064,238.0,56644,0.1,-12.079333297851718
31,33,8,0.2,6,70.0,4059,209.5,32760,0.1,-16.113713935145277
