i,j,order_LDC,order_Jaccard,order_LKS,order_CI_e_av_skin,order_CI_e_mul_skin,order_CI_e_av_body,order_CI_e_mul_body,order_LLBCe,order_LLBMEe1
0,1,254,22,254,254,254,254,254,19,111
0,2,156,98,253,47,65,184,184,11,254
0,3,139,97,252,46,64,179,179,10,253
0,4,17,53,251,45,63,52,57,5,1
0,5,225,21,250,253,253,253,253,18,90
0,6,214,20,249,252,252,252,252,17,87
0,7,212,19,248,251,251,251,251,16,82
0,8,193,18,247,250,250,250,250,15,76
0,9,191,17,246,249,249,249,249,14,73
0,10,180,16,245,248,248,248,248,13,65
2,4,119,52,177,247,247,125,134,96,57
2,3,253,96,178,107,100,247,247,12,252
3,4,118,51,123,246,246,121,132,95,56
4,11,252,15,244,245,245,246,246,94,88
4,12,16,93,243,244,244,14,15,68,18
4,13,4,92,242,243,243,4,4,54,7
4,14,11,71,241,242,242,10,11,72,10
4,15,3,95,240,241,241,3,3,70,20
4,16,27,181,239,240,240,20,24,157,242
4,17,83,48,238,239,239,78,98,93,27
4,18,224,14,237,238,238,245,245,92,80
4,19,166,29,236,237,237,149,161,91,41
4,20,59,180,235,236,236,70,72,156,244
4,21,14,91,234,235,235,13,14,67,17
4,22,53,178,233,234,234,63,71,154,251
4,23,47,175,232,233,233,61,68,151,236
4,24,114,45,231,232,232,95,120,90,36
4,25,46,171,230,231,231,58,64,142,227
4,26,7,60,229,230,230,7,7,45,6
4,27,22,89,228,229,229,16,18,66,19
4,28,42,166,227,228,228,56,62,147,232
4,29,6,59,226,227,227,6,6,46,5
4,30,10,94,225,226,226,8,10,69,12
4,31,158,25,224,225,225,183,183,89,31
4,32,1,78,223,224,224,1,1,35,2
4,33,35,70,222,223,223,30,34,88,9
4,34,113,42,221,222,222,91,112,87,37
4,35,32,69,220,221,221,23,31,86,8
4,36,2,68,219,220,220,2,2,47,4
4,37,13,90,218,219,219,11,13,64,16
4,38,5,63,217,218,218,5,5,22,3
4,39,82,27,216,217,217,103,108,85,29
4,40,155,23,215,216,216,166,170,84,33
4,41,213,13,214,215,215,244,244,83,72
4,42,211,12,213,214,214,243,243,82,64
4,43,192,11,212,213,213,242,242,81,60
12,30,179,103,172,208,208,126,126,115,116
12,13,135,160,176,212,212,82,61,136,238
12,15,77,122,175,211,211,49,43,110,85
12,52,117,150,211,87,205,177,115,121,175
12,32,65,82,171,207,207,46,164,99,43
12,21,154,159,174,210,210,207,107,135,240
12,56,98,145,210,205,204,157,94,126,208
12,27,210,157,173,209,209,241,241,133,250
12,37,251,154,170,206,206,116,240,130,220
13,38,30,64,167,197,195,28,27,25,14
13,30,76,102,119,110,199,102,49,114,115
13,54,250,75,209,195,193,206,143,60,92
13,15,24,121,122,203,202,22,21,57,52
13,21,58,158,121,202,201,129,129,134,249
13,32,12,81,118,200,198,15,12,102,24
13,14,95,72,169,204,203,38,39,80,40
13,52,45,149,166,196,194,51,53,120,174
13,36,18,67,168,199,197,18,16,104,28
13,55,190,39,208,194,192,192,206,37,59
13,27,112,156,120,201,200,119,156,132,239
13,56,165,144,165,122,191,112,117,125,207
13,57,223,10,207,193,190,240,239,34,79
13,37,67,153,117,198,196,62,87,129,219
14,44,75,32,206,96,92,45,104,21,30
14,30,134,73,82,77,78,108,65,79,53
14,15,41,74,116,192,189,31,50,78,51
14,34,222,44,162,92,88,239,237,55,127
14,58,189,114,205,71,80,238,182,39,101
14,24,249,47,164,93,89,191,238,56,248
14,35,116,116,161,99,96,93,93,52,71
14,33,153,117,163,108,101,137,140,53,75
14,36,64,88,115,191,188,53,29,49,23
15,38,20,66,112,109,176,19,19,24,21
15,30,57,104,79,100,180,33,30,107,58
15,34,188,43,113,182,178,185,188,75,68
15,29,29,55,157,184,181,27,26,48,15
15,24,209,46,114,186,183,236,200,73,69
15,16,111,62,160,190,187,104,114,71,26
15,17,164,50,159,189,186,161,154,77,38
15,19,248,30,158,188,185,237,236,76,247
15,21,94,120,81,187,184,43,40,109,84
15,27,66,119,80,185,182,74,73,108,86
15,37,52,118,77,181,177,40,36,65,83
15,32,9,79,78,183,179,12,9,44,11
15,39,157,28,156,180,175,143,149,74,55
16,38,93,61,111,33,33,92,99,23,32
16,25,163,170,152,58,61,168,169,141,226
16,28,221,165,151,48,55,234,234,146,231
16,23,247,174,153,83,82,235,235,150,235
16,22,178,177,154,70,67,180,178,153,243
16,20,133,179,155,91,87,147,150,155,246
17,38,208,49,110,79,77,205,205,27,77
17,51,246,41,204,106,174,233,233,20,245
20,23,177,173,108,81,76,174,175,149,234
20,25,220,169,107,105,99,231,231,140,225
20,22,245,176,109,56,60,232,232,152,241
20,28,162,164,106,75,72,165,166,145,230
21,30,110,101,52,94,172,76,168,113,112
21,52,187,148,105,113,169,164,90,119,173
21,32,74,80,51,178,171,89,58,98,42
21,56,244,143,104,85,168,230,230,124,206
21,37,207,152,50,177,170,148,121,128,218
21,27,132,155,53,179,173,66,199,131,237
22,28,206,163,74,98,95,196,195,144,229
22,25,152,168,75,80,75,160,160,139,224
22,23,131,172,76,104,98,142,147,148,233
23,25,205,167,49,55,59,189,186,138,223
23,28,151,162,48,69,66,156,157,143,228
25,28,130,161,30,90,86,140,144,137,222
26,32,26,253,103,175,167,29,28,253,214
26,36,39,251,102,174,166,39,41,251,110
26,62,150,244,202,172,127,101,151,218,124
26,29,63,254,150,176,139,71,101,254,212
