i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
0,1,10,0.0,3,724.5,0,1899.0,0,0.09090909090909091,-235.8019570761995
0,2,30,0.18181818181818182,9,885.5,466578,2328.0,3258684,0.07272727272727272,-218.63759826840257
0,3,30,0.18181818181818182,9,885.5,466578,2328.0,3258684,0.07272727272727272,-218.63759826840257
0,4,360,0.045454545454545456,24,724.5,0,8829.0,52640280,0.14376321353065538,-40405.823658577225
0,5,10,0.0,3,724.5,0,1899.0,0,0.09090909090909091,-235.8019570761995
0,6,10,0.0,3,724.5,0,1899.0,0,0.09090909090909091,-235.8019570761995
0,7,10,0.0,3,724.5,0,1899.0,0,0.09090909090909091,-235.8019570761995
0,8,10,0.0,3,724.5,0,1899.0,0,0.09090909090909091,-235.8019570761995
0,9,10,0.0,3,724.5,0,1899.0,0,0.09090909090909091,-235.8019570761995
0,10,10,0.0,3,724.5,0,1899.0,0,0.09090909090909091,-235.8019570761995
2,4,108,0.05405405405405406,24,161.0,0,7359.0,11891880,0.025525525525525526,-4502.712705189569
2,3,9,0.5,9,322.0,103684,858.0,736164,0.08333333333333333,-11.211604132591994
3,4,108,0.05405405405405406,24,161.0,0,7359.0,11891880,0.025525525525525526,-4502.712705189569
4,11,36,0.0,8,0.0,0,6930.0,0,0.02702702702702703,-4690.660560037301
4,12,360,0.1794871794871795,64,225.0,0,8829.0,52640280,0.01921954376407818,-3981.5945048955205
4,13,576,0.23809523809523808,64,0.0,0,10050.0,86486400,0.03652869423775346,-10364.792547488954
4,14,396,0.20512820512820512,48,135.0,0,9035.0,58350600,0.02092517618833408,-4736.384816328749
4,15,612,0.43243243243243246,64,16.0,0,10250.0,92030400,0.010535535535535535,-2377.436837664316
4,16,288,0.1891891891891892,48,406.0,0,8414.0,41136480,0.015765765765765764,-2940.7295311180233
4,17,144,0.05263157894736842,24,174.0,0,7572.0,17796240,0.026109191898665587,-4976.067672336644
4,18,36,0.0,8,0.0,0,6930.0,0,0.02702702702702703,-4690.660560037301
4,19,72,0.02702702702702703,16,80.5,0,7145.0,5959800,0.020645645645645645,-3649.4019585370243
4,20,216,0.13513513513513514,48,402.5,0,7995.0,29521800,0.02252252252252252,-3935.147862151702
4,21,360,0.1794871794871795,64,225.0,0,8829.0,52640280,0.01921954376407818,-3981.5945048955205
4,22,216,0.13513513513513514,48,402.5,0,7995.0,29521800,0.02252252252252252,-3935.147862151702
4,23,216,0.13513513513513514,48,402.5,0,7995.0,29521800,0.02252252252252252,-3935.147862151702
4,24,108,0.05405405405405406,24,150.0,0,7359.0,11891880,0.01876876876876877,-3359.510522351786
4,25,216,0.13513513513513514,48,402.5,0,7995.0,29521800,0.02252252252252252,-3935.147862151702
4,26,468,0.06521739130434782,72,246.0,0,9444.0,69688080,0.0386405462492419,-11117.239328472067
4,27,324,0.15384615384615385,64,204.0,0,8622.0,46902240,0.019428399236091548,-3993.2077455506874
4,28,216,0.13513513513513514,48,402.5,0,7995.0,29521800,0.02252252252252252,-3935.147862151702
4,29,540,0.10869565217391304,72,287.0,0,9849.0,80914680,0.03571784093523223,-11114.040131274722
4,30,396,0.175,56,350.0,0,9035.0,58350600,0.02750806173883097,-6437.516662635225
4,31,72,0.02702702702702703,16,80.5,0,7145.0,5959800,0.0259009009009009,-4528.296706982854
4,32,792,0.16,72,409.5,0,11235.0,119334600,0.05664074021216878,-25623.858583977748
4,33,252,0.075,32,213.0,0,8205.0,35343000,0.03590684778184778,-7889.828810296088
4,34,108,0.05405405405405406,24,150.0,0,7359.0,11891880,0.01876876876876877,-3359.5105223517853
4,35,252,0.075,32,213.0,0,8205.0,35343000,0.0564494301994302,-12525.443716155578
4,36,684,0.14583333333333334,72,9.0,0,10647.0,103035240,0.03897910231021934,-15840.298426128467
4,37,360,0.1794871794871795,64,238.5,0,8829.0,52640280,0.019135198284995856,-3992.289927202218
4,38,540,0.13333333333333333,56,665.0,0,9849.0,80914680,0.0696933621933622,-22892.294618717697
4,39,144,0.05263157894736842,16,241.5,0,7572.0,17796240,0.03769559032716927,-7158.929402326106
4,40,72,0.02702702702702703,16,58.0,0,7145.0,5959800,0.024399399399399398,-4317.324457946254
4,41,36,0.0,8,0.0,0,6930.0,0,0.02702702702702703,-4690.660560037301
4,42,36,0.0,8,0.0,0,6930.0,0,0.02702702702702703,-4690.660560037301
4,43,36,0.0,8,0.0,0,6930.0,0,0.02702702702702703,-4690.660560037301
12,30,110,0.4,56,575.0,315000,4004.0,15989580,0.018304988662131517,-129.02922759474455
12,13,160,0.5294117647058824,64,225.0,0,5019.0,23699520,0.015012254901960786,-199.96539178102742
12,15,170,0.35,64,241.0,14400,5219.0,25218720,0.015710188933873142,-297.5920660732267
12,52,110,0.4,64,720.0,445500,4004.0,15989580,0.014370748299319726,-89.37361188958504
12,32,220,0.23076923076923078,72,634.5,368550,6204.0,32700780,0.023641025641025642,-1041.5117660730193
12,21,100,0.8181818181818182,64,450.0,202500,3798.0,14424804,0.00909090909090909,-25.211323992374727
12,56,70,0.5454545454545454,56,588.0,326700,3174.0,9684900,0.01393939393939394,-29.720448098079775
12,27,90,0.7272727272727273,64,429.0,183600,3591.0,12852432,0.01038961038961039,-27.276007752315664
12,37,100,0.6666666666666666,64,463.5,214650,3798.0,14424804,0.010416666666666666,-35.143534271510205
13,38,240,0.10714285714285714,56,665.0,0,6039.0,36429120,0.06999647912346324,-3868.8584266879266
13,30,176,0.5,56,350.0,0,5225.0,26270400,0.022093837535014003,-398.9524195728372
13,54,48,0.11764705882352941,24,214.0,0,3549.0,5353920,0.03125,-343.0039127174575
13,15,272,0.375,64,16.0,0,6440.0,41433600,0.023194212188777406,-958.9173942198828
13,21,160,0.5294117647058824,64,225.0,0,5019.0,23699520,0.015012254901960786,-199.96539178102742
13,32,352,0.22580645161290322,72,409.5,0,7425.0,53726400,0.03800400316529349,-3275.8371217742138
13,14,176,0.17391304347826086,48,135.0,0,5225.0,26270400,0.026580002123480388,-802.9650952117547
13,52,176,0.42105263157894735,64,495.0,0,5225.0,26270400,0.015447393736867421,-290.9281380560676
13,36,304,0.16666666666666666,72,9.0,0,6837.0,46388160,0.025680615680615675,-1969.963569623757
13,55,48,0.05555555555555555,16,122.0,0,3549.0,5353920,0.06781045751633986,-835.9323002163557
13,27,144,0.47058823529411764,64,204.0,0,4812.0,21116160,0.016762955182072832,-217.3650516698831
13,56,112,0.35294117647058826,56,363.0,0,4395.0,15912000,0.02340686274509804,-274.4622665693868
13,57,16,0.0,8,0.0,0,3120.0,0,0.058823529411764705,-582.5070869240869
13,37,160,0.4444444444444444,64,238.5,0,5019.0,23699520,0.015332244008714597,-233.07207884202523
14,44,99,0.05263157894736842,42,591.0,246240,3797.0,14246640,0.0686159844054581,-835.4782229508623
14,30,121,0.15789473684210525,42,485.0,189000,4210.0,17724100,0.02636800334168755,-405.58594099670876
14,15,187,0.21739130434782608,48,151.0,8640,5425.0,27954400,0.019027228809837503,-597.0029192961395
14,34,33,0.16666666666666666,18,285.0,81000,2534.0,3612180,0.04166666666666667,-160.87467356429423
14,58,44,0.25,24,394.5,140130,2745.5,5393010,0.04734848484848485,-179.37264477041157
14,24,33,0.16666666666666666,18,285.0,81000,2534.0,3612180,0.041666666666666664,-160.8746735642942
14,35,77,0.2857142857142857,24,348.0,115020,3380.0,10735500,0.05860805860805861,-408.5215137050807
14,33,77,0.2857142857142857,24,348.0,115020,3380.0,10735500,0.033529565672422816,-226.56922544596875
14,36,209,0.25,54,144.0,4860,5822.0,31297140,0.025649154589371972,-1070.7457979449578
15,38,255,0.18518518518518517,56,681.0,42560,6239.0,38764320,0.050797042463709134,-2693.6591646300167
15,30,187,0.3333333333333333,56,366.0,22400,5425.0,27954400,0.022316413744985174,-562.322105612262
15,34,51,0.1111111111111111,24,166.0,9600,3749.0,5697120,0.024509803921568627,-327.9412317896296
15,29,255,0.10344827586206896,72,303.0,18368,6239.0,38764320,0.027565770299760442,-1335.0977888429295
15,24,51,0.1111111111111111,24,166.0,9600,3749.0,5697120,0.024509803921568627,-327.9412317896296
15,16,136,0.08695652173913043,48,422.0,25984,4804.0,19707520,0.01976284584980237,-484.55745335734804
15,17,68,0.10526315789473684,24,190.0,11136,3962.0,8525760,0.03009607351712614,-463.51619471177895
15,19,34,0.05555555555555555,16,96.5,5152,3535.0,2855200,0.027777777777777776,-356.9226203907814
