network,metric,k,auc,runtime_s,status
karate,LLBCe,1,0.64536,0.06,ok
karate,LLBMEe1,1,0.56957,0.06,ok
karate,LLBCe,2,0.61143,0.11,ok
karate,LLBMEe1,2,0.58805,0.11,ok
karate,LLBCe,3,0.60539,0.13,ok
karate,LLBMEe1,3,0.57787,0.13,ok
dolphins,LLBCe,1,0.45491,0.19,ok
dolphins,LLBMEe1,1,0.60971,0.19,ok
dolphins,LLBCe,2,0.47073,0.45,ok
dolphins,LLBMEe1,2,0.57958,0.45,ok
dolphins,LLBCe,3,0.50664,0.75,ok
dolphins,LLBMEe1,3,0.56781,0.75,ok
football,LLBCe,1,0.46189,2.67,ok
football,LLBMEe1,1,0.43931,2.67,ok
football,LLBCe,2,0.40999,10.16,ok
football,LLBMEe1,2,0.48639,10.16,ok
football,LLBCe,3,0.44014,17.03,ok
football,LLBMEe1,3,0.49012,17.03,ok
jazz,LLBCe,1,0.58502,115.73,ok
jazz,LLBMEe1,1,0.77006,115.73,ok
jazz,LLBCe,2,0.67903,328.84,ok
jazz,LLBMEe1,2,0.74569,328.84,ok
jazz,LLBCe,3,0.66755,383.53,ok
jazz,LLBMEe1,3,0.74464,383.53,ok
