i,j,LLBCe,LLBMEe1
0,10,0.012598454785954782,-339.8569136283989
0,14,0.021103519129834918,-1326.4011012054577
0,15,0.018876008064516128,-557.1337535683773
0,40,0.012805662805662804,-711.6177956064838
0,42,0.012406030349578736,-344.53568453026213
0,47,0.014067736698785086,-383.9715951027776
1,17,0.06943327107120212,-2909.408376442721
1,19,0.024627307640128146,-589.7773199017935
1,26,0.031937728937728935,-599.8431526625135
1,27,0.021886446886446885,-514.9951292021083
1,28,0.07437286686236266,-3483.3565162044106
1,36,0.09444696410936393,-8211.893883438253
1,41,0.03427432925585635,-917.5670848653693
1,54,0.029157486829900617,-1093.3711738450531
2,10,0.020299145299145293,-279.1910668991174
2,42,0.028476911976911965,-367.75496799135885
2,44,0.026309024309024313,-292.18443614187976
2,61,0.02963681849551415,-231.8635349613801
3,8,0.011026272577996715,-192.12637478829396
3,14,0.022726090436174472,-968.348457142933
3,59,0.013251133786848071,-165.60490438575525
4,51,0.04,-639.6709801659853
5,9,0.018440709617180202,-97.81100857091543
5,13,0.019125939849624064,-146.00630490137905
5,56,0.035443722943722944,-40.443636621120525
5,57,0.02636278195488722,-253.51358773012134
6,9,0.011209273182957393,-97.45807731439676
6,13,0.009586466165413535,-96.37063358592202
6,17,0.03241599670171098,-518.4723570011777
6,54,0.027653189202102243,-424.1247945846608
6,56,0.04041353383458646,-158.42072263685026
6,57,0.01506892230576441,-179.852682244263
7,19,0.014341787439613526,-197.35645711162752
7,27,0.0539304475201911,-889.5360609447927
7,30,0.03591127673639989,-763.9548859296485
7,40,0.0678708452314036,-4723.119227650436
7,54,0.07667358503565401,-2029.290156709363
8,20,0.011785047352274241,-570.313271646097
8,28,0.021468082652293177,-822.4142836926789
8,37,0.01893449185115852,-1146.4812596082368
8,45,0.016306173984745414,-802.4839090405989
8,59,0.009028417818740399,-215.85949973051575
9,13,0.004254385964912281,-46.50739230984012
9,17,0.03409090909090908,-604.1820516537089
9,32,0.048366013071895426,-233.68847810586706
9,41,0.015378944726770814,-154.6485542039205
9,57,0.017227891156462585,-228.85695176605506
10,29,0.03422360220488563,-1312.9196698922306
10,42,0.012624412624412622,-225.85162951495187
