i,j,LLBCe,LLBMEe1
0,8,0.009046688522906847,-3380.8110267601055
0,15,0.0038051147156486294,-1383.576801401985
0,23,0.003867922419412376,-969.9089040599803
0,61,0.006771748082176659,-3119.8493209736016
0,64,0.0036891261574805876,-1483.61997803193
0,65,0.003659611403575187,-1081.9230513159875
0,72,0.006313349246422369,-2918.233034258996
0,84,0.005308074769153672,-1302.4423420247244
0,103,0.005957871184058698,-1242.2186323856224
0,114,0.0034732694637757927,-1401.2564159249266
1,14,0.003819620147631759,-591.2944581542948
1,16,0.002425524683177744,-330.18525835036695
1,18,0.006747493261600375,-1504.5707678461906
1,19,0.00681934092877399,-1987.9136127691224
1,24,0.0056891188347272335,-960.4505982238791
1,42,0.003615094542090341,-442.8683843553398
1,49,0.004337823586248909,-774.6089802814741
1,53,0.004149259470646417,-1096.3555376487975
1,70,0.0040674067748734544,-799.8291810553047
1,73,0.0060716698300770046,-1114.278252542882
1,107,0.008878857307987558,-1870.781814395618
2,6,0.004477276965899926,-911.4337081889626
2,9,0.004217481238102553,-1384.8326384891218
2,18,0.007853104229733567,-2901.7989830200436
2,46,0.005601687236018795,-1173.8397094766058
2,58,0.004539857322185754,-1424.4294310126704
2,59,0.004767597667896065,-1321.426830566183
2,86,0.004970404319181643,-1631.4628877009409
2,89,0.00840849454729747,-2581.3226161387124
2,93,0.005772650443664171,-1122.3959753638878
2,102,0.021908334187695916,-8521.643257822034
2,105,0.006489945902445873,-1793.8526893878427
3,8,0.0046164076357034425,-1512.6329629229244
3,20,0.004781752593150617,-1778.6668472168037
3,26,0.005118616151015023,-1444.0072634818068
3,40,0.011285550138937709,-3222.9331171034205
3,44,0.004611680652253132,-973.4773670419528
3,46,0.007847350917971818,-1560.6821370521009
3,48,0.003658684447728736,-886.9821992779846
3,51,0.003087525206929817,-692.4862480247297
3,56,0.0049171654148614016,-1666.2940916183538
3,89,0.003275913574156775,-638.285275739291
4,5,0.0035290413863158063,-331.6531751957541
4,74,0.012052692214857039,-3051.842967902234
4,77,0.0030242428310280262,-458.4172227916835
4,78,0.00311094909862142,-250.1147632127356
4,84,0.005106234225966503,-897.6276026657218
4,87,0.0032760836150666655,-681.7258100730362
4,90,0.004441147040504141,-830.0999561497363
4,102,0.0048559788755619965,-941.7361025008776
4,103,0.006696959081781646,-1046.8692201544634
4,109,0.00463270909665166,-857.0478427353272
4,110,0.004334444876111542,-442.1746885594589
5,17,0.0028849533031775343,-372.89251755393684
5,23,0.005214579696893624,-917.0466419909086
5,77,0.0038318108699637605,-567.9177445141676
5,84,0.004649566854774865,-781.6474184849857
5,87,0.003948259070355186,-886.1992178120673
5,90,0.0037468670869165808,-695.0837333393256
5,102,0.006038175402549152,-1186.180117875187
5,104,0.008554014683576099,-1567.454050251051
5,109,0.004135897612449431,-659.6099009294927
5,110,0.0027071020545967515,-231.2668816759939
6,9,0.004411120911119727,-929.991498477635
6,12,0.010518269023546611,-2543.10454761814
6,31,0.0036172464583170082,-546.7364620322717
6,45,0.007236922257082556,-1363.3399118384907
6,46,0.005681319095275266,-736.4934805404476
6,58,0.004071637835220858,-818.8923008586876
6,59,0.0037739234308041447,-637.9550812341658
6,86,0.004584365458726362,-910.7412537183442
6,93,0.003808186337786157,-516.693100050008
7,12,0.0046524105106557296,-1985.3825216386365
7,35,0.005023266125813999,-2007.0937497380155
7,51,0.007624703139026266,-2855.7279264030626
7,58,0.006709636897247721,-2633.4133139996
7,66,0.002401352498855615,-972.9899085426662
7,68,0.009157961281246133,-4017.1752900649903
7,69,0.003518409286924094,-1324.2039114412678
7,75,0.0077532244025915464,-2712.960421609372
7,96,0.005637993971832618,-2727.87263428753
7,104,0.004586189654053912,-1523.2146569407537
8,13,0.006241633099852238,-2216.919889351077
8,20,0.004072542074916189,-1894.3271444424333
8,26,0.0031193306968867766,-1019.5224347420096
8,34,0.004004176113301945,-1537.5342169743756
8,48,0.0037318081741278017,-1161.4546237143816
8,51,0.004397491634573284,-1335.3195756319535
8,61,0.004327872724706132,-2215.9477184959933
8,66,0.0074292434531154404,-3558.2974296694856
