i,j,LLBCe,LLBMEe1
0,1,0.00021406999625044233,-447.5249383735185
0,2,0.00019887318679434252,-581.2520482627531
0,3,0.00021711821919452432,-449.9517199751536
0,4,0.00026167099560621805,-462.0241189514356
0,5,0.0001168941603396975,-177.2704267607621
0,6,0.0010930732714737692,-10108.175639607032
0,7,0.00038796633995605507,-624.3379052568705
0,8,0.00025606316695581447,-708.0908712561453
0,9,0.00034877510983150826,-1375.449717634938
0,10,0.0003058694043885268,-1034.2602148353362
0,11,0.0002383437915151614,-769.5033032170323
0,12,0.000565069275504931,-2819.3885286740674
0,13,0.00025269339253423744,-873.5065895519424
0,14,0.0002525023311049919,-878.2249880277452
0,15,0.0003783646997345168,-702.4739464904793
0,16,0.0002202085180646934,-330.65418951273745
0,17,0.0003153529884692595,-1427.8582842608619
0,18,0.0003928708756308228,-1649.9840351698626
0,19,0.0004936982927583308,-2895.1320332202718
0,20,0.00021711821919452432,-449.9517199751536
0,21,0.0005821549991282601,-753.0986011233014
0,22,0.0008880852338997389,-7057.813062861203
0,23,0.00027441080992715106,-1006.1275939388476
1,3,0.000236803685561211,-672.9074504446096
1,5,0.000207726741219783,-427.7040539248659
1,6,0.0008523786486431263,-7806.735073798906
1,10,0.00016255841264028746,-538.8365614860744
1,11,0.00017088417681152115,-537.6854824408653
1,12,0.00022818261843812594,-1126.3009429637855
1,13,0.0001853325492206441,-625.219910071349
1,14,0.00018474226993790696,-627.1883514708812
1,18,0.0002603737850990888,-1073.2647767642234
1,19,0.0003024681986898098,-1751.2097443538728
1,20,0.000236803685561211,-672.9074504446096
1,22,0.00041562837646927494,-3273.90989343816
1,23,0.00017252452225072136,-619.7884958889709
1,66,0.0015236684362800413,-23314.573858575415
1,119,0.00016512030206986399,-383.35966225698434
1,120,0.00019604266081211548,-684.8586156452235
1,121,0.00035059391409901394,-1468.5543347404205
1,122,0.0003265223506494602,-1274.679837569087
1,123,0.00028831639213512813,-923.9113873488709
1,124,0.00040196601867746546,-2296.789482953613
2,3,0.00023362660519808827,-836.5186472540104
2,4,0.00035891649639649805,-881.3254274346439
2,5,0.0002453922332822332,-712.6926573744074
2,6,0.0009469849688821046,-9339.885292845089
2,7,0.0004261026157283253,-1281.954450090101
2,8,0.00011288076885818297,-383.19909218068494
2,9,0.0002517968842171889,-1200.867547798045
2,12,0.00032768538048780855,-1892.634526191355
2,13,0.00020140408536213175,-837.8235171668903
2,15,0.0003916481064598211,-1295.13300029704
2,16,0.000256107975984187,-745.6548612066604
2,17,0.000261983701355295,-1378.4538141626156
2,19,0.0004380723686452405,-2903.0016181368237
2,20,0.00023362660519808825,-836.5186472540103
2,22,0.0006080989733484561,-5276.775231014119
2,23,0.00031879470670078655,-1385.8823123975083
2,66,0.002817913686830401,-46065.43157733015
2,124,0.0007695490431518877,-5055.100419571335
2,129,0.0007497853860052063,-2607.8617562148092
2,144,0.0009637115587767071,-2045.6714497835565
2,145,0.0007465825661771145,-1643.0637568867094
2,146,0.0009637115587767071,-2045.6714497835565
2,147,0.0004990264018038528,-1630.8918991402659
2,148,0.00017746337717033684,-841.8576863576618
2,149,0.00024070446110428936,-878.4413929976206
2,156,0.0003882253465628587,-988.910784765042
2,158,0.00028701414416268194,-985.3778225816925
2,159,0.00021182970240663773,-663.6323434887621
3,5,0.0002263360135220991,-467.56490536504276
3,6,0.0007913336921771902,-7892.397590831172
3,7,0.0006057467935888048,-1352.9342092586373
3,8,0.00024148107454183049,-833.4212718491357
3,10,0.00025478245385124955,-1042.3291757138134
3,11,0.00014183349423072138,-559.9404115844258
3,12,0.00027286095455258957,-1570.6029947655238
3,13,0.00014884361735707744,-621.6700116026284
3,14,0.00013180287444400403,-554.1661375693592
3,15,0.0005714346992356203,-1447.766714409058
3,16,0.0004245179631261359,-870.1837452040656
3,17,0.00019159754727654166,-1006.8014993301271
3,18,0.0002426397951309631,-1193.091316868711
3,19,0.0003229574247033894,-2127.348874624056
3,20,5.6110425317023906e-05,-144.533016657993
3,22,0.0004173276010660725,-3680.3854981402687
3,23,0.0002208496823614897,-963.118512903889
3,100,0.0004312271804639488,-2794.1648662977027
3,111,0.00046035710306696094,-2121.235048478221
3,120,0.0002287433903881188,-984.7818612340089
3,127,0.0003107800633538477,-1172.420186948079
3,132,0.0003566291168185882,-1832.9507504939395
3,136,0.00034713305184873533,-1521.3647385083673
3,148,0.00019121438380519782,-903.7253316465668
3,149,0.0001889072651396578,-487.5183569624056
3,151,0.00023187730508939742,-515.027510809017
3,163,0.00019354684133856967,-479.6338160741771
3,164,0.00020356331644413639,-514.9006989966111
3,165,0.00022779450847237702,-558.5597648618542
3,166,0.00022779450847237702,-558.5597648618542
3,167,0.0001434466736430978,-330.0963547680591
3,168,0.00016338086412019814,-350.38928379618955
3,169,0.00016183368583056487,-338.9875874185243
3,170,0.00015650547090390848,-332.1567821321016
3,171,0.00013673464214096235,-415.91810691129876
3,172,0.00013900642108871213,-428.79257263403406
3,173,0.000195837674245428,-492.8782391890633
3,176,0.00029960283753226516,-535.0145385802914
3,177,0.00029960283753226516,-535.0145385802914
3,178,0.00024180899684525238,-459.93946840329454
4,5,0.00019235808007097137,-336.9168087574213
4,9,0.0005334697390853625,-1786.7248810249807
4,16,0.0003694709765399537,-638.8024798853611
4,21,0.00042432139915503944,-572.7801437405985
4,66,0.0028705026153682243,-42449.12357586469
4,152,0.0004202479084025957,-936.8876856109373
4,154,0.0006664889369247479,-2078.445005068614
4,159,0.0002874463764081265,-534.0555935227651
4,163,0.0005566400603879961,-1314.1032914893976
4,164,0.0005823049674262651,-1416.9659674705258
