i,j,LLBCe,LLBMEe1
0,1,0.012626262626262624,-957.5363940351481
0,2,0.0388938403644286,-3159.376957749672
0,3,0.010249554367201427,-682.9482249257593
0,4,0.0261437908496732,-1503.376008302241
0,5,0.03906714200831848,-2339.6266722628397
0,6,0.039067142008318484,-2339.62667226284
0,7,0.01141032170443935,-707.9765907589168
0,8,0.03711979741391507,-2445.262526238573
0,10,0.0261437908496732,-1503.376008302241
0,11,0.029411764705882353,-1638.1865582296962
0,12,0.023262032085561494,-1352.1916860020826
0,13,0.021185949127125604,-1405.5116423190145
0,17,0.02006196417961124,-1178.937520390486
0,19,0.022968480321421503,-1430.2843144718568
0,21,0.020061964179611237,-1178.9375203904858
0,31,0.06362999745352686,-4555.638523017997
1,2,0.011616161616161618,-539.9790135682938
1,3,0.0038621509209744503,-121.1355643547037
1,7,0.0037114845938375344,-100.61787257865952
1,13,0.006202784143960616,-196.26054513072435
1,17,0.009349800526271112,-215.23870260488962
1,19,0.007316866140395553,-200.34494489608156
1,21,0.009349800526271114,-215.23870260488965
1,30,0.01614039555216026,-426.14537508949746
2,3,0.011215092097445038,-413.7374482663143
2,7,0.01260716407775231,-407.01420718893786
2,8,0.004587895764366352,-188.2305528314444
2,9,0.015401918343094814,-462.64962935236514
2,13,0.0038154655801714617,-155.09746268974874
2,27,0.02059601618425148,-707.5050651132826
2,28,0.011391223155929034,-370.7392172179082
2,32,0.034493393316922714,-1966.9366880405369
3,7,0.0016827943298531535,-32.32977398290728
3,12,0.006149732620320853,-85.99736107748267
3,13,0.007461166284695695,-160.81317547723597
4,6,0.0041025641025641026,-28.55066394826678
4,10,0.0025641025641025637,-14.531845929406076
5,6,0.002564102564102564,-24.28984153423231
5,10,0.0041025641025641026,-28.55066394826678
5,16,0.019230769230769232,-97.47222605044603
6,16,0.019230769230769232,-97.47222605044603
8,30,0.004901960784313725,-105.56096162406443
8,32,0.015220835809071102,-660.5652040819706
8,33,0.020218289335936394,-1286.6111043695967
9,33,0.01573322510822511,-830.1709679811893
13,33,0.03391194861783096,-2091.817446079831
14,32,0.01238876863876864,-414.61379835724506
14,33,0.017914261664261664,-937.5332414485378
15,32,0.01238876863876864,-414.61379835724506
15,33,0.017914261664261664,-937.5332414485378
18,32,0.012388768638768638,-414.613798357245
18,33,0.017914261664261664,-937.5332414485378
19,33,0.029691169397051756,-1724.8568311305532
20,32,0.012388768638768638,-414.613798357245
20,33,0.017914261664261664,-937.5332414485378
22,32,0.012388768638768637,-414.61379835724495
22,33,0.017914261664261664,-937.5332414485378
23,25,0.010400883838383838,-137.10449215025315
23,27,0.005492424242424242,-101.07271916327657
23,29,0.006222222222222223,-58.961080749819736
23,32,0.011553030303030301,-453.5632294431264
23,33,0.016934974747474747,-983.8884470274929
24,25,0.0022411616161616163,-26.078539424211854
24,27,0.00991161616161616,-122.58565666710646
24,31,0.020053475935828877,-434.3597708888626
25,31,0.02102891661715191,-455.50410690921956
26,29,0.004238095238095238,-25.48083785172663
26,33,0.027895021645021643,-1398.5753036834576
27,33,0.016190927128427127,-929.0039349185896
28,31,0.00742721330956625,-185.4974643617063
28,33,0.0130501443001443,-716.2358990367252
29,32,0.011987433862433863,-428.08729275460917
29,33,0.015294312169312171,-838.7902393076265
30,32,0.009059343434343434,-348.0080375868522
30,33,0.014245129870129871,-813.4654227003604
31,32,0.020716973658150124,-1028.332499499585
31,33,0.02669694140282376,-1867.250957557518
32,33,0.004369588744588745,-360.80477046394583
