i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
0,1,30,0.1,4,100.5,9500,255.0,62000,0.2111111111111111,-413.7614857571773
0,2,15,0.0,4,61.0,3496,146.0,18400,0.25892857142857145,-182.40594341839596
0,3,15,0.14285714285714285,4,56.0,2736,144.0,17600,0.11904761904761904,-67.26687867990582
0,4,10,0.0,4,47.5,1444,118.5,7400,0.2261904761904762,-101.78661694478056
0,5,15,0.0,4,59.0,3192,144.0,17600,0.16666666666666666,-121.65687707714778
1,6,30,0.1,4,116.5,13500,261.0,65720,0.17222222222222222,-336.1705080341712
1,7,18,0.0,4,85.5,5750,212.0,35340,0.25,-305.89816635053484
1,8,24,0.0,4,89.5,6750,227.0,44640,0.18703703703703703,-324.49493785550436
1,3,18,0.125,4,80.5,4500,199.0,27280,0.16964285714285715,-155.89164747562404
1,9,18,0.125,4,95.5,8250,217.0,38440,0.17857142857142858,-175.21504618115398
2,24,12,0.0,4,56.0,3036,109.0,11592,0.27380952380952384,-127.2720897299098
2,87,3,0.0,2,23.0,0,46.0,0,0.25,-15.3494870543872
3,103,6,0.0,4,26.0,576,60.0,2816,0.15,-15.194107546099595
4,123,4,0.0,4,18.0,323,32.5,1036,0.2916666666666667,-13.846139617957222
5,86,12,0.0,4,52.5,2646,114.5,12408,0.25,-100.00556740382602
5,103,6,0.0,4,29.0,672,60.0,2816,0.16666666666666666,-18.94526589112894
6,26,10,0.0,4,62.0,1728,122.0,6784,0.23809523809523808,-107.06385597055191
6,27,10,0.0,4,63.0,1944,125.5,8268,0.14285714285714285,-66.20933798416337
6,9,15,0.14285714285714285,4,87.0,7128,168.0,26288,0.19047619047619047,-105.85691393090758
6,28,10,0.0,4,65.5,2484,127.5,9116,0.23809523809523808,-107.06385597055191
7,48,9,0.0,4,43.0,1840,91.0,7752,0.2,-54.11653180774026
7,25,12,0.0,4,66.5,4002,136.5,18126,0.20238095238095238,-102.67738848251031
8,70,12,0.0,4,44.0,1836,103.0,8928,0.20238095238095238,-83.93934169983734
8,27,8,0.0,4,36.0,972,91.5,5616,0.16666666666666666,-45.76540976567951
8,86,16,0.0,4,58.5,3402,142.5,20304,0.19642857142857142,-138.74431818303088
9,46,6,0.0,4,50.0,2244,93.5,7812,0.3,-41.20159970677129
10,11,30,0.1,4,102.0,10400,217.5,47000,0.19444444444444445,-354.15397220636197
10,12,18,0.0,4,63.0,2600,151.5,15980,0.24305555555555555,-291.2858220285584
10,13,12,0.0,4,60.5,2100,140.5,10810,0.20535714285714285,-174.20010651690203
10,14,12,0.0,4,57.0,1400,136.0,8695,0.19642857142857142,-166.35623664417682
10,15,24,0.1111111111111111,4,90.5,8100,200.0,38775,0.1736111111111111,-236.69568439080834
