i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
0,1,12,0.0,4,38.5,780,118.5,6560,0.14285714285714285,-111.56177731588745
0,2,4,0.0,4,13.5,180,32.5,1056,0.16666666666666666,-8.661466680572662
1,3,12,0.0,4,38.0,715,119.5,6970,0.19642857142857142,-154.35456895623116
1,4,36,0.09090909090909091,4,82.5,6500,215.0,46125,0.22727272727272727,-591.5426303080931
1,5,42,0.0,4,80.5,6240,234.5,54120,0.22115384615384615,-938.4264961407745
1,6,12,0.0,4,39.5,910,120.0,7175,0.21428571428571427,-170.79485084325256
1,7,12,0.14285714285714285,4,40.0,975,121.5,7790,0.11904761904761904,-76.65758262802912
2,5,14,0.0,4,55.5,1440,148.5,8712,0.13194444444444445,-165.23374233077544
3,137,4,0.0,4,15.0,209,35.0,1224,0.25,-13.031416265561052
4,148,12,0.0,4,59.5,1900,131.0,8325,0.21428571428571427,-164.0319365734343
4,201,12,0.0,4,61.5,2300,135.5,10350,0.21428571428571427,-172.34970274015365
4,7,12,0.14285714285714285,4,57.5,1500,131.5,8550,0.11904761904761904,-73.8397016822715
4,206,12,0.0,2,57.5,1500,128.0,6975,0.21428571428571427,-164.03193657343428
4,207,12,0.0,2,57.5,1500,128.0,6975,0.21428571428571427,-164.03193657343428
5,136,28,0.0,4,90.0,8064,213.0,42768,0.24545454545454545,-584.038335168488
5,312,14,0.0,4,56.0,1536,149.5,9240,0.19444444444444445,-247.77770021275404
5,313,14,0.0,4,56.0,1536,150.5,9768,0.19444444444444445,-253.45421172626834
5,164,14,0.0,4,56.0,1536,149.5,9240,0.19444444444444445,-247.77770021275404
5,314,7,0.0,2,48.0,0,132.0,0,0.125,-119.03681984245739
6,279,4,0.0,4,15.0,224,30.0,875,0.3333333333333333,-15.484804043631563
8,9,10,0.0,4,42.5,936,81.0,3536,0.23809523809523808,-112.89781913656017
8,10,4,0.0,4,13.0,169,25.5,650,0.3333333333333333,-16.377378248888405
9,11,20,0.0,4,63.0,3888,131.0,17136,0.2777777777777778,-314.9406393913498
